Name,Definition,Synonym,Output
X-linked myopathy with excessive autophagy,A myopathy that is characterized by childhood onset of progressive muscle weakness and atrophy primarily affecting the proximal muscles in males between 5 and 10 years old,XMEA,myopathy
tubular aggregate myopathy,A nail disease that is characterized by absence of fingernails and toenails,HYPONYCHIA CONGENITA,myopathy
reducing body myopathy,A nail disease that is characterized by absence of fingernails and toenails,HYPONYCHIA CONGENITA,myopathy
spheroid body myopathy,A nail disease that is characterized by absence of fingernails and toenails,HYPONYCHIA CONGENITA,myopathy
myopathy,A myofibrillar myopathy that has_material_basis_in homozygous mutation in the KY gene on chromosome 3q22.,BAG3-related myofibrillar myopathy,myopathy
congenital myopathy,A myofibrillar myopathy that has_material_basis_in homozygous mutation in the KY gene on chromosome 3q22.,BAG3-related myofibrillar myopathy,myopathy
myoglobinuria,A myopathy that is characterized by an increased urinary excretion of myoglobin.,CFTD,myopathy
myofibrillar myopathy,A myopathy that is characterized by slowly progressive muscle weakness that can involve both proximal muscles and distal muscles.,complex sleep apnea,myopathy
myopathy,A myopathy,MLASA3,myopathy
myopathy,A myopathy,MLASA1,myopathy
myopathy,A myopathy,MLASA2,myopathy
myopathy with extrapyramidal signs,A myopathy characterized by early childhood onset of proximal muscle weakness,proximal myopathy with extrapyramidal signs,myopathy
centronuclear myopathy,A myopathy characterized by abnormally located  nuclei in skeletal muscle cells. The nuclei are located in the center of the cell,myotubular myopathy,myopathy
congenital structural myopathy,A malignant ovarian surface epithelial-stromal neoplasm that has_material_basis_in the surface epithelium of the ovary.,meningioma of the Posterior Cranial Fossa,myopathy
myofascial pain syndrome,A giant cell tumor and bone cancer and bone tissue neoplasm that results_in the presence of multinucleated giant cells (osteoclast-like cell).,Polyradiculoneuropathy,myopathy
myositis,A myopathy characterized by muscle inflammation.,Inflammatory disorder of muscle,myopathy
mitochondrial myopathy,A myopathy that is characterized by mitochondrial dysfunction.,mitochondrial cytopathy,myopathy
obsolete placental site nodule or plaque,A myopathy that is characterized by mitochondrial dysfunction.,mitochondrial cytopathy,myopathy
obsolete exaggerated placental site,A myopathy that is characterized by mitochondrial dysfunction.,Exaggerated placental site (morphologic abnormality),myopathy
muscular atrophy,An ovarian primitive germ cell tumor that has_material_basis_in trophoblastic cells and develops in the absence of a preceding gestational event.,Wasting - muscle,myopathy
obsolete recurrent penis cancer,An ovarian primitive germ cell tumor that has_material_basis_in trophoblastic cells and develops in the absence of a preceding gestational event.,relapsed carcinoma of penis,myopathy
obsolete regressing non-cutaneous melanoma,An ovarian primitive germ cell tumor that has_material_basis_in trophoblastic cells and develops in the absence of a preceding gestational event.,relapsed carcinoma of penis,myopathy
myopathy of extraocular muscle,A peripheral vascular disease characterized by blood trapped in the penis that is unable to drain.,Myopathy of extraocular muscles,myopathy
muscular dystrophy,A myopathy is characterized by progressive skeletal muscle weakness degeneration.,Benign pseudohypertrophic muscular dystrophy,myopathy
