Name,Definition,Synonym,Output
dermatomyositis,A myositis that results_in inflammation located_in muscle or located_in skin where a skin rash is often seen prior to the onset of muscle weakness. The disease may result from either a viral infection or an autoimmune reaction.,Polymyositis with skin involvement,myositis
obsolete single episode manic disorder,A myositis that results_in inflammation located_in muscle or located_in skin where a skin rash is often seen prior to the onset of muscle weakness. The disease may result from either a viral infection or an autoimmune reaction.,Polymyositis with skin involvement,myositis
obsolete partial epilepsy,A myositis that results_in inflammation located_in muscle or located_in skin where a skin rash is often seen prior to the onset of muscle weakness. The disease may result from either a viral infection or an autoimmune reaction.,Polymyositis with skin involvement,myositis
granulomatous myositis,A cranial nerve disease that is located_in the ninth cranial nerve or its nuclei in the medulla.,Vertigo,myositis
inclusion body myositis,A myositis that is characterized by slowly progressive weakness and wasting of both distal and proximal muscles,Nonaka myopathy,myositis
fibromyalgia,A disease that has_material_basis_in genetic variations in the human genome.,metastatic Urothelial carcinoma of the renal Pelvis and Ureter,myositis
myositis ossificans,A myositis that is accompanied by ossification of muscle tissue or bony deposits in the muscles.,Ossification - muscle,myositis
pyomyositis,A pulmonary tuberculosis in which dissemination of the infection by Mycobacterium tuberculosis has occured to parts of the same lung or the opposite lung through rupture of a caseous lymph node into a bronchus.,Tropical pyomyositis,myositis
tendinitis,A bacterial conjuctivitis that is characterized by pain and tenderness in the eyeball and conjuctival discharge.,Purulent conjunctivitis,myositis
myositis fibrosa,A paralytic poliomyelitis that results in destruction located in motor neurons of brainstem,Interstitial myositis,myositis
