Name,Definition,Synonym,Output
yellow nail syndrome,A syndrome that is characterized by an accumulation of protein-rich fluid (lymph) in the soft layers of tissue under the skin resulting in pleural effusions,Greither Disease,nail disease
nonsyndromic congenital nail disorder 1,A serine deficiency that is characterized by multiple fatal malformations including ichthyosis,twenty-nail dystrophy,nail disease
nonsyndromic congenital nail disorder 2,A serine deficiency that is characterized by multiple fatal malformations including ichthyosis,twenty-nail dystrophy,nail disease
nonsyndromic congenital nail disorder 3,A serine deficiency that is characterized by multiple fatal malformations including ichthyosis,twenty-nail dystrophy,nail disease
nonsyndromic congenital nail disorder 4,A nail disease that is characterized by absence of fingernails and toenails,HYPONYCHIA CONGENITA,nail disease
nonsyndromic congenital nail disorder 5,A nail disease that is characterized by absence of fingernails and toenails,HYPONYCHIA CONGENITA,nail disease
nonsyndromic congenital nail disorder 6,A nail disease that is characterized by absence of fingernails and toenails,HYPONYCHIA CONGENITA,nail disease
nonsyndromic congenital nail disorder 7,A nail disease that is characterized by absence of fingernails and toenails,HYPONYCHIA CONGENITA,nail disease
nonsyndromic congenital nail disorder 8,A nail disease that is characterized by absence of fingernails and toenails,HYPONYCHIA CONGENITA,nail disease
nonsyndromic congenital nail disorder 9,A nail disease that is characterized by absence of fingernails and toenails,HYPONYCHIA CONGENITA,nail disease
nonsyndromic congenital nail disorder 10,A nail disease that is characterized by absence of fingernails and toenails,HYPONYCHIA CONGENITA,nail disease
paronychia,A nail disease characterized by often-tender bacterial or fungal hand infection or foot infection due to either bacteria or fungus (Candida albicans) where the nail and skin meet at the side or the base of a finger or toe nail. The infection can start suddenly (acute paronychia) or gradually (chronic paronychia). Puss is usually present,paronychia inflammation,nail disease
candidal paronychia,A candidiasis that results_in fungal infection of the outer-most layer located_in nail,candidiasis of skin and nails,nail disease
chronic mucocutaneous candidiasis,A candidiasis that refers to a heterogeneous group of disorders characterized by recurrent or persistent superficial fungal infections located_in skin,chronic Mucocutaneous Candidiasis,nail disease
