Name,Definition,Synonym,Output
nemaline myopathy 1,A nemaline myopathy characterized by onset typically in early childhood of mildly delayed motor development,nemaline myopathy 1,nemaline myopathy
nemaline myopathy 3,A nemaline myopathy that has_material_basis_in homozygous,nemaline myopathy 3,nemaline myopathy
nemaline myopathy 2,A nemaline myopathy that has_material_basis_in homozygous or compound heterozygous mutation in the NEB gene on chromosome 2q23.,nemaline myopathy 2,nemaline myopathy
nemaline myopathy 9,A nemaline myopathy characterized by onset in early infancy of muscle weakness with variable severity that has_material_basis_in homozygous or compound heterozygous mutation in the KLHL41 gene on chromosome 2q31.,NEM9,nemaline myopathy
nemaline myopathy 8,A nemaline myopathy characterized by fetal akinesia or hypokinesia,nemaline myopathy 8,nemaline myopathy
nemaline myopathy 10,A nemaline myopathy characterized by early-onset generalized muscle weakness and hypotonia with respiratory insufficiency and feeding difficulties that has_material_basis_in homozygous or compound heterozygous mutation in the LMOD3 gene on chromosome 3p14.,NEM10,nemaline myopathy
nemaline myopathy 4,A nemaline myopathy that has_material_basis_in heterozygous mutation in the TPM2 gene on chromosome 9p13.,nemaline myopathy 4,nemaline myopathy
nemaline myopathy 11,A nemaline myopathy characterized by onset of slowly progressive muscle weakness in the first decade of life that has_material_basis_in homozygous or compound heterozygous mutation in the MYPN gene on chromosome 10q21.,nemaline myopathy 11,nemaline myopathy
nemaline myopathy 7,A nemaline myopathy characterized by very early onset of hypotonia and delayed motor development that has_material_basis_in homozygous mutation in the CFL2 gene on chromosome 14q13.,nemaline myopathy 7,nemaline myopathy
nemaline myopathy 6,A nemaline myopathy characterized by autosomal dominant inheritance of childhood onset of slowly progressive proximal muscle weakness,nemaline myopathy 6,nemaline myopathy
nemaline myopathy 5,A nemaline myopathy that has_material_basis_in homozygous mutation in the TNNT1 gene on chromosome 19q13.,nemaline myopathy 5,nemaline myopathy
