Name,Definition,Synonym,Output
nephronophthisis 1,A nephronophthisis that has_material_basis_in homozygous or compound heterozygous mutation in or deletion of the NPHP1 gene on chromosome 2q13.,NPHP1,nephronophthisis
nephronophthisis 2,A nephronophthisis that has_material_basis_in homozygous or compound heterozygous mutation in the INVS gene on chromosome 9q31.,NPHP2,nephronophthisis
nephronophthisis 3,A nephronophthisis that has_material_basis_in homozygous or compound heterozygous mutation in the NPHP3 gene on chromosome 3q22.,NPHP3,nephronophthisis
nephronophthisis 4,A nephronophthisis that has_material_basis_in mutation in the NPHP4 gene on chromosome 1p36.31.,NPHP4,nephronophthisis
nephronophthisis 7,A nephronophthisis that has_material_basis_in homozygous mutation in the GLIS2 gene on chromosome 16p13.,NPHP7,nephronophthisis
nephronophthisis-like nephropathy 1,A nephronophthisis that has_material_basis_in homozygous mutation in the XPNPEP3 gene on chromosome 22q13.2.,NPHPL1,nephronophthisis
nephronophthisis 11,A nephronophthisis that has_material_basis_in homozygous or compound heterozygous mutation in the TMEM67 gene on chromosome 8q22.1.,NPHP11,nephronophthisis
nephronophthisis 12,A nephronophthisis that has_material_basis_in homozygous or compound heterozygous mutation in the TTC21B gene on chromosome 2q24.,NPHP12,nephronophthisis
nephronophthisis 9,A nephronophthisis that has_material_basis_in homozygous mutation in the NEK8 gene on chromosome 17q11.,NPHP9,nephronophthisis
nephronophthisis 13,A nephronophthisis that has_material_basis_in homozygous or compound heterozygous mutation in the WDR19 gene on chromosome 4p14.,NPHP13,nephronophthisis
nephronophthisis 14,A nephronophthisis that has_material_basis_in homozygous mutation in the ZNF423 gene on chromosome 16q12.1.,NPHP14,nephronophthisis
nephronophthisis 15,A nephronophthisis that has_material_basis_in homozygous or compound heterozygous mutation in the CEP164 gene on chromosome 11q.,NPHP15,nephronophthisis
nephronophthisis 16,A nephronophthisis that has_material_basis_in homozygous mutation in the ANKS6 gene on chromosome 9q22.,NPHP16,nephronophthisis
nephronophthisis 18,A nephronophthisis that has_material_basis_in homozygous or compound heterozygous mutation in the CEP83 gene on chromosome 12q22.,NPHP18,nephronophthisis
nephronophthisis 19,A nephronophthisis that has_material_basis_in homozygous or compound heterozygous mutation in the DCDC2 gene on chromosome 6p22.,NPHP19,nephronophthisis
nephronophthisis 20,A nephronophthisis that has_material_basis_in homozygous or compound heterozygous mutation in the MAPKBP1 gene on chromosome 15q15.,NPHP20,nephronophthisis
