Name,Definition,Synonym,Output
neuroacanthocytosis,A neurodegenerative disease that is characterized by acanthocytosis,X-linked intellectual disability,neurodegenerative disease
familial encephalopathy with neuroserpin inclusion bodies,A neurodegenerative disease that is characterized by intraneuronal inclusions of mutant neuroserpin resulting in progressive encephalopathy,FENIB,neurodegenerative disease
infantile cerebellar-retinal degeneration,A neurodegenerative disease that is characterized by onset between ages 2 and 6 months of truncal hypotonia,inclusion body myopathy with Paget's disease of bone and frontotemporal dementia,neurodegenerative disease
synucleinopathy,A neurodegenerative disease that is characterized by the abnormal accumulation of aggregates of alpha-synuclein protein in neurons,Synucleinopathies,neurodegenerative disease
hereditary ataxia,A neurodegenerative disease that is characterized by slowly progressive incoordination of gait and often associated with poor coordination of hands,clear-cell ovarian carcinoma,neurodegenerative disease
pontocerebellar hypoplasia,A neurodegenerative disease that is characterized by underdevelopment of the pons and cerebellum.,PCH,neurodegenerative disease
SPOAN syndrome,A neurodegenerative disease characterized by spastic paraplegia,spastic paraplegia,neurodegenerative disease
agenesis of the corpus callosum with peripheral neuropathy,A neurodegenerative disease characterized by autosomal recessive inheritance with early onset of severe sensory-motor polyneuropathy,corpus callosum agenesis-neuronopathy syndrome,neurodegenerative disease
Huntington's disease-like 2,A neurodegenerative disease characterized by involuntary movements and abnormalities of voluntary movements,Huntington disease-like 2,neurodegenerative disease
neurodegeneration with brain iron accumulation,A neurodegenerative disease characterized by progressive iron accumulation in the basal ganglia and other regions of the brain,NBIA,neurodegenerative disease
amyotrophic lateral sclerosis-parkinsonism/dementia complex 1,A neurodegenerative disease characterized by chronic,PDALS,neurodegenerative disease
Pick's disease,A leprosy that is an early form of the disease which causes one to a few hypopigmented or erythematous macules.,PICK DISEASE OF BRAIN,neurodegenerative disease
myoclonic cerebellar dyssynergia,An acquired metabolic disease that has_material_basis_in the presence of abnormally-high levels of prolactin in the blood.,progressive cerebellar tremor,neurodegenerative disease
Huntington's disease,A neurodegenerative disease that has_material_basis_in autosomal dominant inheritance and is characterized by unwanted choreatic movements,Huntington's chorea,neurodegenerative disease
secondary Parkinson disease,A parathyroid gland disease characterized by an overactivity of the parathyroid glands,Symptomatic parkinsonism,neurodegenerative disease
olivopontocerebellar atrophy,A neurodegenerative disease that is characterized by progressive cerebellar ataxia,WADIA-SWAMI SYNDROME,neurodegenerative disease
obsolete Fryns syndrome,A neurodegenerative disease that is characterized by progressive cerebellar ataxia,WADIA-SWAMI SYNDROME,neurodegenerative disease
motor neuron disease,A neurodegenerative disease that is located_in the motor neurones.,Stereotypy habit disorder,neurodegenerative disease
demyelinating disease,A neurodegenerative disease that is characterized by damage to the myelin sheath present around nerve axons.,demyelinating disorder,neurodegenerative disease
obsolete infectious bovine rhinotracheitis,A Varicellovirus infectious disease that results_in infection in cattle,Infectious bovine rhinotracheitis (disorder),neurodegenerative disease
plexopathy,A mitochondrial encephalomyopathy that is characterized by mitochondrial myopathy,MITOCHONDRIAL MYOPATHY,neurodegenerative disease
tauopathy,A neurodegenerative disease that has_material_basis_in the pathological aggregation of tau protein in so-called neurofibrillary tangles (NFT) in the human brain.,mixed Yolk Sac tumor and teratoma with Seminoma of testis,neurodegenerative disease
obsolete recurrent hematologic cancer,A hematoloic cancer that is located_in the blood or bone marrow that has come back in a patient.,recurrent Hematologic Malignancy,neurodegenerative disease
obsolete relapsed precursor T lymphoblastic lymphoma-leukemia,A hematoloic cancer that is located_in the blood or bone marrow that has come back in a patient.,recurrent Hematologic Malignancy,neurodegenerative disease
obsolete recurrent adult acute lymphocytic leukemia,A recurrent hematologic cancer that is located_in bone marrow and is characterized by the production of too many lymphocytes.,relapsed adult acute lymphoid Leukemia,neurodegenerative disease
primary cerebellar degeneration,An amino acid metabolic disorder that involves impaired break down of the amino acid tyrosine.,deficiency of citrulline-aspartate ligase,neurodegenerative disease
