Name,Definition,Synonym,Output
mediastinum neurofibroma,A pervasive developmental disease that is characterized by normal early growth and development followed by a slowing of development,Neurofibroma of mediastinum,neurofibroma
obsolete ganglioneuroma of the mediastinum,A pervasive developmental disease that is characterized by normal early growth and development followed by a slowing of development,Ganglioneuroma of mediastinum,neurofibroma
neurofibroma of spinal cord,A uterine disease that is characterized by inflammation.,chronic passive congestion of liver,neurofibroma
Pacinian tumor,A sweat gland neoplasm that is composed_of outgrowths of myoepithelial cells from a sweat gland.,Pacinian neurofibroma,neurofibroma
neurofibrosarcoma,A fibrosarcoma that is located_in the dermis laryer of the skin and that begins as a hard nodule and grows slowly.,Neurosarcoma,neurofibroma
epithelioid neurofibroma,A reproductive organ benign neoplasm that has_material_basis_in the dartos muscle located_in the scrotum or labia majora.,epithelioid Neurofibroma,neurofibroma
neurofibroma of gallbladder,A reproductive organ benign neoplasm that has_material_basis_in the dartos muscle located_in the scrotum or labia majora.,Neurofibroma of the gallbladder,neurofibroma
plexiform neurofibroma,A reproductive organ benign neoplasm that has_material_basis_in the dartos muscle located_in the scrotum or labia majora.,Neurofibroma of the gallbladder,neurofibroma
cellular neurofibroma,A reproductive organ benign neoplasm that has_material_basis_in the dartos muscle located_in the scrotum or labia majora.,Neurofibroma of the gallbladder,neurofibroma
atypical neurofibroma,A reproductive organ benign neoplasm that has_material_basis_in the dartos muscle located_in the scrotum or labia majora.,Neurofibroma of the gallbladder,neurofibroma
neurofibroma of the heart,An adnexa disease that is located_in the eye socket.,Neurofibroma of Heart,neurofibroma
neurofibroma of the esophagus,A primary bacterial infectious disease that results_in infection located_in intestine caused by eating food contaminated with enterotoxins produced by bacteria,Intravascular Pseudosarcomatous Fasciitis,neurofibroma
