Name,Definition,Synonym,Output
hereditary sensory neuropathy,A neuropathy characterized by congenital insensitivity to pain resulting in ulceration to the fingers,hereditary sensory and autonomic neuropathy,neuropathy
autonomic peripheral neuropathy,A neuropathy that affects the autonomic nervous system and is characterized by urinary incontinence,PDD,neuropathy
hereditary neuropathy with liability to pressure palsies,A neuropathy characterized by autosomal dominant inheritance of peroneal muscle weakness,tulip-bulb digger's palsy,neuropathy
mononeuropathy,A neuropathy that is characterized by damage to a single nerve,Denture sore mouth,neuropathy
ischemic neuropathy,A Trichomonas vaginalis trichomoniasis that involves inflammation of the urinary bladder caused by Trichomonas vaginalis. The symptoms include pain during urination,Ischemic peripheral neuropathy,neuropathy
obsolete Congenital cardiovascular disorder complicating pregnancy,A Trichomonas vaginalis trichomoniasis that involves inflammation of the urinary bladder caused by Trichomonas vaginalis. The symptoms include pain during urination,postpartum congenital cardiovascular disorder of mother,neuropathy
obsolete Congenital cardiovascular disorder of mother,A Trichomonas vaginalis trichomoniasis that involves inflammation of the urinary bladder caused by Trichomonas vaginalis. The symptoms include pain during urination,postpartum congenital cardiovascular disorder of mother,neuropathy
obsolete psychosexual dysfunction with inhibited sexual excitement,A Trichomonas vaginalis trichomoniasis that involves inflammation of the urinary bladder caused by Trichomonas vaginalis. The symptoms include pain during urination,Psychosexual Dysfunction with Inhibited Sexual Excitement,neuropathy
obsolete malnutrition of moderate degree,A Trichomonas vaginalis trichomoniasis that involves inflammation of the urinary bladder caused by Trichomonas vaginalis. The symptoms include pain during urination,Psychosexual Dysfunction with Inhibited Sexual Excitement,neuropathy
neuritis,A carcinoma that derives_from neuroendocrine cells.,peripheral neuritis,neuropathy
obsolete coxsackie pericarditis,A coxsackie carditis that results_in inflammation located_in pericardium,peripheral neuritis,neuropathy
obsolete coxsackie carditis,An Enterovirus infectious disease that results_in inflammation located_in heart,Enterovirus heart infection (disorder),neuropathy
obsolete coxsackie endocarditis,A coxsackie carditis that results_in inflammation located_in endocardium,Enterovirus heart infection (disorder),neuropathy
motor peripheral neuropathy,A paraplegia that is characterized by progressive stiffness and contraction (spasticity) in the lower limbs.,neuropathic muscular atrophy,neuropathy
sensory peripheral neuropathy,A neuropathy that involves damage to nerves of the peripheral nervous system.,sensory neuropathy,neuropathy
obsolete hereditary peripheral neuropathy,A neuropathy that involves damage to nerves of the peripheral nervous system.,Hereditary peripheral neuropathy NOS (disorder),neuropathy
inflammatory and toxic neuropathy,An organ system cancer located in the hematological system that is characterized by uncontrolled cellular proliferation in blood,Splenic infarction,neuropathy
brachial plexus neuropathy,A mitochondrial encephalomyopathy that is characterized by mitochondrial myopathy,Brachial plexus disorder,neuropathy
neuromuscular disease,A neuropathy that affect the nerves that control the voluntary muscles.,Pustular psoriasis of the palms and/or soles,neuropathy
cranial nerve disease,A neuropathy that is located_in one of the twelve cranial nerves.,disorder of cranial nerve,neuropathy
axonal neuropathy,An organ system benign neoplasm that is located_in the kidneys,hereditary neuropathy,neuropathy
erythromelalgia,A neuropathy that is characterized by intense,erythermalgia,neuropathy
obsolete reticulosarcoma involving lymph nodes of axilla and upper limb,A neuropathy that is characterized by intense,Reticulosarcoma of lymph nodes of axilla and upper limb (disorder),neuropathy
diabetic neuropathy,A varicose veins that is located_in the pelvis.,acute mucoid otitis media,neuropathy
