Name,Definition,Synonym,Output
Keshan disease,A nutritional deficiency that is disease characterized by a cardiomyopathy secondary to selenium deficiency.,TT virus liver infection,nutritional deficiency disease
obsolete rhinotracheitis,An upper respiratory tract disease involving inflammation of the nasal cavities and trachea caused by feline herpesvirus 1,Feline viral rhinotracheitis,nutritional deficiency disease
obsolete entomophthoromycosis,A subcutaneous mycosis that involves fungal infection of the subcutaneous tissue caused by members of the order Entomophthorales.,Feline viral rhinotracheitis,nutritional deficiency disease
obsolete cutaneous mucormycosis,An opportunistic mycosis that results_in fungal infection located_in cutaneous tissues or located_in subcutaneous tissues followed by a traumatic implantation of fungal elements through the skin,Feline viral rhinotracheitis,nutritional deficiency disease
obsolete gastrointestinal mucormycosis,A opportunistic mycosis that results_in fungal infection located_in gastrointestinal tract,Feline viral rhinotracheitis,nutritional deficiency disease
obsolete pulmonary mucormycosis,An opportunistic mycosis that results_in fungal infection located_in lungs,Feline viral rhinotracheitis,nutritional deficiency disease
obsolete rhinocerebral mucormycosis,An opportunistic mycosis that results_in fungal infection located_in nose,Feline viral rhinotracheitis,nutritional deficiency disease
obsolete disseminated paracoccidioidomycosis,A primary systemic mycosis that results_in systemic fungal infection through hematogenous spread,Feline viral rhinotracheitis,nutritional deficiency disease
obsolete pulmonary paracoccidioidomycosis,A primary systemic mycosis that results_in inflammation located_in lungs,Feline viral rhinotracheitis,nutritional deficiency disease
obsolete disseminated sporotrichosis,A primary systemic mycosis that results_in systemic fungal infection through hematogenous spread,Feline viral rhinotracheitis,nutritional deficiency disease
obsolete lymphocutaneous sporotrichosis,A primary systemic mycosis that results_in fungal infection located_in skin and located_in subcutaneous tissue,Feline viral rhinotracheitis,nutritional deficiency disease
obsolete pulmonary sporotrichosis,A primary systemic mycosis that results_in fungal infection located_in lung,Feline viral rhinotracheitis,nutritional deficiency disease
biotin deficiency,A nutritional deficiency disease that is characterized by thinning of the hair (often with loss of hair color),B7 deficiency,nutritional deficiency disease
thiamine deficiency disease,A nutritional deficiency disease that is characterized by low levels of thiamine.,oligoasthenoteratospermia,nutritional deficiency disease
vitamin K deficiency bleeding,A nutritional deficiency disease that is characterized by easy bleeding due to an inability to form blood clots caused by vitamin K deficiency,vitamin K deficiency hemorrhagic disease,nutritional deficiency disease
acquired night blindness,A nutritional deficiency disease that is characterized by vitamin A deficiency causing poor adaptation of the eyes to low levels of light,vitamin A deficiency with night blindness (disorder),nutritional deficiency disease
iron deficiency anemia,A nutritional deficiency disease that is characterized by pallor,calculus of bile duct with acute cholecystitis,nutritional deficiency disease
protein-energy malnutrition,A nutritional deficiency disease that is characterized by inadequate dietary protein and calories,partial loss or necrosis of ear ossicles,nutritional deficiency disease
obsolete protein deficiency,A nutritional deficiency disease that is characterized by inadequate dietary protein and calories,protein deficiency,nutritional deficiency disease
obsolete macrodactylia of fingers,A nutritional deficiency disease that is characterized by inadequate dietary protein and calories,Macrodactylia of fingers (disorder),nutritional deficiency disease
endemic goiter,A nutritional deficiency disease characterized by noncancerous enlargement of the thyroid gland and has_material_basis_in iodine deficiency.,simple goitre,nutritional deficiency disease
pernicious anemia,A nutritional deficiency disease that is characterized by a decrease in red blood cells due to malabsorption of vitamin B12,Biermer's anemia,nutritional deficiency disease
scurvy,A nutritional deficiency disease that is characterized by vitamin C (ascorbic acid) deficiency and has_symptom fatigue,Infection by Schistosoma bovis (disorder),nutritional deficiency disease
folic acid deficiency anemia,A nutritional deficiency disease that is characterized by a decrease in red blood cells due to lack of folate,Folate-deficient megaloblastic anaemia,nutritional deficiency disease
copper deficiency myelopathy,A nutritional deficiency disease that is characterized by deficiency of copper,human swayback,nutritional deficiency disease
ariboflavinosis,A nutritional deficiency disease that is characterized by stomatitis,vitamin B2 deficiency,nutritional deficiency disease
pyridoxine deficiency anemia,A nutritional deficiency disease that is characterized by normocytic anemia associated with deficiency of pyridoxine (vitamin B6),vitamin B6 deficiency syndrome,nutritional deficiency disease
choline deficiency disease,A nutritional deficiency disease that is characterized by deficiency of choline,choline deficiency,nutritional deficiency disease
pellagra,A nutritional deficiency disease that is characterized by deficiency of niacin (vitamin B3),Pellagra,nutritional deficiency disease
obsolete Thiamine and niacin deficiency state,A nutritional deficiency disease that is characterized by deficiency of niacin (vitamin B3),Pellagra,nutritional deficiency disease
obsolete vitamin B 12 deficiency,A nutritional deficiency disease that is characterized by deficiency of niacin (vitamin B3),vitamin B12 deficiency,nutritional deficiency disease
obsolete arthropathy associated with hematological disorder,A nutritional deficiency disease that is characterized by deficiency of niacin (vitamin B3),vitamin B12 deficiency,nutritional deficiency disease
