Name,Definition,Synonym,Output
penicilliosis,An opportunistic mycosis that has_material_basis_in Penicillium marneffei,urogenital trichomonas,opportunistic mycosis
fusariosis,An opportunistic mycosis that involves localized or hematogenously disseminated fungal infection by Fusarium solani or Fusarium oxysporum. Skin lesions are seen in neutropenic patients,urogenital trichomonas,opportunistic mycosis
trichosporonosis,An opportunistic mycosis that results_in disseminated infection,urogenital trichomonas,opportunistic mycosis
cryptococcosis,An opportunistic mycosis that results_in fungal infection and has_material_basis_in Cryptococcus neoformans or Cryptococcus gattii.,torulosis,opportunistic mycosis
obsolete Trypanosoma meningitis,A trypanosomiasis that involves inflammation of the meninges caused due to Trypanosoma species.,Trypanosomiasis with meningitis (disorder),opportunistic mycosis
aspergillosis,An opportunistic mycosis that involves a spectrum of diseases of humans and animals caused by members of the genus Aspergillus infecting lungs,Infection due to Aspergillus,opportunistic mycosis
candidiasis,An opportunistic mycosis that involves fungal infection of the mouth,systemic candidiasis,opportunistic mycosis
geotrichosis,An opportunistic mycosis that has_material_basis_in Galactomyces geotrichum,Geotrichosis,opportunistic mycosis
microsporidiosis,An opportunistic mycosis that results_in systemic fungal infection in immunocompromised people,Infection by Microsporida,opportunistic mycosis
obsolete bovine hemorrhagic syndrome,A viral infectious disease that results_in infection in cattle,Infection by Microsporida,opportunistic mycosis
obsolete Pestivirus infectious disease,A viral infectious disease that results_in infection in mammals,Infection by Microsporida,opportunistic mycosis
mucormycosis,An opportunistic mycosis that results_in fungal infection located_in sinuses,zygomycosis,opportunistic mycosis
obsolete secondary retinal cyst,An opportunistic mycosis that results_in fungal infection located_in sinuses,secondary retinal cysts (disorder),opportunistic mycosis
