Name,Definition,Synonym,Output
oral squamous cell carcinoma,An oral cavity cancer that has_material_basis_in squamous cells.,mouth squamous cell carcinoma,oral cavity cancer
obsolete Jensen syndrome,A syndrome that is characterized by sensorineural hearing loss with onset in infancy,opticoacoustic nerve atrophy with dementia,oral cavity cancer
soft palate cancer,A colitis that is predominantly confined to the mucosa located_in colon and includes characteristic ulcers,malignant tumor of the soft Palate,oral cavity cancer
gum cancer,An upper respiratory tract disease described as an acute contagious disease caused by Group A bacteria of the genus Streptococcus (especially various strains of S. pyogenes) and characterized by inflammation of the nose,malignant tumour of gingiva,oral cavity cancer
obsolete Hodgkin's lymphoma,An upper respiratory tract disease described as an acute contagious disease caused by Group A bacteria of the genus Streptococcus (especially various strains of S. pyogenes) and characterized by inflammation of the nose,Hodgkin's disease,oral cavity cancer
tongue cancer,A vein disease that is characterized by inflammation of a vein.,Tongue neoplasm malignant,oral cavity cancer
cheek mucosa cancer,A nervous system disease that is located_in nerves or nerve cells.,malignant tumor of buccal mucosa,oral cavity cancer
obsolete penis herpetic infectious disease,A genital herpes that results_in infection located_in skin of penis,Herpetic infection of penis (disorder),oral cavity cancer
salivary gland cancer,An oral cavity cancer that is located_in the salivary gland.,malignant tumor of the Salivary gland,oral cavity cancer
obsolete Hodgkin's granuloma involving intra-abdominal lymph nodes,An oral cavity cancer that is located_in the salivary gland.,Hodgkin's granuloma of intra-abdominal lymph nodes (disorder),oral cavity cancer
obsolete Hodgkin's lymphoma,An oral cavity cancer that is located_in the salivary gland.,Hodgkin's granuloma of intra-abdominal lymph nodes (disorder),oral cavity cancer
retromolar area cancer,A specific developmental disorder that involves difficulty in scholastic skills such as reading,malignant tumor of retromolar area,oral cavity cancer
hard palate cancer,A leishmaniasis that is the most severe form of the disease caused by protozoan parasites of the Leishmania genus,malignant tumour of hard palate,oral cavity cancer
obsolete Hodgkin's lymphoma,A leishmaniasis that is the most severe form of the disease caused by protozoan parasites of the Leishmania genus,Hodgkin's disease,oral cavity cancer
vestibule of mouth cancer,A parasitic protozoa infectious disease that involves infection caused by the amoeba Entamoeba histolytica. Amebic invasion of the intestinal lining causes dysentery,malignant tumor of vestibule of mouth,oral cavity cancer
obsolete generalized hyperhidrosis,A parasitic protozoa infectious disease that involves infection caused by the amoeba Entamoeba histolytica. Amebic invasion of the intestinal lining causes dysentery,Generalized hyperhidrosis (disorder),oral cavity cancer
