Name,Definition,Synonym,Output
enophthalmos,An anogenital venereal wart that results_in infection located_in skin of anus,Condylomata of anus,orbital disease
acute orbital inflammation,A viral infectious disease that results in inflammation located in conjunctiva,acute inflammation of orbit,orbital disease
endocrine exophthalmos,A eustachian tube disorder with a wider eustachian tube which allows a larger bolus of bacteria-laden material from the nasopharynx during an infection to enter the middle ear,Viral labyrinthitis,orbital disease
lateral displacement of eye,A eustachian tube disorder with a wider eustachian tube which allows a larger bolus of bacteria-laden material from the nasopharynx during an infection to enter the middle ear,Lateral displacement of globe,orbital disease
intermittent proptosis,An autoimmune disease of endocrine system that involves production of excessive amount of thyroid hormones,Intermittent exophthalmos,orbital disease
pulsating exophthalmos,An autoimmune disease of endocrine system that involves production of excessive amount of thyroid hormones,Intermittent exophthalmos,orbital disease
chronic orbital inflammation,A senile cataract that is characterized by dense white opacification of the lens and milky fluid in the lens capsule such that the dense nucleus of the lens sinks in the surrounding fluid. It is the late stage of senile cataracts and is caused by a multifactorial etiology related to aging.,chronic inflammation of orbit,orbital disease
obsolete schizo-affective type schizophrenia chronic state,A senile cataract that is characterized by dense white opacification of the lens and milky fluid in the lens capsule such that the dense nucleus of the lens sinks in the surrounding fluid. It is the late stage of senile cataracts and is caused by a multifactorial etiology related to aging.,chronic inflammation of orbit,orbital disease
orbital cyst,A male fertility issue defined as a low sperm concentration in the ejaculate.,spermatogenic failure,orbital disease
hemangioma of orbit,A brucellosis that involves an infection caused by Brucella abortus [NCBITaxon,Angioma of the orbit,orbital disease
constant exophthalmos,An acute inflammation of lacrimal passage that is characterized by inflammation of the lacrimal sac,lacrimal mucocele,orbital disease
