Name,Definition,Synonym,Output
head and neck cancer,An organ system cancer that arises in the head or neck region. This region includes the nasal cavity,tumor of head and neck,organ system cancer
obsolete schizo-affective type schizophrenia subchronic state,An organ system cancer that arises in the head or neck region. This region includes the nasal cavity,tumor of head and neck,organ system cancer
obsolete Trichomonas vaginitis,A Trichomonas vaginalis trichomoniasis that involves inflammation of the vagina caused by Trichomonas vaginalis. The symptoms include foul vaginal odor,vaginal trichomoniasis (disorder),organ system cancer
obsolete Trichomonas prostatitis,A Trichomonas vaginalis trichomoniasis that involves inflammation of the prostate gland caused by Trichomonas vaginalis.,Trichomonal prostatitis (disorder),organ system cancer
obsolete Trichomonas cystitis,A Trichomonas vaginalis trichomoniasis that involves inflammation of the urinary bladder caused by Trichomonas vaginalis. The symptoms include pain during urination,Trichomonal cystitis (disorder),organ system cancer
obsolete habitual abortion,A Trichomonas vaginalis trichomoniasis that involves inflammation of the urinary bladder caused by Trichomonas vaginalis. The symptoms include pain during urination,recurrent miscarriage,organ system cancer
obsolete recurrent major depression in complete remission,A Trichomonas vaginalis trichomoniasis that involves inflammation of the urinary bladder caused by Trichomonas vaginalis. The symptoms include pain during urination,recurrent major depressive episodes,organ system cancer
peritoneum cancer,An organ system cancer that is located in the peritoneum.,peritoneal neoplasm,organ system cancer
cardiovascular cancer,An organ system cancer that located_in the heart and blood vessels.,Cardiovascular tumors,organ system cancer
retroperitoneal cancer,An organ system cancer located_in the retroperitoneal space that is manifested in retroperitoneal space in the abdominal cavity behind the peritoneum.,tumor of retroperitoneum,organ system cancer
