Name,Definition,Synonym,Output
orofaciodigital syndrome I,An orofaciodigital syndrome that is characterized by malformations of the face,Papillon-Leage-Psaume syndrome,orofaciodigital syndrome
orofaciodigital syndrome III,An orofaciodigital syndrome that is characterized by dysmorphic facies and severe intellectual deficits,Sugarman syndrome,orofaciodigital syndrome
orofaciodigital syndrome IV,An orofaciodigital syndrome that is characterized by dysmorphic facies,OFD4,orofaciodigital syndrome
orofaciodigital syndrome V,An orofaciodigital syndrome that is characterized by postaxial polydactyly and median cleft of the upper lip and has_material_basis_in homozygous mutation in the DDX59 gene on chromosome 1q32.,polydactyly,orofaciodigital syndrome
orofaciodigital syndrome VII,An orofaciodigital syndrome that is characterized by oral,Whelan syndrome,orofaciodigital syndrome
orofaciodigital syndrome VIII,An orofaciodigital syndrome that is characterized by tongue lobulation,OFD8,orofaciodigital syndrome
orofaciodigital syndrome X,An orofaciodigital syndrome that is characterized by facial,orofaciodigital syndrome with fibular aplasia,orofaciodigital syndrome
orofaciodigital syndrome XI,An orofaciodigital syndrome that is characterized by blepharophimosis,orofaciodigital syndrome with fibular aplasia,orofaciodigital syndrome
orofaciodigital syndrome IX,An orofaciodigital syndrome that is characterized by highly arched palate with bifid tongue,orofaciodigital syndrome with retinal abnormalities,orofaciodigital syndrome
orofaciodigital syndrome XVI,An autosomal recessive non-syndromic intellectual disability that has_material_basis_in homozygous mutation in the RUN and SH3 domain containing 2 gene (RUSC2) on chromosome 9p13.,Alwadei syndrome,orofaciodigital syndrome
orofaciodigital syndrome XVII,An early infantile epileptic encephalopathy that has_material_basis_in heterozygous mutation in the NTRK2 gene on chromosome 9q21.,Alwadei syndrome,orofaciodigital syndrome
