Name,Definition,Synonym,Output
campomelic dysplasia,An osteochondrodysplasia that has_material_basis_in a mutation in chromosome 17 which results_in bowing in the located_in tibia or located_in femur.,Acampomelic Campomelic Dysplasia,osteochondrodysplasia
acheiropody,An osteochondrodysplasia characterized by a lack of formation of the distal extremities has_material_basis_in mutation in the LMBR1 gene.,Horn-Kolb Syndrome,osteochondrodysplasia
acrocapitofemoral dysplasia,An osteochondrodysplasia characterized by skeletal dysplasia,Horn-Kolb Syndrome,osteochondrodysplasia
atelosteogenesis,An osteochondrodysplasia that is characterized by specific patterns of aplasia/hypoplasia of humeri,syndromic X-linked mental retardation Arts type,osteochondrodysplasia
Boomerang dysplasia,An osteochondrodysplasia that is characterized by severe dwarfism,Jabs syndrome,osteochondrodysplasia
brachyolmia,An osteochondrodysplasia characterized by generalized platyspondyly without significant long bone abnormalities and short stature.,brachyrachia,osteochondrodysplasia
midface dysplasia,An osteochondrodysplasia that is characterized by hypertelorism,Levine-Critchley syndrome,osteochondrodysplasia
schneckenbecken dysplasia,An osteochondrodysplasia that is characterized by hypoplastic iliac bones,glomus body tumor,osteochondrodysplasia
omodysplasia,An osteochondrodysplasia that is characterized by severe congenital shortening and distal tapering of the humeri and femori as well as cryptorchidism,flat cornea,osteochondrodysplasia
chondrodysplasia Blomstrand type,An osteochondrodysplasia that is characterized by rapid endochondral bone maturation,Blomstrand lethal chondrodysplasia,osteochondrodysplasia
Desbuquois dysplasia,An osteochondrodysplasia characterized by short stature,micromelic dwarfism with vertebral and metaphyseal abnormalities and advanced carpotarsal ossification,osteochondrodysplasia
fibrochondrogenesis,An autosomal dominant disease characterized by variable combinations of microcephaly,ODED syndrome,osteochondrodysplasia
hypertrichotic osteochondrodysplasia Cantu type,An osteochondrodysplasia that is characterized by congenital hypertrichosis,Cantu syndrome,osteochondrodysplasia
microcephalic osteodysplastic primordial dwarfism type I,A microcephalic osteodysplastic primordial dwarfism that is characterized by dwarfism,Taybi-Linder syndrome,osteochondrodysplasia
microcephalic osteodysplastic primordial dwarfism type II,A microcephalic osteodysplastic primordial dwarfism that has_material_basis_in homozygous or compound heterozygous mutation in the PCNT gene,osteodysplastic primordial dwarfism type II,osteochondrodysplasia
Leri-Weill dyschondrosteosis,An osteochondrodysplasia characterized by abnormal shortening of the forearms and lower legs,Norrie-Warburg disease,osteochondrodysplasia
metaphyseal dysplasia,An osteochondrodysplasia that results_in thinning and the tendency to fracture located_in bone.,Pyle-Cohn syndrome,osteochondrodysplasia
otospondylomegaepiphyseal dysplasia,An osteochondrodysplasia that results from mutations in the COL11A2 gene which results_in enlargement of the located_in epiphysis in located_in hand and located_in foot,NANCE-SWEENEY CHONDRODYSPLASIA,osteochondrodysplasia
spondyloepimetaphyseal dysplasia,An osteochondrodysplasia that results_in abnormalities of bone growth located_in vertebral column,NANCE-SWEENEY CHONDRODYSPLASIA,osteochondrodysplasia
pycnodysostosis,An osteochondrodysplasia that has_material_basis_in a mutation in the CTSK gene which results_in dwarfism,Worth syndrome,osteochondrodysplasia
hypochondroplasia,An osteochondrodysplasia that has_material_basis_in mutation in the FGFR3 gene which affects ossification of cartilage and results_in short limb dwarfism.,Baker's disease,osteochondrodysplasia
achondrogenesis,An osteochondrodysplasia that has_material_basis_in deficient endochondral ossification which results_in dwarfism,Baker's disease,osteochondrodysplasia
hypochondrogenesis,An osteochondrodysplasia that has_material_basis_in a mutation in the COL2A1 gene which affects bone growth and results_in a small body,Baker's disease,osteochondrodysplasia
Kniest dysplasia,An osteochondrodysplasia that has_material_basis_in a mutation in the COL2A1 gene which results_in dwarfism with a short trunk and limbs as well as vision and hearing problems. The disease has_symptom large joints,Baker's disease,osteochondrodysplasia
pseudoachondroplasia,An osteochondrodysplasia that has_material_basis_in mutations in the COMP gene which results_in short limb dwarfism.,SPONDYLOEPIPHYSEAL DYSPLASIA,osteochondrodysplasia
obsolete trichorhinophalangeal syndrome I,An osteochondrodysplasia that has_material_basis_in mutations in the COMP gene which results_in short limb dwarfism.,SPONDYLOEPIPHYSEAL DYSPLASIA,osteochondrodysplasia
acromesomelic dysplasia,An osteochondrodysplasia that has_material_basis_in mesomelia and acromelia,SPONDYLOEPIPHYSEAL DYSPLASIA,osteochondrodysplasia
progressive pseudorheumatoid arthropathy of childhood,A osteochondrodysplasia characterized by autosomal recessive inheritance with typical onset around 3 years of age,spondyloepiphyseal dysplasia tarda-progressive arthropathy syndrome,osteochondrodysplasia
Silverman-Handmaker type dyssegmental dysplasia,An osteochondrodysplasia characterized by short-limbed dwarfism,transcortin deficiency,osteochondrodysplasia
acromicric dysplasia,An osteochondrodysplasia characterized by autosomal dominant inheritance of severe short stature,acromicric skeletal dysplasia,osteochondrodysplasia
osteogenesis imperfecta,An osteochondrodysplasia that has_material_basis_in a deficiency in type-I collagen which results_in brittle bones and defective connective tissue.,Vrolik's disease,osteochondrodysplasia
multiple epiphyseal dysplasia,An osteochondrodysplasia that has_material_basis_in defective cartilage mineralization into bone which results in irregular ossification centers of the located in hip or located in knee. The disease has symptom fatigue,polyepiphyseal dysplasia,osteochondrodysplasia
obsolete liver metastasis,An osteochondrodysplasia that has_material_basis_in defective cartilage mineralization into bone which results in irregular ossification centers of the located in hip or located in knee. The disease has symptom fatigue,secondary malignant neoplasm of liver (disorder),osteochondrodysplasia
obsolete lung carcinoma metastatic to the liver,An osteochondrodysplasia that has_material_basis_in defective cartilage mineralization into bone which results in irregular ossification centers of the located in hip or located in knee. The disease has symptom fatigue,secondary malignant neoplasm of liver (disorder),osteochondrodysplasia
obsolete breast arcinoma metastatic to the liver,An osteochondrodysplasia that has_material_basis_in defective cartilage mineralization into bone which results in irregular ossification centers of the located in hip or located in knee. The disease has symptom fatigue,secondary malignant neoplasm of liver (disorder),osteochondrodysplasia
obsolete retroverted incarcerated gravid uterus,An osteochondrodysplasia that has_material_basis_in defective cartilage mineralization into bone which results in irregular ossification centers of the located in hip or located in knee. The disease has symptom fatigue,Retroverted incarcerated gravid uterus - delivered (disorder),osteochondrodysplasia
thanatophoric dysplasia,An osteochondrodysplasia that results_in short arms and legs with excess folds of skin.,Penile Lichen Sclerosus,osteochondrodysplasia
cleidocranial dysplasia,An osteochondrodysplasia that has_material_basis_in mutations in the RUNX2 gene which results_in undeveloped or absent located_in clavicle along with delayed closing of fontanels in the located_in skull.,Marie-Sainton Disease,osteochondrodysplasia
obsolete secondary malignant neoplasm to the small Intestine,An osteochondrodysplasia that has_material_basis_in mutations in the RUNX2 gene which results_in undeveloped or absent located_in clavicle along with delayed closing of fontanels in the located_in skull.,Marie-Sainton Disease,osteochondrodysplasia
diastrophic dysplasia,An osteochondrodysplasia that has_material_basis_in abnormal cartilage development due to mutations in the SLC26A2 gene which results_in short limb dwarfism.,Rieger's anomaly,osteochondrodysplasia
obsolete single major depressive episode in full remission,An osteochondrodysplasia that has_material_basis_in abnormal cartilage development due to mutations in the SLC26A2 gene which results_in short limb dwarfism.,Single major depressive episode,osteochondrodysplasia
Blount's disease,An osteochondrodysplasia that results_in inward turning of lower leg,familial infantile type osteochondrosis deformans tibiae,osteochondrodysplasia
Weissenbacher-Zweymuller syndrome,An osteochondrodysplasia that results_in shortened long bones and distinct facial abnormalities.,Pierre Robin Malformation,osteochondrodysplasia
achondroplasia,An osteochondrodysplasia that results_in dwarfism which has_material_basis_in abnormal ossification of cartilage in located_in long bone.,osteosclerosis congenita,osteochondrodysplasia
