Name,Definition,Synonym,Output
autosomal dominant osteopetrosis 1,An osteopetrosis characterized by autosomal dominant inheritance of generalized osteosclerosis that is most pronounced in the cranial vault,OPTA1,osteopetrosis
autosomal dominant osteopetrosis 2,An osteopetrosis characterized by autosomal dominant inheritance of sclerosis predominantly involving the spine,osteopetrosis autosomal dominant type 2,osteopetrosis
autosomal recessive osteopetrosis 5,An osteopetrosis characterized by autosomal recessive inheritance that has_material_basis_in mutation in the OSTM1 gene on chromosome 6q21.,OPTB5,osteopetrosis
autosomal recessive osteopetrosis 8,An osteopetrosis characterized by autosomal recessive inheritance that has_material_basis_in homozygous mutation in the SNX10 gene on chromosome 7p15.,OPTB8,osteopetrosis
autosomal recessive osteopetrosis 3,An osteopetrosis characterized by autosomal recessive inheritance that has_material_basis_in homozygous or compound heterozygous mutation in the CA2 gene on chromosome 8q21.,osteopetrosis with renal tubular acidosis,osteopetrosis
autosomal recessive osteopetrosis 1,An osteopetrosis characterized by autosomal recessive inheritance that has_material_basis_in homozygous or compound heterozygous mutation in the TCIRG1 gene on chromosome 11q13.2.,OPTB1,osteopetrosis
autosomal recessive osteopetrosis 2,An osteopetrosis characterized by autosomal recessive inheritance that has_material_basis_in homozygous mutation in the TNFSF11 gene on chromosome 13q14.,osteoclast-poor osteopetrosis,osteopetrosis
autosomal recessive osteopetrosis 4,An osteopetrosis characterized by autosomal recessive inheritance that has_material_basis_in homozygous or compound heterozygous mutation in the CLCN7 gene on chromosome 16p13.,OPTB4,osteopetrosis
autosomal recessive osteopetrosis 6,An osteopetrosis characterized by autosomal recessive inheritance of that has_material_basis_in mutation in the PLEKHM1 gene on chromosome 17q21.31.,OPTB6,osteopetrosis
autosomal recessive osteopetrosis 7,An osteopetrosis characterized by autosomal recessive inheritance that has_material_basis_in homozygous or compound heterozygous mutation in the TNFRSF11A gene on chromosome 18q21.,osteopetrosis-hypogammaglobulinemia syndrome,osteopetrosis
