Name,Definition,Synonym,Output
ovarian Brenner tumor,An ovarian benign neoplasm that has_material_basis_in the surface epithelium of the ovary.,benign ovarian Brenner tumor,ovarian benign neoplasm
ovarian cystadenoma,An ovarian benign neoplasm that has_material_basis_in glandular epithelial tissue in which cystic accumulations of retained secretions are formed.,simple cystoma of the ovary,ovarian benign neoplasm
ovarian serous adenofibroma,An ovarian benign neoplasm that has_material_basis_in glandular and fibrous tissues,bile duct papillomatosis,ovarian benign neoplasm
ovarian endometrioid adenofibroma,An ovarian benign neoplasm that is has_material_basis_in glandular and fibrous tissues,malignant hypertensive heart disease NOS (disorder),ovarian benign neoplasm
ovarian clear cell adenofibroma,An ovarian benign neoplasm that is characterized by the presence of serous fluid and has_material_basis_in glandular and fibrous tissues,Clear cell cystadenofibroma,ovarian benign neoplasm
mixed epithelial tumor of ovary,An ovarian benign neoplasm that is biphasic and has_material_basis_in epithelial and mesenchymal elements.,Ovarian mixed epithelial tumor,ovarian benign neoplasm
ovarian mucinous adenofibroma,An ovarian benign neoplasm that is characterized by low beta-hCG levels and is has_material_basis_in glandular and fibrous tissues,Lipoma of large Intestine,ovarian benign neoplasm
obsolete Polyomavirus infectious disease,A Polyomaviridae infectious disease that results_in infection in animals and humans,Lipoma of large Intestine,ovarian benign neoplasm
luteoma,An ovarian benign neoplasm characterized by solid proliferations of luteinized cells,luteoma of pregnancy,ovarian benign neoplasm
obsolete hypotony of eye associated with another ocular disorder,An ovarian benign neoplasm characterized by solid proliferations of luteinized cells,luteoma of pregnancy,ovarian benign neoplasm
obsolete testicular spermatocytic seminoma with sarcoma,An ovarian benign neoplasm characterized by solid proliferations of luteinized cells,luteoma of pregnancy,ovarian benign neoplasm
