Name,Definition,Synonym,Output
autoimmune pancreatitis,An autoimmune disease of endocrine system that is located_in the pancreas.,PVAN,pancreas disease
pancreatic agenesis,A pancreas disease that is characterized by the failure of the pancreas to develop prior to birth.,partial pancreatic agenesis,pancreas disease
obsolete CLONE OF congenital afibrinogenemia,A pancreas disease that is characterized by the failure of the pancreas to develop prior to birth.,Fibrinogen deficiency,pancreas disease
annular pancreas,A pancreas disease characterized by autosomal dominant inheritance of the annular pancreas (head of the pancreas forming a ring around the second portion of the duodenum) and duodenal stenosis.,OPPG,pancreas disease
pancreatic steatorrhea,A bone remodeling disease that has_material_basis_in impaired mineralization or calcification of bones before epiphyseal closure due to deficiency or impaired metabolism of vitamin D,pancreatic steatorrhoea,pancreas disease
neurohypophyseal diabetes insipidus,An impaired renal function disease characterized by a complete or partial resistance of the kidneys to vasopressin (ADH).,Vasopressin deficiency,pancreas disease
obsolete acute erythremia and erythroleukemia,An impaired renal function disease characterized by a complete or partial resistance of the kidneys to vasopressin (ADH).,Vasopressin deficiency,pancreas disease
obsolete leukemic reticuloendotheliosis involving lymph nodes of head,An impaired renal function disease characterized by a complete or partial resistance of the kidneys to vasopressin (ADH).,Leukemic reticuloendotheliosis of lymph nodes of head,pancreas disease
pancreatic mucinous ductal ectasia,A peritonitis which involves inflammation of peritoneal cavity by Corynebacterium diphtheriae.,Nasopharyngeal diphtheria (disorder),pancreas disease
obsolete relapsing pancreatitis,A peritonitis which involves inflammation of peritoneal cavity by Corynebacterium diphtheriae.,Nasopharyngeal diphtheria (disorder),pancreas disease
exocrine pancreatic insufficiency,A peritonitis which involves inflammation of peritoneal cavity by Corynebacterium diphtheriae.,Exocrine pancreatic insufficiency,pancreas disease
endocrine pancreas disease,A vulvar disease that is characterized by the presence of atrophy and associated with decreased estrogenization.,Unspecified disorder of hand joint,pancreas disease
pancreatic cancer,An endocrine gland cancer located_in the pancreas.,pancreatic tumor,pancreas disease
pancreatic cystadenoma,A lung cancer that derives_from epithelial cells of glandular origin.,Low Malignancy Potential serous Cystadenoma,pancreas disease
pancreatitis,A poliomyelitis that results in destruction located in motor neurons,relapsed Ewing's sarcoma,pancreas disease
