Name,Definition,Synonym,Output
squamous cell papilloma,An extrinsic allergic alveolitis which is caused by inhalation of antigens from avian excreta. The disease has_symptom abrupt onset of dyspnea,Epidermoid papilloma,papilloma
breast duct papilloma,An intraductal papillary breast neoplasm that is has_material_basis_in epithelial tissue on papillae of vascularized connective tissue.,papilloma of the breast,papilloma
serous surface papilloma,A carcinosarcoma that has_material_basis_in gland and muscle components.,serous Surface papilloma,papilloma
transitional papilloma,A sweat gland neoplasm that is composed_of outgrowths of myoepithelial cells from a sweat gland.,transitional cell papilloma,papilloma
gallbladder papillomatosis,An organ system cancer located_in gastrointestinal tract that is manifested in organs of the gastrointestinal system.,GI tumor,papilloma
verrucous papilloma,A fallopian tube benign neoplasm that has_material_basis_in the serosa and is characterized by exophytic growth.,Papillary adenoma,papilloma
skin papilloma,A fallopian tube benign neoplasm that has_material_basis_in the serosa and is characterized by exophytic growth.,papilloma of skin,papilloma
inverted papilloma,A fallopian tube benign neoplasm that has_material_basis_in the serosa and is characterized by exophytic growth.,Inverted papilloma,papilloma
biliary papillomatosis,A biliary tract benign neoplasm characterized by multiple papillary tumors in the intrahepatic and/or extrahepatic biliary tree.,bile duct papillomatosis,papilloma
nasal vestibule papilloma,A germ cell cancer that presents in childhood.,squamous papilloma of the nasal Vestibule,papilloma
ethmoid sinus inverted papilloma,An endocrine organ benign neoplasm that is a benign tumor of the glandular type (adenoma) in the adrenal gland.,Inverted papilloma of the ethmoid sinus,papilloma
obsolete metastatic testicular cancer,An endocrine organ benign neoplasm that is a benign tumor of the glandular type (adenoma) in the adrenal gland.,Inverted papilloma of the ethmoid sinus,papilloma
urinary bladder inverted papilloma,A benign perivascular tumor that is characterized as a vascular variant of a glomus tumor.,Enamel hypoplasia,papilloma
urethra inverted papilloma,A benign perivascular tumor that is characterized as a vascular variant of a glomus tumor.,Inverted papilloma of the urethra,papilloma
maxillary sinus inverted papilloma,A histiocytic and dendritic cell cancer that is mainly located_in lymph nodes.,Inverted papilloma of the maxillary sinus,papilloma
frontal sinus inverted papilloma,A cancer of urethra that has recurred after it has been treated. The cancer may come back in the urethra or in other parts of the body.,Inverted papilloma of the Frontal sinus,papilloma
cervix squamous papilloma,A cervical benign neoplasm that is a polypoid lesion characterized by a single papillary frond with a central fibrovascular core and mature squamous epithelium.,squamous papilloma of the Cervix Uteri,papilloma
