Name,Definition,Synonym,Output
philophthalmiasis,A parasitic helminthiasis infectious disease that involves parasitic infection of the eyes by Philophthalmus species. External ocular philophthalmiasis manifests as follicular conjunctivitis and superficial keratitis. Sub-conjunctival ocular philophthalmiasis consists of a mild edema with minimal cellular reaction.,granulomatous amoebic encephalitis,parasitic helminthiasis infectious disease
coenurosis,A parasitic helminthiasis infectious disease that involves infection by metacestode larval stage (coenurus) of Taenia multiceps or Taenia serialis. Coenuri in the skin or subcutaneous tissue present as painless nodules,granulomatous amoebic encephalitis,parasitic helminthiasis infectious disease
obsolete Dipylidium caninum infectious disease,A parasitic helminthiasis infectious disease that involves parasitic infection in dogs,granulomatous amoebic encephalitis,parasitic helminthiasis infectious disease
mesocestoidiasis,A parasitic helminthiasis infectious disease that involves parasitic cestode infection caused by Mesocestoides lineatus resulting in nausea,granulomatous amoebic encephalitis,parasitic helminthiasis infectious disease
acanthocephaliasis,A parasitic helminthiasis infectious disease that involves infection of the intestine caused by thorny-headed worms Macracanthorhynchus or Moniliformis moniliformis. The infection has_symptom abdominal pain,granulomatous amoebic encephalitis,parasitic helminthiasis infectious disease
obsolete Uncinaria stenocephala infectious disease,A parasitic helminthiasis infectious disease that involves infection of the small intestine in humans,granulomatous amoebic encephalitis,parasitic helminthiasis infectious disease
angiostrongyliasis,A parasitic helminthiasis infectious disease that involves parasitic infection of the intestine,granulomatous amoebic encephalitis,parasitic helminthiasis infectious disease
obsolete Angiostrongylus cantonensis infectious disease,An angiostrongyliasis that involves infection of the brain by the larvae of Angiostrongylus cantonensis causing eosinophilic meningitis. The symptoms include severe headache,granulomatous amoebic encephalitis,parasitic helminthiasis infectious disease
obsolete Angiostrongylus costaricensis infectious disease,An angiostrongyliasis that involves infection of the intestine by Angiostrongylus costaricensis,granulomatous amoebic encephalitis,parasitic helminthiasis infectious disease
dioctophymiasis,A parasitic helminthiasis infectious disease that involves parasitic infection by the nematode Dioctophyme renale in humans after eating undercooked food. The larvae are found in the subcutaneous nodules and kidneys.,granulomatous amoebic encephalitis,parasitic helminthiasis infectious disease
thelaziasis,A parasitic helminthiasis infectious diseasea that involves infection of the eyes in humans by nematode Thelazia callipaeda causing varying degrees of inflammation and lacrimation. In heavier infections,granulomatous amoebic encephalitis,parasitic helminthiasis infectious disease
obsolete Acoelomata infectious disease,A parasitic helminthiasis infectious disease that involves infection caused by parasitic worms,granulomatous amoebic encephalitis,parasitic helminthiasis infectious disease
obsolete Pseudocoelomata infectious disease,A parasitic helminthiasis infectious disease that involves infection caused by parasitic invertebrates,granulomatous amoebic encephalitis,parasitic helminthiasis infectious disease
obsolete Acanthocephala infectious disease,A Pseudocoelomata infectious disease that involves infection by parasitic worms known as thorny-headed worms,granulomatous amoebic encephalitis,parasitic helminthiasis infectious disease
obsolete tick paralysis,A Pseudocoelomata infectious disease that involves infection by parasitic worms known as thorny-headed worms,granulomatous amoebic encephalitis,parasitic helminthiasis infectious disease
taeniasis,A parasitic helminthiasis infectious disease that has_material_basis_in Taenia solium or has_material_basis_in Taenia saginata,Taenia saginata infectious disease,parasitic helminthiasis infectious disease
hymenolepiasis,A parasitic helminthiasis infectious disease that involves infection of the bowel by Hymenolepis nana or Hymenolepis diminuta. The symptoms include diarrhea,Hymenolepis infectious disease,parasitic helminthiasis infectious disease
diphyllobothriasis,A parasitic helminthiasis infectious disease that involves parasitic infection caused by Diphyllobothrium latum through the consumption of raw or undercooked fish. The symptoms include abdominal discomfort,fish tapeworm,parasitic helminthiasis infectious disease
filariasis,A parasitic helminthiasis infectious disease that involves parasitic infection of the lymphatics and subcutaneous tissue by nematodes of the superfamily Filarioidea.,disease due to superfamily Filarioidea,parasitic helminthiasis infectious disease
strongyloidiasis,A parasitic helminthiasis infectious disease that involves infection of the intestine,Infection by Strongyloides,parasitic helminthiasis infectious disease
obsolete Enterobacter aerogenes intestinal infectious disease,An intestinal infectious disease that involves infection of the intestine by nosocomial bacterium Enterobacter aerogenes,intestinal infection due to aerobacter aerogenes,parasitic helminthiasis infectious disease
obsolete Salmonella arizonae intestinal infectious disease,A Salmonella infectious disease that involves infection of the intestine caused by Salmonella enterica subsp arizonae,intestinal infectious disease due to arizona group of paracolon bacilli,parasitic helminthiasis infectious disease
obsolete Escherichia coli intestinal infectious disease,A primary bacterial infectious disease that involves infection of the intestine by the bacterium Escherichia coli,intestinal infectious disease due to Escherichia coli,parasitic helminthiasis infectious disease
gnathomiasis,A parasitic helminthiasis infectious disease that involves parasitic infection due to migrating immature worms of Gnathostoma spinigerum or Gnathostoma hispidum,Infectious Disease by Gnathostoma,parasitic helminthiasis infectious disease
fascioloidiasis,A parasitic helminthiasis infectious disease that involves parasitic infection of the liver of a variety of wild and domestic ruminants by Fascioloides magna.,Median nerve entrapment,parasitic helminthiasis infectious disease
echinostomiasis,A parasitic helminthiasis infectious disease that involves parasitic infection of the intestine by Echinostoma species. The symptoms include nausea,Infection by Echinochasmus,parasitic helminthiasis infectious disease
obsolete Fetal Macrosomia,A parasitic helminthiasis infectious disease that involves parasitic infection of the intestine by Echinostoma species. The symptoms include nausea,fetal macrosomia,parasitic helminthiasis infectious disease
dicrocoeliasis,A parasitic helminthiasis infectious disease that involves parasitic infection of the bile ducts of the liver by Dicrocoelium dendriticum. The symptoms include cholecystitis,disease due to Dicrocoeliidae,parasitic helminthiasis infectious disease
capillariasis,A parasitic helminthiasis infectious disease that involves infection of the intestine,Capillaria infection,parasitic helminthiasis infectious disease
trichuriasis,A parasitic helminthiasis infectious disease that involves parasitic infection located_in intestine in humans,Whipworm disease,parasitic helminthiasis infectious disease
