Name,Definition,Synonym,Output
trypanosomiasis,A parasitic protozoa infectious disease that involves infection caused by parasitic protozoan of the genus Trypanosoma in animals and humans.,African trypanosomiasis,parasitic protozoa infectious disease
obsolete Trypanosoma brucei rhodesiense infectious disease,A sleeping sickness that involves infection caused by Trypanosoma brucei rhodesiense,trypanosoma rhodesiense infectious disease,parasitic protozoa infectious disease
obsolete Trypanosoma brucei gambiense infectious disease,A sleeping sickness that involves infection caused by Trypanosoma brucei gambiense,West African trypanosomiasis,parasitic protozoa infectious disease
giardiasis,A parasitic protozoa infectious disease that involves infection of the small intestine by a single-celled enteric protozoan parasite Giardia intestinalis. The symptoms include greasy and malodorous stools,Infection by Giardia lamblia,parasitic protozoa infectious disease
malaria,A parasitic protozoa infectious disease characterized as a vector-borne infectious disease caused by the presence of protozoan parasites of the genus Plasmodium in the red blood cells,induced malaria,parasitic protozoa infectious disease
balantidiasis,A parasitic protozoa infectious disease involving infection caused by Balantidium coli. The trophozoites are capable of attacking the intestinal epithelium,Shigella sonnei infectious disease,parasitic protozoa infectious disease
trichomoniasis,A parasitic protozoa infectious disease that is caused by singled-celled protozoan parasites Trichomonas vaginalis or Trichomonas tenax,trichomonas infection,parasitic protozoa infectious disease
coccidiosis,A parasitic protozoa infectious disease that occurs in the intestinal tract of animals and humans caused by Coccidia protozoa. Immunocompromised persons are at greater risk of developing the infection.,intestinal coccidiosis,parasitic protozoa infectious disease
theileriasis,A parasitic protozoa infectious disease that involves infection of humans and cattle caused by a genus of parasitic protozoa Theileria,theileriosis,parasitic protozoa infectious disease
leishmaniasis,A parasitic protozoa infectious disease that involves infection caused by protozoan parasite of the genus Leishmania,Post-kala-azar dermal leishmaniasis,parasitic protozoa infectious disease
obsolete Hodgkin's paragranuloma involving intrathoracic lymph nodes,A parasitic protozoa infectious disease that involves infection caused by protozoan parasite of the genus Leishmania,Hodgkin's paragranuloma of intrathoracic lymph nodes (disorder),parasitic protozoa infectious disease
amebiasis,A parasitic protozoa infectious disease that involves infection caused by the amoeba Entamoeba histolytica. Amebic invasion of the intestinal lining causes dysentery,entamoebiasis,parasitic protozoa infectious disease
dientamoebiasis,A parasitic protozoa infectious disease that involves infection of the large intestine by a protozoan parasite Dientamoeba fragilis. The symptoms include diarrhea,intestinal trichomoniasis,parasitic protozoa infectious disease
babesiosis,A parasitic protozoa infectious disease that has_symptom mild fevers and has_symptom anemia described as malaria-like symptoms caused by a protozoan of genus Babesia,piroplasmosis,parasitic protozoa infectious disease
obsolete obstructed labor,A parasitic protozoa infectious disease that has_symptom mild fevers and has_symptom anemia described as malaria-like symptoms caused by a protozoan of genus Babesia,piroplasmosis,parasitic protozoa infectious disease
