Name,Definition,Synonym,Output
autoimmune disease of peripheral nervous system,An autoimmune disease of the nervous system that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the peripheral nervous system.,thymoma with hypogammaglobulinemia,peripheral nervous system disease
obsolete medical disorder,A disease that is present at birth due to a genetic abnormality,thymoma with hypogammaglobulinemia,peripheral nervous system disease
autonomic nervous system disease,A brain disease that is characterized by pressure on the intracranial tissues by an effusion of blood or cerebrospinal fluid,autonomic nervous system disorder,peripheral nervous system disease
Cauda equina syndrome,A peripheral nervous system disease that involves an acute loss of function of the lumbar plexus,Pneumococcal meningitis (disorder),peripheral nervous system disease
obsolete Escherichia coli meningitis,A peripheral nervous system disease that involves an acute loss of function of the lumbar plexus,Meningitis due to E. coli,peripheral nervous system disease
polyneuropathy,A peripheral system disease that is characterized by is damage affecting peripheral nerves (peripheral neuropathy) in roughly the same areas on both sides of the body,Residual schizophrenia,peripheral nervous system disease
lumbosacral plexus lesion,A color blindness that is characterized by a congenital cone color vision disorder,Lumbosacral plexus lesions,peripheral nervous system disease
hemangioma of peripheral nerve,An autonomic nervous system benign neoplasm that is characterized by the presence of mature ganglion cells and a mature Schwannian stroma and arises from the sympathetic trunk in the mediastinum.,Occult carcinoma of the lung,peripheral nervous system disease
obsolete metastatic lung carcinoma,An autonomic nervous system benign neoplasm that is characterized by the presence of mature ganglion cells and a mature Schwannian stroma and arises from the sympathetic trunk in the mediastinum.,Unspecified stage IV carcinoma of lung,peripheral nervous system disease
nerve compression syndrome,A leiomyomatosis that is located within the blood vessels.,peripheral nerve entrapment syndrome,peripheral nervous system disease
peroneal nerve paralysis,A benign perivascular tumor that is characterized as a vascular variant of a glomus tumor.,Peroneal nerve palsy,peripheral nervous system disease
malignant melanocytic peripheral nerve sheath tumor of mediastinum,A lipid-rich carcinoma characterized by the presence of cytoplasmic neutral lipids in the vast majority of the malignant cells.,mediastinal melanocytic MPNST,peripheral nervous system disease
obsolete malignant mediastinal peripheral nerve sheath tumor,A lipid-rich carcinoma characterized by the presence of cytoplasmic neutral lipids in the vast majority of the malignant cells.,MPNST of mediastinum,peripheral nervous system disease
neuropathy,A nervous system disease that is located_in nerves or nerve cells.,peripheral neuropathy,peripheral nervous system disease
obsolete Hodgkin's lymphoma,A nervous system disease that is located_in nerves or nerve cells.,Hodgkin's disease,peripheral nervous system disease
