Name,Definition,Synonym,Output
peroxisome biogenesis disorder 1A,A peroxisomal biogenesis disorder that has_material_basis_in homozygous or compound heterozygous mutation in the PEX1 gene on chromosome 7q21.,peroxisome biogenesis disorder 1A (Zellweger),peroxisomal biogenesis disorder
peroxisome biogenesis disorder 2A,A peroxisomal biogenesis disorder that has_material_basis_in homozygous mutation in the PEX5 gene on chromosome 12p13.,peroxisome biogenesis disorder 2A (Zellweger),peroxisomal biogenesis disorder
peroxisome biogenesis disorder 3A,A peroxisomal biogenesis disorder that has_material_basis_in homozygous or compound heterozygous mutation in the PEX12 gene on chromosome 17.,peroxisome biogenesis disorder 3A (Zellweger),peroxisomal biogenesis disorder
peroxisome biogenesis disorder 4A,A peroxisomal biogenesis disorder that has_material_basis_in homozygous or compound heterozygous mutation in the PEX6 gene on chromosome 6p21.1.,peroxisome biogenesis disorder 4A (Zellweger),peroxisomal biogenesis disorder
peroxisome biogenesis disorder 5A,A peroxisomal biogenesis disorder that has_material_basis_in homozygous mutation in the PEX2 gene on chromosome 8q21.,peroxisome biogenesis disorder 5A (Zellweger),peroxisomal biogenesis disorder
peroxisome biogenesis disorder 6A,A peroxisomal biogenesis disorder that has_material_basis_in homozygous or compound heterozygous mutation in the PEX10 gene on chromosome 1p36.,peroxisome biogenesis disorder 6A (Zellweger),peroxisomal biogenesis disorder
peroxisome biogenesis disorder 7A,A peroxisomal biogenesis disorder that has_material_basis_in homozygous or compound heterozygous mutation in the PEX26 gene on chromosome 22q11.,peroxisome biogenesis disorder 7A (Zellweger),peroxisomal biogenesis disorder
peroxisome biogenesis disorder 8A,A peroxisomal biogenesis disorder that has_material_basis_in homozygous mutation in the PEX16 gene on chromosome 11p11.,peroxisome biogenesis disorder 8A (Zellweger),peroxisomal biogenesis disorder
peroxisome biogenesis disorder 10A,A peroxisomal biogenesis disorder that has_material_basis_in homozygous mutation in the PEX3 gene on chromosome 6q24.,peroxisome biogenesis disorder 10A (Zellweger),peroxisomal biogenesis disorder
peroxisome biogenesis disorder 11A,A peroxisomal biogenesis disorder that has_material_basis_in homozygous mutation in the PEX13 gene on chromosome 2p15.,peroxisome biogenesis disorder 11A (Zellweger),peroxisomal biogenesis disorder
peroxisome biogenesis disorder 12A,A peroxisomal biogenesis disorder that has_material_basis_in homozygous mutation in the PEX19 gene on chromosome 1q23.,peroxisome biogenesis disorder 12A (Zellweger),peroxisomal biogenesis disorder
peroxisome biogenesis disorder 13A,A peroxisomal biogenesis disorder that has_material_basis_in homozygous mutation in the PEX14 gene on chromosome 1p36.,peroxisome biogenesis disorder 13A (Zellweger),peroxisomal biogenesis disorder
Zellweger syndrome,A peroxisomal biogenesis disorder that is characterized by the reduction or absence of functional peroxisomes in the cells of an individual that has_material_basis_in autosomal recessive inheritance of a mutation in the peroxisome biogenesis factor (PEX) genes.,peroxisome biogenesis disorder,peroxisomal biogenesis disorder
obsolete Herpes simplex virus meningitis,A Simplexvirus infectious disease that results_in inflammation located_in meninges,Mollaret's meningitis,peroxisomal biogenesis disorder
obsolete Hodgkin's lymphoma,A Simplexvirus infectious disease that results_in inflammation located_in meninges,Hodgkin's disease,peroxisomal biogenesis disorder
