Name,Definition,Synonym,Output
schizotypal personality disorder,A personality disorder that involves a need for social isolation,cystine storage disease,personality disorder
borderline personality disorder,A personality disorder that involves a prolonged disturbance of personality function characterized by depth and variability of moods.,chronic gastrojejunal ulcer without mention of hemorrhage or perforation,personality disorder
dependent personality disorder,A personality disorder that is characterized by a pervasive psychological dependence on other people.,chronic gastrojejunal ulcer without mention of hemorrhage or perforation,personality disorder
obsessive-compulsive personality disorder,A personality disorder that is characterized by a pervasive pattern of preoccupation with orderliness,OCPD,personality disorder
schizoid personality disorder,A personality disorder that is characterized by a lack of interest in social relationships,dissociative reaction,personality disorder
paranoid personality disorder,A personality disorder that is characterized by paranoia and a pervasive,dissociative reaction,personality disorder
antisocial personality disorder,A personality disorder that involves a pervasive pattern of disregard for,sociopathic personality,personality disorder
avoidant personality disorder,A personality disorder that is characterized by a pervasive pattern of social inhibition,anxious personality disorder,personality disorder
narcissistic personality disorder,A personality disorder that involves an excessive preoccupation with issues of personal adequacy,ear and mastoid disease,personality disorder
histrionic personality disorder,A personality disorder that is characterized by a pattern of excessive emotionality and attention-seeking,Frontal lobe epilepsy,personality disorder
obsolete lymphangioendothelioma,A personality disorder that is characterized by a pattern of excessive emotionality and attention-seeking,Lymphangioendothelioma,personality disorder
