Name,Definition,Synonym,Output
visceral heterotaxy,A physical disorder characterized by the abnormal distribution of the major visceral organs within the chest and abdomen.,situs ambiguus,physical disorder
orofacial cleft,A physical disorder that is characterized by cleft lip and/or cleft palate that result in feeding,X-linked deafness,physical disorder
renal-hepatic-pancreatic dysplasia,A physical disorder characterized by pancreatic fibrosis,Ivemark's syndrome,physical disorder
omphalocele,A physical disorder characterized by a defect in the development of the abdominal wall muscles,omphalocoele,physical disorder
agnathia-otocephaly complex,A physical disorder characterized by mandibular hypoplasia or agnathia,otocephaly,physical disorder
neural tube defect,A Charcot-Marie-Tooth disease that is characterized by optic atrophy followed by retinitis pigmentosa.,mucolipidosis III,physical disorder
bladder exstrophy-epispadias-cloacal exstrophy complex,A physical disorder that is characterized as a spectrum of anomalies involving the urinary tract,exstrophy-epispadias complex,physical disorder
cleft palate-lateral synechia syndrome,A physical disorder that is characterized by fusion of maxilla and mandible with autosomal dominant inheritance.,syngnathia,physical disorder
Klippel-Feil syndrome,A physical disorder that has_material_basis_in abnormal segmentation of the vertebra during fetal development which results in fusion located in cervical vertebra.,Klippel-Feil deformity,physical disorder
hypospadias,A physical disorder characterized by an abnormally placed urethral opening on the underside of the penis or on the perineum.,familial hypospadias,physical disorder
obsolete leukemic reticuloendotheliosis of lymph nodes of axilla and upper limb,A physical disorder characterized by an abnormally placed urethral opening on the underside of the penis or on the perineum.,Leukemic reticuloendotheliosis of lymph nodes of axilla and/or upper limb (disorder),physical disorder
obsolete pulmonary actinomycosis,An actinomycosis that results_in infection,thoracic actinomycosis,physical disorder
gastroschisis,A syndrome that results_in rheumatoid arthritis,Rheumatoid arthritis with splenoadenomegaly and leukopenia,physical disorder
cryptorchidism,A parasitic helminthiasis infectious disease that involves parasitic infection due to migrating immature worms of Gnathostoma spinigerum or Gnathostoma hispidum,Undescended testis,physical disorder
polydactyly,A bone resorption disease characterized by decreased density of normally mineralized bone which results_in the thinning of bone tissue and decreased mechanical strength.,Supernumerary digit,physical disorder
Poland syndrome,A synostosis that results_in craniosynostosis and syndactyly.,Poland's syndactyly,physical disorder
Proteus syndrome,An osteochondrodysplasia that results_in short arms and legs with excess folds of skin.,Wiedemann's syndrome,physical disorder
obsolete disorganized type schizophrenia chronic state,An osteochondrodysplasia that results_in short arms and legs with excess folds of skin.,Wiedemann's syndrome,physical disorder
Weaver syndrome,An autosomal recessive disease characterized by inability to process isoleucine and ketones,Weaver-Williams syndrome,physical disorder
Meckel's diverticulum,An endogenous depression that involves intense,Persistent vitelline duct,physical disorder
radioulnar synostosis,A vasculitis that is characterized by necrotizing inflammation of medium or small arteries.,Choroidal dystrophy,physical disorder
