Name,Definition,Synonym,Output
chorioamnionitis,A placenta disease that is an inflammation of the fetal membranes (amnion and chorion) due to a bacterial infection.,brachyrachia,placenta disease
placenta praevia,A placenta disease that is characterized by placenta attachment to the uterine wall close to or covering the cervix.,Lymphoma of esophagus,placenta disease
oligohydramnios,A placenta disease that is characterized by a deficiency of amniotic fluid sometimes resulting in an embryonic defect through adherence between embryo and amnion.,Oligohydramnios - delivered,placenta disease
placenta cancer,A female reproductive organ cancer that is located_in the placenta.,primary malignant neoplasm of placenta,placenta disease
obsolete metastatic neoplasm to the placenta,A female reproductive organ cancer that is located_in the placenta.,metastatic tumor to the Placenta,placenta disease
chorioangioma,A specific developmental disorder that is characterized by the persistent presence of involuntary brief movements or sounds occuring intermittently and unpredictably out of a background of normal motor activity.,Placental hemangioma,placenta disease
obsolete diaper rash,A specific developmental disorder that is characterized by the persistent presence of involuntary brief movements or sounds occuring intermittently and unpredictably out of a background of normal motor activity.,Jacquet's dermatitis,placenta disease
obsolete atopic dermatitis and related conditions,A specific developmental disorder that is characterized by the persistent presence of involuntary brief movements or sounds occuring intermittently and unpredictably out of a background of normal motor activity.,Jacquet's dermatitis,placenta disease
placental insufficiency,A placenta disease that is characterized by insufficient blood flow to the placenta during pregnancy.,Pyrroloporphyria,placenta disease
placenta accreta,A placenta disease that is characterized by an abnormally deep attachment of the placenta,mixed germ cell tumor of testis,placenta disease
obsolete olfaction disorder,A placenta disease that is characterized by an abnormally deep attachment of the placenta,disorder of smell (disorder),placenta disease
obsolete childhood supratentorial neoplasm,A placenta disease that is characterized by an abnormally deep attachment of the placenta,pediatric Supratentorial tumor,placenta disease
polyhydramnios,A placenta disease that is characterized by an excess of amniotic fluid in the amniotic sac.,secondary retinal cysts (disorder),placenta disease
obsolete disorder of amniotic fluid and membranes,A placenta disease that is characterized by an excess of amniotic fluid in the amniotic sac.,secondary retinal cysts (disorder),placenta disease
placental abruption,A placenta disease that is characterized by separation of the placental lining from the uterus of the mother.,abruptio placentae,placenta disease
