Name,Definition,Synonym,Output
mixed mineral dust pneumoconiosis,An interstitial lung disease that is caused by the inhalation of dust.,Mumps pancreatitis (disorder),pneumoconiosis
asbestosis,A pneumoconiosis caused by inhalation and retention of asbestos fibers.,Mumps pancreatitis (disorder),pneumoconiosis
baritosis,A pneumoconiosis caused by inhalation and retention of asbestos fibers.,Mumps pancreatitis (disorder),pneumoconiosis
berylliosis,A pneumoconiosis that involves allergic response located_in lungs caused by inhalation of beryllium compounds.,beryllium poisoning,pneumoconiosis
byssinosis,A pneumoconiosis that involves allergic response located_in lungs caused by inhalation of beryllium compounds.,Stripper's asthma,pneumoconiosis
anthracosilicosis,A pneumoconiosis that involves allergic response located_in lungs caused by inhalation of beryllium compounds.,Stripper's asthma,pneumoconiosis
silicosis,A pneumoconiosis that is an inflammation and scarring of the uper lobes of the lungs causing nodular lesions resulting from inhalation of silica,silicotuberculosis,pneumoconiosis
Caplan's syndrome,A pneumoconiosis that results_in humans that also have rheumatoid arthritis.,Rheumatoid pneumoconiosis,pneumoconiosis
anthracosis,A pneumoconiosis that results_in humans that also have rheumatoid arthritis.,Melanoedema,pneumoconiosis
siderosis,A pneumoconiosis that results_in humans that also have rheumatoid arthritis.,pulmonary siderosis,pneumoconiosis
pneumoconiosis due to talc,A pneumoconiosis that results_in humans that also have rheumatoid arthritis.,Talc Pneumoconiosis,pneumoconiosis
slate pneumoconiosis,A pneumoconiosis that results_in humans that also have rheumatoid arthritis.,Schistosis,pneumoconiosis
kaolin pneumoconiosis,A pneumoconiosis that results_in humans that also have rheumatoid arthritis.,Kaolinosis,pneumoconiosis
obsolete disorder of optic chiasm due to vascular disorder,A pneumoconiosis that results_in humans that also have rheumatoid arthritis.,disorder of optic chiasm associated with vascular disorder,pneumoconiosis
obsolete craniofacial abnormality,A pneumoconiosis that results_in humans that also have rheumatoid arthritis.,Skull or face bone anomaly NOS (disorder),pneumoconiosis
