Name,Definition,Synonym,Output
pontocerebellar hypoplasia type 1A,A pontocerebellar hypoplasia that is characterized by central and peripheral motor dysfunction,PCH,pontocerebellar hypoplasia
pontocerebellar hypoplasia type 1B,A severe pontocerebellar hypoplasia that is characterized by hypotonia,PCH,pontocerebellar hypoplasia
pontocerebellar hypoplasia type 2A,A severe pontocerebellar hypoplasia that is characterized by progressive microcephaly,PCH,pontocerebellar hypoplasia
pontocerebellar hypoplasia type 2B,A severe pontocerebellar hypoplasia that is characterized by progressive microcephaly,PCH,pontocerebellar hypoplasia
pontocerebellar hypoplasia type 2C,A severe pontocerebellar hypoplasia that is characterized by progressive microcephaly,PCH,pontocerebellar hypoplasia
pontocerebellar hypoplasia type 2D,A pontocerebellar hypoplasia that is characterized by progressive microcephaly,PCH,pontocerebellar hypoplasia
pontocerebellar hypoplasia type 2E,A pontocerebellar hypoplasia that is characterized by progressive microcephaly,PCH,pontocerebellar hypoplasia
pontocerebellar hypoplasia type 3,A pontocerebellar hypoplasia that is characterized by progressive microcephaly,PCH,pontocerebellar hypoplasia
pontocerebellar hypoplasia type 4,A pontocerebellar hypoplasia that is characterized by progressive microcephaly,PCH,pontocerebellar hypoplasia
pontocerebellar hypoplasia type 5,A pontocerebellar hypoplasia that is characterized by severe olivopontocerebellar hypoplasia and degeneration leading to early lethality,PCH,pontocerebellar hypoplasia
pontocerebellar hypoplasia type 6,A pontocerebellar hypoplasia that is characterized by olivopontocerebellar hypoplasia and developmental delay,PCH,pontocerebellar hypoplasia
pontocerebellar hypoplasia type 7,A pontocerebellar hypoplasia that is characterized by delayed psychomotor development,PCH,pontocerebellar hypoplasia
pontocerebellar hypoplasia type 8,A pontocerebellar hypoplasia that is characterized by delayed psychomotor development,PCH,pontocerebellar hypoplasia
pontocerebellar hypoplasia type 9,A pontocerebellar hypoplasia that is characterized by progressive microcephaly,PCH,pontocerebellar hypoplasia
pontocerebellar hypoplasia type 10,A pontocerebellar hypoplasia that is characterized by severe developmental delays,PCH,pontocerebellar hypoplasia
