Name,Definition,Synonym,Output
primary autosomal recessive microcephaly 15,A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the MFSD2A gene on chromosome 1p34.,MCPH15,primary autosomal recessive microcephaly
primary autosomal recessive microcephaly 7,A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the STIL gene on chromosome 1p33.,MCPH7,primary autosomal recessive microcephaly
primary autosomal recessive microcephaly 14,A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the SASS6 gene on chromosome 1p21.,MCPH14,primary autosomal recessive microcephaly
primary autosomal recessive microcephaly 5,A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the ASPM gene on chromosome 1q31.,MCPH5,primary autosomal recessive microcephaly
primary autosomal recessive microcephaly 19,A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the COPB2 gene on chromosome 3q23.,MCPH19,primary autosomal recessive microcephaly
primary autosomal recessive microcephaly 8,A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the CEP135 gene on chromosome 4q.,MCPH8,primary autosomal recessive microcephaly
primary autosomal recessive microcephaly 13,A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the CENPE gene on chromosome 4q24.,MCPH13,primary autosomal recessive microcephaly
primary autosomal recessive microcephaly 12,A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the CDK6 gene on chromosome 7q21.,MCPH12,primary autosomal recessive microcephaly
primary autosomal recessive microcephaly 1,A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the MCPH1 gene on chromosome 8p23.,MCPH1,primary autosomal recessive microcephaly
primary autosomal recessive microcephaly 3,A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the CDK5RAP2 gene on chromosome 9q33.,MCPH3,primary autosomal recessive microcephaly
primary autosomal recessive microcephaly 11,A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the PHC1 gene on chromosome 12p13.,MCPH11,primary autosomal recessive microcephaly
primary autosomal recessive microcephaly 17,A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the CIT gene on chromosome 12q24.,MCPH17,primary autosomal recessive microcephaly
primary autosomal recessive microcephaly 16,A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the ANKLE2 gene on chromosome 12q24.,MCPH16,primary autosomal recessive microcephaly
primary autosomal recessive microcephaly 6,A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the CENPJ gene on chromosome 13q12.,MCPH6,primary autosomal recessive microcephaly
primary autosomal recessive microcephaly 4,A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the KNL1 gene on chromosome 15q15.,MCPH4,primary autosomal recessive microcephaly
primary autosomal recessive microcephaly 9,A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the CEP152 gene on chromosome 15q21.,MCPH9,primary autosomal recessive microcephaly
primary autosomal recessive microcephaly 2 with or without cortical malformations,A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the WDR62 gene on chromosome 19q13.,MCPH2,primary autosomal recessive microcephaly
primary autosomal recessive microcephaly 10,A primary autosomal recessive microcephaly that has_material_basis_in homozygous or compound heterozygous mutation in the ZNF335 gene on chromosome 20q13.,MCPH10,primary autosomal recessive microcephaly
