Name,Definition,Synonym,Output
Kartagener syndrome,A primary ciliary dyskinesia that is characterized by sinusitis,Kartagener's syndrome,primary ciliary dyskinesia
primary ciliary dyskinesia 37,A familial nephrotic syndrome that has_material_basis_in autosomal recessive inheritance of homozygous or compound heterozygous mutation in the sphingosine-1-phosphate lyase 1 (SGPL1) gene on chromosome 10q21.,Alwadei syndrome,primary ciliary dyskinesia
primary ciliary dyskinesia 1,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with outer dynein arm defect and in about half of patients situs inversus and has_material_basis_in compound heterozygous mutation in the DNAI1 gene on chromosome 9p13.,primary ciliary dyskinesia 1 with or without situs inversus,primary ciliary dyskinesia
Stromme syndrome,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance and ciliopathy with some type of intestinal atresia,primary ciliary dyskinesia 31,primary ciliary dyskinesia
primary ciliary dyskinesia 21,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with a missing Nexin link,primary ciliary dyskinesia 21 without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 22,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with outer and inner dynein arm defect,primary ciliary dyskinesia 22 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 14,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with inner dynein arm defect and axonemal disorganization,primary ciliary dyskinesia 14 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 3,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with outer dynein arm defect,primary ciliary dyskinesia 3 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 29,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with oligocilia and early childhood onset of recurrent respiratory infections,primary ciliary dyskinesia 29 without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 12,A primary ciliary dyskinesia that is characterized by reduced exercise tolerance,primary ciliary dyskinesia 12 without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 11,A primary ciliary dyskinesia that is characterized by reduced exercise tolerance,primary ciliary dyskinesia 11 without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 32,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with near absence of radial spokes,primary ciliary dyskinesia 32 without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 18,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with outer and inner dynein arm defect,primary ciliary dyskinesia 18 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 7,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with chronic respiratory infections,primary ciliary dyskinesia 7 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 6,A primary ciliary dyskinesia that is characterized by partial outer dynein arm defect and has_material_basis_in mutation in the TXNDC3 gene on the chromosome 7p14.1.,CILD6,primary ciliary dyskinesia
primary ciliary dyskinesia 28,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with outer and inner dynein arm defect,primary ciliary dyskinesia 28 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 19,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with outer and inner dynein arm defect,primary ciliary dyskinesia 19 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 23,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with outer dynein arm defect,primary ciliary dyskinesia 23 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 34,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with childhood onset of recurrent sinopulmonary infections and male infertility and has_material_basis_in homozygous mutation in the DNAJB13 gene on chromosome 11q13.,primary ciliary dyskinesia 34 without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 27,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with neonatal respiratory distress,primary ciliary dyskinesia 27 without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 10,A primary ciliary dyskinesia that is characterized by outer and inner dynein arm absence,primary ciliary dyskinesia 10 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 16,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with absence of ciliary outer dynein arms,primary ciliary dyskinesia 16 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 4,A primary ciliary dyskinesia that is characterized by partial absence of the inner dynein arms with variable occurrence of situs inversus and has_material_basis_in variation in the chromosome region 15q13.1-q15.1.,primary ciliary dyskinesia 4 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 25,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with inner and outer dynein arm defect,primary ciliary dyskinesia 25 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 8,A primary ciliary dyskinesia that has_material_basis_in variation in the chromosome region 15q24-q25.,primary ciliary dyskinesia 8 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 5,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with early onset of a progressive decline in lung function and has_material_basis_in homozygous mutation in the HYDIN gene on chromosome 16q22.,primary ciliary dyskinesia 5 without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 13,A primary ciliary dyskinesia that is characterized by inner and outer dynein arm defect,primary ciliary dyskinesia 13 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 33,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with recurrent upper and lower respiratory infections and has_material_basis_in homozygous mutation in the GAS8 gene on chromosome 16q24.,primary ciliary dyskinesia 33 without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 35,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with absent outer dynein arms,primary ciliary dyskinesia 35 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 17,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with inner and outer dynein arm defect,primary ciliary dyskinesia 17 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 9,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with outer dynein arm defect,primary ciliary dyskinesia 9 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 15,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with inner dynein arm defect,primary ciliary dyskinesia 15 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 30,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with outer dynein arm defect,primary ciliary dyskinesia 30 without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 20,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with outer dynein arm defect,primary ciliary dyskinesia 20 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 2,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with inner and outer dynein arm defect,primary ciliary dyskinesia 2 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 26,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with inner and outer dynein arm defect,primary ciliary dyskinesia 26 with or without situs inversus,primary ciliary dyskinesia
primary ciliary dyskinesia 24,A primary ciliary dyskinesia that is characterized by autosomal recessive inheritance with sinopulmonary infection and subfertility and has_material_basis_in homozygous or compound heterozygous mutation in the RSPH1 gene on chromosome 21q22.,primary ciliary dyskinesia 24 without situs inversus,primary ciliary dyskinesia
