Name,Definition,Synonym,Output
WHIM syndrome,An immunodeficiency disease that is characterized by neutropenia,WHIMS,primary immunodeficiency disease
lymphoproliferative syndrome,A primary immunodeficiency disease characterized by immune dysregulation typically after viral infection,FGFR3-related craniosynostosis,primary immunodeficiency disease
familial cold autoinflammatory syndrome,A primary immunodeficiency disease characterized by recurrent episodes of maculopapular skin rash triggered by exposure to cold associated with low-grade fever,Paroxysmal kinesigenic choreoathetosis,primary immunodeficiency disease
T cell deficiency,A primary immunodeficiency disease that is characterized by decreased numbers of circulating or functioning T cells.,T lymphocyte immunodeficiency,primary immunodeficiency disease
Nezelof syndrome,A primary immunodeficiency disease that results from the disfunction or underdevelopment of the thymus.,thymic dysplasia with normal immunoglobulins,primary immunodeficiency disease
obsolete perinatal digestive system disorder,A primary immunodeficiency disease that results from the disfunction or underdevelopment of the thymus.,thymic dysplasia with normal immunoglobulins,primary immunodeficiency disease
B cell deficiency,A primary immunnodeficiency disease that is caused by a lack of infection-fighting antibody producing B cells (immunoglobulins) or B cells that are not functioning properly.,immunoglobulin heavy chain deletion,primary immunodeficiency disease
phagocyte bactericidal dysfunction,A primary immunodeficiency disease where phagocytes have a diminished ability to fight bacterial infection.,phagocytic dysfunction,primary immunodeficiency disease
complement deficiency,A primary immunodeficiency disease that is the result in a mutation of a gene encoding one of the thirty complement system proteins,Complement deficiency disease,primary immunodeficiency disease
combined T cell and B cell immunodeficiency,A primary immunodeficiency disease that involves multiple components of the immune system,Congenital Combined Immunodeficiency,primary immunodeficiency disease
