Name,Definition,Synonym,Output
fatal familial insomnia,A prion disease that is characterized by insomnia,ARVD,prion disease
Huntington's disease-like 1,A prion disease that is characterized by a phenocopy of Huntington disease (unwanted choreatic movements,Huntington-like neurodegenerative disorder 1,prion disease
Creutzfeldt-Jakob disease,A Trichomonas vaginalis trichomoniasis that involves inflammation of the urinary bladder caused by Trichomonas vaginalis. The symptoms include pain during urination,Transmissible virus dementia,prion disease
chronic wasting disease,A cerebrovascular disease that is characterized by an area of necrotic tissue in the brain resulting from a blockage or narrowing in the arteries supplying blood and oxygen to the brain.,central core disease,prion disease
obsolete peste des petits ruminants infectious disease,A viral infectious disease that results_in infection in ruminants,Stomatitis-Pneumoenteritis Syndrome,prion disease
obsolete Morbillivirus infectious disease,A Paramyxoviridae infectious disease that results_in infection in dogs,Stomatitis-Pneumoenteritis Syndrome,prion disease
Gerstmann-Straussler-Scheinker syndrome,A prion disease characterized by adult onset of memory loss,PRION DEMENTIA,prion disease
obsolete certain conditions originating in the perinatal period,A prion disease characterized by adult onset of memory loss,PRION DEMENTIA,prion disease
scrapie,An ovarian disease where ovaries do not produce estrogen despite high levels of circulating gonadotropins in women under 40.,urinary tract inverted papilloma,prion disease
variant Creutzfeldt-Jakob disease,An ovarian disease where ovaries do not produce estrogen despite high levels of circulating gonadotropins in women under 40.,bovine spongiform encephalopathy,prion disease
kuru,A Polyomaviridae infectious disease that results_in infection in animals and humans,kuru encephalopathy,prion disease
