Name,Definition,Synonym,Output
pustular psoriasis 14,A psoriasis characterized by sudden,deficiency of IL-36R antagonistacrodermatitis continua of hallopeau,psoriasis
psoriasis 2,A psoriasis that has_material_basis_in heterozygous mutation in the CARD14 gene on chromosome 17q25.,deficiency of IL-36R antagonistacrodermatitis continua of hallopeau,psoriasis
psoriasis 7,A psoriasis that has_material_basis_in variation in a region on chromosome 1p that includes IL23R.,PSORS7,psoriasis
psoriasis 4,A psoriasis that has_material_basis_in variation in a region on chromosome 1q21.,PSORS4,psoriasis
psoriasis 15,A psoriasis characterized by pustular psoriasis that has_material_basis_in heterozygous mutation in AP1S3 on chromosome 2q36.1.,PSORS15,psoriasis
psoriasis 5,A psoriasis that has_material_basis_in variation in a region on chromosome 3q21.,PSORS5,psoriasis
psoriasis 3,A psoriasis that has_material_basis_in variation in a region on chromosome 4q.,PSORS3,psoriasis
psoriasis 9,A psoriasis that has_material_basis_in variation in a region on chromosome 4q31-q34.,PSORS9,psoriasis
psoriasis 11,A psoriasis that has_material_basis_in variation in a region on chromosome 5q31.1-q33.1 that includes IL12B.,PSORS11,psoriasis
psoriasis 1,A psoriasis that has_material_basis_in variation in HLA-C on chromosome 6p21.33.,PSORS1,psoriasis
psoriasis 13,A psoriasis that has_material_basis_in variation in TRAF3IP2 on chromosome 6q21.,PSORS13,psoriasis
psoriasis 8,A psoriasis that has_material_basis_in variation in a region on chromosome 16q. This region overlaps one that is associated with inflammatory bowel disease 1 disease.,PSORS8,psoriasis
psoriasis 10,A psoriasis that has_material_basis_in variation in a region on chromosome 18p11.23.,PSORS10,psoriasis
psoriasis 6,A psoriasis that has_material_basis_in variation in a region on chromosome 19p13 that includes BSG.,PSORS6,psoriasis
psoriasis 12,A psoriasis that has_material_basis_in variation in a region on chromosome 20q13 that includes RNF114.,PSORS12,psoriasis
pityriasis rosea,A parasitic helminthiasis infectious disease that involves parasitic infection of the intestine by Fasciolopsis buski. The symptoms include diarrhea,Pityriasis rosea,psoriasis
parapsoriasis,An in situ carcinoma that is located_in the anus.,carcinoma in situ of anus,psoriasis
pityriasis rubra pilaris,A viral infectious disease that results_in inflammation located_in facial nerve,Pityriasis rubra pilaris,psoriasis
obsolete Herpes simplex virus iridocyclitis,A Simplexvirus infectious disease that results_in inflammation located_in iris and located_in ciliary body of the eye,Herpes simplex iridocyclitis (disorder),psoriasis
obsolete Hodgkin's lymphoma,A Simplexvirus infectious disease that results_in inflammation located_in iris and located_in ciliary body of the eye,Hodgkin's disease,psoriasis
obsolete herpes zoster eyelid dermatitis,A Varicellovirus infectious disease that results_in infection located_in skin of eyelid,Herpes zoster with dermatitis of eyelid (disorder),psoriasis
