Name,Definition,Synonym,Output
rectum lymphoma,A (-)ssRNA virus infectious disease that results_in infection in humans,Lymphoma of rectum,rectum cancer
obsolete metastasis to the rectum,A (-)ssRNA virus infectious disease that results_in infection in humans,metastatic tumor to the rectum,rectum cancer
obsolete metastases to large Intestine,A (-)ssRNA virus infectious disease that results_in infection in humans,secondary malignant neoplasm of large intestine (disorder),rectum cancer
rectum malignant melanoma,A (-)ssRNA virus infectious disease that results_in infection in humans,melanoma of rectum,rectum cancer
rectum sarcoma,A sarcoma and malignant tumor of rectum that is located_in the rectum.,sarcoma of rectum,rectum cancer
rectum squamous cell carcinoma,A squamous cell carcinoma that is located_in the rectum.,squamous cell carcinoma of the rectum,rectum cancer
rectum neuroendocrine neoplasm,A hematologic cancer and central nervous system neoplasm that is located_in the central nervous system.,neuroendocrine tumor of rectum,rectum cancer
obsolete urination disorder,A hematologic cancer and central nervous system neoplasm that is located_in the central nervous system.,urination disorder,rectum cancer
rectum sarcomatoid carcinoma,An ovarian disease that is characterized by the presence of nests of luteinized theca cells scattered throughout the ovary,sarcomatoid carcinoma of rectum,rectum cancer
obsolete rectal anaplastic carcinoma,An ovarian disease that is characterized by the presence of nests of luteinized theca cells scattered throughout the ovary,Undifferentiated carcinoma of rectum,rectum cancer
obsolete recurrent rectal cancer,An ovarian disease that is characterized by the presence of nests of luteinized theca cells scattered throughout the ovary,recurrent Rectal carcinoma,rectum cancer
