Name,Definition,Synonym,Output
childhood kidney cell carcinoma,A kidney cancer that derives_from the lining of the proximal convoluted tubule (the very small tubes in the kidney that filter the blood and remove waste products).,pediatric renal cell carcinoma,renal cell carcinoma
hereditary renal cell carcinoma,A kidney cancer that derives_from the lining of the proximal convoluted tubule (the very small tubes in the kidney that filter the blood and remove waste products).,pediatric renal cell carcinoma,renal cell carcinoma
multilocular clear cell renal cell carcinoma,An adrenal gland hyperfunction disease that results in the overproduction of aldosterone by the adrenal glands.,renal cystadenocarcinoma,renal cell carcinoma
collecting duct carcinoma,A renal cell carcinoma that begins in distal collecting ducts of the kidney with a tubulopapillary morphology and intracytoplasmic mucicarminophilic material.,renal Medullary carcinoma,renal cell carcinoma
papillary renal cell carcinoma,A renal cell carcinoma that is characterized by the development of multiple,sporadic papillary renal cell carcinoma,renal cell carcinoma
clear cell renal cell carcinoma,A renal cell carcinoma that has_material_basis_in cells that appear very pale or clear when examined under microscope.,renal clear cell carcinoma,renal cell carcinoma
chromophobe renal cell carcinoma,A renal cell carcinoma that has_material_basis_in chromophobe cell that appear pale when viewed under microscope,renal cell carcinoma,renal cell carcinoma
mucinous tubular and spindle renal cell carcinoma,A renal cell carcinoma that has_material_basis_in chromophobe cell that appear pale when viewed under microscope,renal cell carcinoma,renal cell carcinoma
sarcomatoid renal cell carcinoma,A renal cell carcinoma that has_material_basis_in chromophobe cell that appear pale when viewed under microscope,renal cell carcinoma,renal cell carcinoma
obsolete drug-Induced dyskinesia,A renal cell carcinoma that has_material_basis_in chromophobe cell that appear pale when viewed under microscope,Drug-induced dyskinesia (disorder),renal cell carcinoma
