Name,Definition,Synonym,Output
bradyopsia,A retinal disease characterized by the slower than usual adaptation of the eyes to changing light conditions; can have material basis in mutations in the RGS9 or the R9AP genes.,prolonged electroretinal response suppression,retinal disease
cone dystrophy,A retinal disease that is characterized by the loss of cone cells,retinal cone dystrophy,retinal disease
enhanced S-cone syndrome,A retinal disease that is characterized by early onset night blindness,Paroxysmal kinesigenic choreoathetosis,retinal disease
chorioretinal scar,A parasitic ectoparasitic infectious disease that is caused by parasitic dipterous fly larvae (maggots) feeding on the host's necrotic or living tissue.,Maggot infestation,retinal disease
hypertensive retinopathy,An arthritis that has_material_basis_in the accumulation of salt crystals located_in joint.,pseudogout,retinal disease
retinopathy of prematurity,A cryptococcosis that is_a disease associated with AIDS has_material_basis_in Cryptococcus neoformans which results_in a systemic infection in individuals with HIV.,Retrolental fibroplasia,retinal disease
angioid streaks,A vaginal cancer that has_material_basis in glandular tissue.,Red cell hypoplasia,retinal disease
rubeosis iridis,An eye disease that affects the lacrimal apparatus (the lacrimal gland and its related structures) which moisten and drain the eye.,small intestinal Lymphoma,retinal disease
obsolete diabetes mellitus insulin dependent type,An eye disease that affects the lacrimal apparatus (the lacrimal gland and its related structures) which moisten and drain the eye.,Diabetes mellitus type I [juvenile type],retinal disease
Leber congenital amaurosis,A retinal disease that is characterized by nystagmus,Leber's disease,retinal disease
retinal vascular disease,A blepharitis that is characterized by the dual combination of conjunctivitis with blepharitis.,retina circulation disorder,retinal disease
obsolete reactive confusion,A blepharitis that is characterized by the dual combination of conjunctivitis with blepharitis.,Psychogenic twilight state,retinal disease
retinitis,A breast adenocarcinoma in which at least one half of the tumor volume is extracellular mucin throughout.,acute retinal necrosis,retinal disease
retinal cancer,An epidermolysis bullosa that is characterized by recurrent blistering at the level of the epidermis secondary to minor trauma,Retinal tumor,retinal disease
retinal detachment,A fallopian tube cancer that derives_from germ cells.,Recent retinal detachment,retinal disease
obsolete retinal detachment and defect,A fallopian tube cancer that derives_from germ cells.,Unspecified retinal detachment with retinal defect (disorder),retinal disease
nerve fibre bundle defect,An extragonadal germ cell cancer that are located_in the pineal gland in the brain,Retinal nerve fiber bundle deficiency,retinal disease
retinal edema,A benign perivascular tumor that is characterized as a vascular variant of a glomus tumor.,Peroneal nerve palsy,retinal disease
macular holes,A male reproductive organ cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells and is_located_in the Cowper's gland.,Macular hole,retinal disease
retinal degeneration,A retinal disease that is characterized by deterioration of the retina caused by the progressive and eventual death of the cells of the retina.,RETINA degeneration,retinal disease
obsolete Retinoschisis and retinal cysts,A retinal disease that is characterized by deterioration of the retina caused by the progressive and eventual death of the cells of the retina.,RETINA degeneration,retinal disease
night blindness,An interstitial lung disease that is characterized by the development of pleuroparenchymal disease secondary to rheumatoid arthritis,Congenital night blindness,retinal disease
