Name,Definition,Synonym,Output
retinitis pigmentosa 81,An early infantile epileptic encephalopathy that has_material_basis_in heterozygous mutation in the GABBR2 gene on chromosome 9q22.,Alwadei syndrome,retinitis pigmentosa
retinitis pigmentosa 77,A retinitis pigmentosa that has_material_basis_in mutation in the REEP6 gene on chromosome 19p13.,epileptic encephalopathy with global cerebral demyelination,retinitis pigmentosa
retinitis pigmentosa 59,A retinitis pigmentosa that has_material_basis_in mutation in the DHDDS gene on chromosome 1p36.11.,RP59,retinitis pigmentosa
retinitis pigmentosa 20,A retinitis pigmentosa that has_material_basis_in mutation in the RPE65 gene on chromosome 1p31.,RP20,retinitis pigmentosa
retinitis pigmentosa 19,A retinitis pigmentosa that has_material_basis_in mutation in the ABCA4 gene on chromosome 1p22.,RP19,retinitis pigmentosa
retinitis pigmentosa 32,A retinitis pigmentosa that has_material_basis_in variation in the chromosome region 1p21.3-p13.3.,RP32,retinitis pigmentosa
retinitis pigmentosa 18,A retinitis pigmentosa that has_material_basis_in mutation in the PRPF3 gene on chromosome 1q21.,RP18,retinitis pigmentosa
retinitis pigmentosa 35,A retinitis pigmentosa that has_material_basis_in mutation in the SEMA4A gene on chromosome 1q22.,RP35,retinitis pigmentosa
retinitis pigmentosa 12,A retinitis pigmentosa that has_material_basis_in mutation in the CRB1 gene on chromosome 1q31.3.,RP12,retinitis pigmentosa
retinitis pigmentosa 67,A retinitis pigmentosa that has_material_basis_in mutation in the NEK2 gene on chromosome 1q32.,RP67,retinitis pigmentosa
retinitis pigmentosa 39,A retinitis pigmentosa that has_material_basis_in mutation in the USH2A gene on chromosome 1q41.,RP39,retinitis pigmentosa
retinitis pigmentosa 75,A retinitis pigmentosa that has_material_basis_in mutation in the AGBL5 gene on chromosome 2p23.,RP75,retinitis pigmentosa
retinitis pigmentosa 58,A retinitis pigmentosa that has_material_basis_in mutation in the ZNF513 gene on chromosome 2p23.,RP58,retinitis pigmentosa
retinitis pigmentosa 71,A retinitis pigmentosa that has_material_basis_in mutation in the IFT172 gene on chromosome 2p23.,RP71,retinitis pigmentosa
retinitis pigmentosa 54,A retinitis pigmentosa that has_material_basis_in mutation in the C2ORF71 gene on chromosome 2p23.,RP54,retinitis pigmentosa
retinitis pigmentosa 28,A retinitis pigmentosa that has_material_basis_in mutation in the FAM161A gene on chromosome 2p15.,RP28,retinitis pigmentosa
retinitis pigmentosa 33,A retinitis pigmentosa that has_material_basis_in mutation in the SNRNP200 gene on chromosome 2q11.,RP33,retinitis pigmentosa
retinitis pigmentosa 38,A retinitis pigmentosa that has_material_basis_in mutation in the MERTK gene on chromosome 2q13.,RP38,retinitis pigmentosa
retinitis pigmentosa 26,A retinitis pigmentosa that has_material_basis_in mutation in the CERKL gene on chromosome 2q31.,RP26,retinitis pigmentosa
retinitis pigmentosa 47,A retinitis pigmentosa that has_material_basis_in mutation in the SAG gene on chromosome 2q37.,RP47,retinitis pigmentosa
retinitis pigmentosa 55,A retinitis pigmentosa that has_material_basis_in mutation in the ARL6 gene on chromosome 3q11.2.,RP55,retinitis pigmentosa
retinitis pigmentosa 56,A retinitis pigmentosa that has_material_basis_in mutation in the IMPG2 gene on chromosome 3q12.3.,RP56,retinitis pigmentosa
retinitis pigmentosa 4,A retinitis pigmentosa that has_material_basis_in mutation in the RHO gene on chromosome 3q22.,RP4,retinitis pigmentosa
retinitis pigmentosa 61,A retinitis pigmentosa that has_material_basis_in mutation in the CLRN1 gene on chromosome 3q25.,RP61,retinitis pigmentosa
retinitis pigmentosa 68,A retinitis pigmentosa that has_material_basis_in mutation in the SLC7A14 gene on chromosome 3q26.,RP68,retinitis pigmentosa
retinitis pigmentosa 40,A retinitis pigmentosa that has_material_basis_in mutation in the PDE6B gene on chromosome 4p16.,RP40,retinitis pigmentosa
retinitis pigmentosa 41,A retinitis pigmentosa that has_material_basis_in mutation in the PROM1 gene on chromosome 4p15.,RP41,retinitis pigmentosa
retinitis pigmentosa 49,A retinitis pigmentosa that has_material_basis_in mutation in the CNGA1 gene on chromosome 4p12.,RP49,retinitis pigmentosa
retinitis pigmentosa 29,A retinitis pigmentosa that has_material_basis_in variation in the chromosome region 4q32-q34.,RP29,retinitis pigmentosa
retinitis pigmentosa 43,A retinitis pigmentosa that has_material_basis_in mutation in the PDE6A gene on chromosome 5q31-q33.,RP43,retinitis pigmentosa
retinitis pigmentosa 62,A retinitis pigmentosa that has_material_basis_in mutation in the MAK gene on chromosome 6p24.2.,RP62,retinitis pigmentosa
