Name,Definition,Synonym,Output
salivary gland carcinoma,A salivary gland cancer that has_material_basis_in epithelial cells.,localized primitive neuroectodermal tumor,salivary gland cancer
pleomorphic adenoma carcinoma,An autosomal recessive disease that has_material_basis_in rare mutations in two DNA excision repair proteins,carcinoma in pleomorphic adenoma,salivary gland cancer
epithelial-myoepithelial carcinoma,A clear cell adenocarcinoma that is located_in the urethra.,Clear cell adenocarcinoma of the urethra,salivary gland cancer
sublingual gland cancer,A  salivary gland cancer that is located_in the sublingual gland.,malignant tumor of the Sublingual gland,salivary gland cancer
parotid gland cancer,A salivary gland cancer that is located_in the parotid gland.,parotid cancer,salivary gland cancer
obsolete Burkitt's tumor or lymphoma involving lymph nodes of inguinal region and lower limb,A salivary gland cancer that is located_in the parotid gland.,Burkitt's lymphoma of lymph nodes of inguinal region and lower limb (disorder),salivary gland cancer
obsolete Hodgkin's paragranuloma involving lymph nodes of head,A salivary gland cancer that is located_in the parotid gland.,Hodgkin's paragranuloma of lymph nodes of head,salivary gland cancer
obsolete reticulosarcoma involving lymph nodes of head,A salivary gland cancer that is located_in the parotid gland.,Reticulosarcoma of lymph nodes of head,salivary gland cancer
obsolete Hodgkin's lymphoma,A salivary gland cancer that is located_in the parotid gland.,Hodgkin's disease,salivary gland cancer
submandibular gland cancer,A X-linked recessive disease that is characterized by abnormal immune system function and a reduced ability to form blood clots resulting from a decrease in the number and size of blood cell fragments involved in clotting (microthrombocytopenia).,malignant tumor of the Submandibular gland,salivary gland cancer
