Name,Definition,Synonym,Output
CD3zeta deficiency,A severe combined immunodeficiency that affects the development and function of T cells.,Quincke edema,severe combined immunodeficiency
janus kinase-3 deficiency,A severe combined immunodeficiency that is characterized by severe cell-mediated and antibody-mediated immunodeficiency with recurrent bacterial,Quincke edema,severe combined immunodeficiency
MHC class I deficiency,A severe combined immunodeficiency that is characterized by recurrent bacterial,HLA CLASS I DEFICIENCY,severe combined immunodeficiency
Omenn syndrome,A severe combined immunodeficiency that has_material_basis in the RAG1 and RAG2 genes on chromosome 11p and the Artemis gene on chromosome 10p. It is characterized by erythroderma,combined immunodeficiency with hypereosinophilia,severe combined immunodeficiency
recombinase activating gene 1 deficiency,A severe combined immunodeficiency that is the result of a mutation on Chromosome 6 RAG1 gene involving genetic rearrangement of both the T- and B-lymphocyte receptor genes.,combined immunodeficiency with hypereosinophilia,severe combined immunodeficiency
recombinase activating gene 2 deficiency,A severe combined immunodeficiency that is the result of a mutation on Chromosome 6 RAG2 gene involving genetic rearrangement of both the T- and B-lymphocyte receptor genes.,combined immunodeficiency with hypereosinophilia,severe combined immunodeficiency
X-linked severe combined immunodeficiency,A severe combined immunodeficiency that is a X-linked SCID that has_material_basis_in mutations in genes encoding common gamma chain proteins shared by the interleukin (IL-2,XSCID,severe combined immunodeficiency
CD45 deficiency,A severe combined immunodeficiency that is an autosomal recessive disease with T and B lymphocyte dysfunction,XSCID,severe combined immunodeficiency
interleukin-7 receptor alpha deficiency,A severe combined immunodeficiency that results from defective IL7R expression causes T-B+NK+ SCID. Loss of IL-7R function leads to the loss of an antiapoptotic signal,IL-7R,severe combined immunodeficiency
CD3delta deficiency,A severe combined immunodeficiency that is characterized by the absence of T cells but normal numbers of B cells. CD3D is essential for T cell development.,CD3D,severe combined immunodeficiency
CD3epsilon deficiency,A severe combined immunodeficiency that has_material_basis_in autosomal recessive mutations in the gene coding for T-cell surface glycoprotein CD3epsilon chain precursors. Patients with CD3epsilon deficiency have a severe defect in the expression of the T-cell receptor CD3-complex.,CD3D,severe combined immunodeficiency
CD3gamma deficiency,A severe combined immunodeficiency that has_material_basis_in autosomal recessive mutations in the gene coding for T-cell surface glycoprotein CD3gamma chain precursors.  Patients with CD3gamma deficiency have a severe defect in the expression of the T-cell receptor CD3-complex. Affected patients have decreased T-cell numbers and function; B cells are variably affected.,CD3D,severe combined immunodeficiency
coronin-1A deficiency,A severe combined immunodeficiency that is an actin regulator when mutated results in SCID through inhibition of thymic egress of mature thymocytes into peripheral lymphoid organs.,CD3D,severe combined immunodeficiency
reticular dysgenesis,A severe combined immunodeficiency that is the most severe form of SCID and has_material_basis_in mutations in the gene encoding mitochondrial adenylate kinase 2. It is characterized by congenital agranulocytosis,De Vaal disease,severe combined immunodeficiency
T-cell immunodeficiency,A severe combined immunodeficiency characterized by congenital alopecia,winged helix deficiency,severe combined immunodeficiency
severe combined immunodeficiency with sensitivity to ionizing radiation,A severe combined immunodeficiency characterized by being T cell-negative,Severe combined immunodeficiency,severe combined immunodeficiency
severe combined immunodeficiency,A severe combined immunodeficiency characterized by being T cell-negative,Severe combined immunodeficiency due to complete RAG1-2 deficiency,severe combined immunodeficiency
severe combined immunodeficiency,A severe combined immunodeficiency characterized by being T cell-negative,autosomal recessive T cell-negative,severe combined immunodeficiency
adenosine deaminase deficiency,A severe combined immunodeficiency that is caused by a defective enzyme,ADA,severe combined immunodeficiency
MHC class II deficiency,A severe combined immunodeficiency that is characterized by deficiency of MHC class II molecules that causes lack of immune protection against bacteria,SCID due to absent class II HLA antigens,severe combined immunodeficiency
