Name,Definition,Synonym,Output
hemangioma of subcutaneous tissue,An autoimmune hypersensitivity disease that is characterized by severe non-erosive arthropathy with ulnar deviation of the 2nd to 5th digits and metacarpophalangeal joint subluxation without evidence of synovitis,Subcutaneous hemangioma,skin benign neoplasm
skin epithelioid hemangioma,A pleural empyema which involves presence of pus in the pleural cavity and calcified visceral pleura. It results from a large number of mycobacteria spilling into the pleural space,epithelioid hemangioma of skin,skin benign neoplasm
obsolete Norovirus gastroenteritis,A viral infectious disease that results_in inflammation located_in stomach and located_in intestine,small round virus enteritis,skin benign neoplasm
obsolete nontoxic uninodular goiter,A viral infectious disease that results_in inflammation located_in stomach and located_in intestine,Non-toxic uninodular goitre,skin benign neoplasm
obsolete thyroid nodule,A viral infectious disease that results_in inflammation located_in stomach and located_in intestine,Thyroid nodule (disorder),skin benign neoplasm
clear cell acanthoma,An aortic valve disease that is characterized by narrowing of the heart's aortic valve opening.,Pale (Clear cell) acanthoma,skin benign neoplasm
skin granular cell tumor,A parasitic Ichthyosporea infectious disease that is a chronic granulomatous infection of the mucous membranes caused by the parasite Rhinosporidium seeberi,granular cell tumor of skin,skin benign neoplasm
granular cell tumor,A parasitic Ichthyosporea infectious disease that is a chronic granulomatous infection of the mucous membranes caused by the parasite Rhinosporidium seeberi,neoplasm of granular cell,skin benign neoplasm
obsolete skin tumor of neural origin,A parasitic Ichthyosporea infectious disease that is a chronic granulomatous infection of the mucous membranes caused by the parasite Rhinosporidium seeberi,skin tumor of neural origin (disorder),skin benign neoplasm
obsolete epithelioid and spindle cell nevus,A parasitic Ichthyosporea infectious disease that is a chronic granulomatous infection of the mucous membranes caused by the parasite Rhinosporidium seeberi,Spitz (spindle cell) nevus,skin benign neoplasm
obsolete benign skin melanocytic nevus,A parasitic Ichthyosporea infectious disease that is a chronic granulomatous infection of the mucous membranes caused by the parasite Rhinosporidium seeberi,Naevus - benign,skin benign neoplasm
obsolete melanocytic nevus,A parasitic Ichthyosporea infectious disease that is a chronic granulomatous infection of the mucous membranes caused by the parasite Rhinosporidium seeberi,Sutton's naevus,skin benign neoplasm
obsolete skin fibrous tissue neoplasm,A parasitic Ichthyosporea infectious disease that is a chronic granulomatous infection of the mucous membranes caused by the parasite Rhinosporidium seeberi,fibrous tissue tumor of skin (disorder),skin benign neoplasm
obsolete halo nevus,A parasitic Ichthyosporea infectious disease that is a chronic granulomatous infection of the mucous membranes caused by the parasite Rhinosporidium seeberi,HN,skin benign neoplasm
obsolete intradermal nevus,A parasitic Ichthyosporea infectious disease that is a chronic granulomatous infection of the mucous membranes caused by the parasite Rhinosporidium seeberi,Intradermal nevus (morphologic abnormality),skin benign neoplasm
cutaneous ganglioneuroma,A parasitic Ichthyosporea infectious disease that is a chronic granulomatous infection of the mucous membranes caused by the parasite Rhinosporidium seeberi,Ganglioneuroma of skin,skin benign neoplasm
epidermal appendage tumor,A hemangiopericytic tumor that is a mesenchymal neoplasm composed of cells that closely resemble the modified smooth muscle cells of the normal glomus body.,skin appendage tumour,skin benign neoplasm
obsolete intraepidermal nevus,A hemangiopericytic tumor that is a mesenchymal neoplasm composed of cells that closely resemble the modified smooth muscle cells of the normal glomus body.,Junctional nevus of the skin,skin benign neoplasm
skin glomangioma,A hemangiopericytic tumor that is a mesenchymal neoplasm composed of cells that closely resemble the modified smooth muscle cells of the normal glomus body.,Glomangioma of skin,skin benign neoplasm
dermis tumor,A hemangiopericytic tumor that is a mesenchymal neoplasm composed of cells that closely resemble the modified smooth muscle cells of the normal glomus body.,tumor of dermis,skin benign neoplasm
senile angioma,A vascular disease that is characterized as a small vascular malformation of the gut.,Senile naevus of skin,skin benign neoplasm
sweat gland neoplasm,A sweat gland neoplasm that is composed_of outgrowths of myoepithelial cells from a sweat gland.,tumor of the Sweat gland,skin benign neoplasm
cutaneous mucoepidermoid carcinoma,A breast carcinoma that represents a mixed group of malignant neoplasms characterized by the histologic presence of two or more cellular types.,Mucoepidermoid skin carcinoma,skin benign neoplasm
obsolete skin appendage carcinoma,A breast carcinoma that represents a mixed group of malignant neoplasms characterized by the histologic presence of two or more cellular types.,skin appendage carcinoma (morphologic abnormality),skin benign neoplasm
skin hemangioma,A brain cancer that is located_in the infratentorial region.,Angiomatous naevus of skin,skin benign neoplasm
obsolete krebs 2 carcinoma,A brain cancer that is located_in the infratentorial region.,Angiomatous naevus of skin,skin benign neoplasm
obsolete gastric mesenchymal neoplasm,A brain cancer that is located_in the infratentorial region.,mesenchymal tumor of stomach,skin benign neoplasm
obsolete obstetrical pelvic hematoma,A brain cancer that is located_in the infratentorial region.,postpartum pelvic hematoma,skin benign neoplasm
hair follicle neoplasm,A hemangiopericytoma that is manifested in the breast.,Hair matrix tumour,skin benign neoplasm
sebaceous gland neoplasm,A cervicitis that is located_in the endocervix.,Sebaceous neoplasm,skin benign neoplasm
angiokeratoma circumscriptum,An anxiety disorder that is characterized by unexpected and repeated episodes of intense fear accompanied by physical symptoms that may include chest pain,Angiokeratoma circumscriptum,skin benign neoplasm
scrotal angioma,A breast carcinoma that is located_in the nipple.,hemangioma of scrotum,skin benign neoplasm
obsolete ovarian dermoid cyst with secondary sarcoma,A breast carcinoma that is located_in the nipple.,hemangioma of scrotum,skin benign neoplasm
obsolete ovarian dermoid cyst with leiomyosarcoma,A breast carcinoma that is located_in the nipple.,hemangioma of scrotum,skin benign neoplasm
obsolete ovarian dermoid cyst with angiosarcoma,A breast carcinoma that is located_in the nipple.,hemangioma of scrotum,skin benign neoplasm
angiokeratoma of Fordyce,A choriocarcinoma characterized by extraembryonic differentiation along trophoblastic lines and high serum and CSF levels of HCG/_-HCG,Fordyce-type Angiokeratoma of scrotum,skin benign neoplasm
benign dermal neurilemmoma,An autoimmune disease of blood that is characterized by deficient red blood cells caused by auto-antibodies.,benign Schwannoma of the skin,skin benign neoplasm
obsolete metastatic childhood sarcoma of soft tissue,An autoimmune disease of blood that is characterized by deficient red blood cells caused by auto-antibodies.,metastatic pediatric sarcoma of the soft tissue,skin benign neoplasm
skin meningioma,A thyroid gland disease that involves an over production of thyroid hormone.,primary meningioma of the skin,skin benign neoplasm
