Name,Definition,Synonym,Output
labia minora cancer,A vulva cancer that is located_in the labium minora.,malignant tumor of Labia Minora,skin cancer
prepuce cancer,An aspergillosis that involves an allergic reaction due to the spores of Aspergillus moulds (A. fumigatus),malignant tumor of foreskin,skin cancer
labia majora carcinoma,A vulva carcinoma that is located_in the labia majora.,Labia Majora cancer,skin cancer
dermoid cyst of skin,A dermoid cyst that is located_in the skin.,skin Dermoid,skin cancer
obsolete disorder of ureter,A dermoid cyst that is located_in the skin.,Ureteric disease,skin cancer
obsolete unilateral vesicoureteral reflux with reflux nephropathy,A dermoid cyst that is located_in the skin.,Ureteric disease,skin cancer
obsolete bilateral vesicoureteral reflux with reflux nephropathy,A dermoid cyst that is located_in the skin.,Ureteric disease,skin cancer
obsolete vesicoureteral reflux with reflux nephropathy,A dermoid cyst that is located_in the skin.,Ureteric disease,skin cancer
sweat gland cancer,A vulva cancer that has_material_basis in melanocytes.,malignant tumor of the Sweat gland,skin cancer
skin glomus tumor,A central nervous system benign neoplasm that has_material_basis_in mature neurons,Glomus tumor of skin,skin cancer
skin sarcoma,A sarcoma that is located_in the skin.,Cutaneous sarcoma,skin cancer
skin carcinoma,A skin cancer that is located_in tissues of the skin and develops from epithelial cells.,carcinoma of skin,skin cancer
malignant granular cell myoblastoma,A gastrointestinal system cancer that is located_in the esophagus.,malignant granular cell tumor,skin cancer
malignant dermis tumor,A sarcoma and malignant tumor of small intestine that is located_in the small intestine.,malignant tumor of dermis,skin cancer
basaloid squamous cell skin carcinoma,A vulva squamous cell carcinoma that is composed of nests of immature,skin Basaloid squamous cell carcinoma,skin cancer
skin melanoma,A skin cancer that has_material_basis_in melanocytes.,malignant upper limb melanoma,skin cancer
