Name,Definition,Synonym,Output
subcutaneous mycosis,A fungal infectious disease that results_in infection located_in skin or located_in subcutaneous tissue,Steroid-modified tinea infection,skin disease
erythema multiforme,A skin disease that is a type of allergic reaction located_in skin,postmeasles encephalitis,skin disease
obsolete Cytomegalovirus encephalitis,A Cytomegalovirus infectious disease that results_in inflammation,postmeasles encephalitis,skin disease
obsolete Rubella virus encephalitis,A Rubella virus infectious disease that results_in inflammation located_in brain,postmeasles encephalitis,skin disease
obsolete coxsackievirus encephalitis,An Enterovirus infectious disease that involves inflammation located_in brain,postmeasles encephalitis,skin disease
obsolete polioencephalitis,An Enterovirus infectious disease that results_in inflammation located_in brain,postmeasles encephalitis,skin disease
obsolete adenovirus encephalitis,An adenovirus infectious disease that results_in inflammation located_in brain,postmeasles encephalitis,skin disease
obsolete influenza virus encephalitis,A viral infectious disease that results_in inflammation located_in brain,postmeasles encephalitis,skin disease
Stevens-Johnson syndrome,A skin disease that is characterized by ulceration of less than 10 percent of the surface area of the body. The disease is often precipitated by the use of medications,Wittmaack-Ekbom syndrome,skin disease
hereditary mucosal leukokeratosis,A skin disease characterized by a defect in the normal process of keratinization of the mucosa.,white sponge nevus of Cannon,skin disease
erythrokeratodermia variabilis,A skin disease that is characterized by areas of sharply demarcated,Greither Disease,skin disease
exanthem,A skin disease that is characterized by a rash that results from a variety of causes including bacteria,Rash,skin disease
peeling skin syndrome,A skin disease that is characterized by the painless peeling of the top layer of skin predominately on the hands and feet,photoparoxysmal response,skin disease
Kindler syndrome,A skin disease characterized by congenital blistering,poikiloderma of Kindler,skin disease
poikiloderma with neutropenia,A skin disease characterized by poikiloderma,poikiloderma with neutropenia,skin disease
lethal restrictive dermopathy,A skin disease characterized by thin,tight skin contracture syndrome,skin disease
cutaneous candidiasis,A candidiasis that is characterized by Candida infection located_in the skin.,CMV retinitis,skin disease
epidermal nevus,A skin disease characterized by localized epidermal thickening with hyperpigmentation that develops at or shortly after birth.,nonepidermolytic keratinocytic nevus,skin disease
pigmentation disease,A skin disease that is characterized by discoloration of the skin.,dyspigmentation of eyelid,skin disease
mansonelliasis,A filariasis that involves parasitic infection by the nematodes Mansonella ozzardi or Mansonella perstans,chronic gastric ulcer without mention of hemorrhage or perforation,skin disease
cercarial dermatitis,A schistosomiasis that is a short-term,Sea bather's eruption,skin disease
obsolete subchronic state latent schizophrenia with acute exacerbation,A schistosomiasis that is a short-term,Sea bather's eruption,skin disease
obsolete latent schizophrenia in remission,A schistosomiasis that is a short-term,Latent schizophrenia,skin disease
obsolete chronic latent schizophrenia,A schistosomiasis that is a short-term,Latent schizophrenia,skin disease
filarial elephantiasis,A filariasis that is characterized by the thickening of the skin and underlying tissues,Lymphatic filariasis,skin disease
cutaneous porphyria,An acute porphyria characterized by a deficiency in the enzyme ferrochelatase,Erythropoietic porphyria,skin disease
skin sarcoidosis,A vaginal cancer that has_material_basis in glandular tissue.,Cutaneous sarcoidosis,skin disease
chancroid,A primary bacterial infectious disease that is a sexually transmitted infection located in skin of the genitals,Ulcus molle,skin disease
obsolete uterine corpus mixed epithelial and mesenchymal tumor,A primary bacterial infectious disease that is a sexually transmitted infection located in skin of the genitals,Ulcus molle,skin disease
sweat gland disease,A skin disease located_in the sweat glands.,Parasitic infestation of eyelid,skin disease
panniculitis,A large intestine cancer that is located_in the cecum.,Weber-Christian disease,skin disease
obsolete penile non-neoplastic disease,A large intestine cancer that is located_in the cecum.,Weber-Christian disease,skin disease
urticaria,A skin disease characterized by skin rash notable for pale red,Diabetes mellitus,skin disease
angioedema,A skin disease characterized by the rapid swelling of the dermis,Quincke's edema,skin disease
dermatomycosis,A cutaneous mycosis that results in fungal infection located in skin or of its appendages,Mossy foot disease,skin disease
keratosis,A skin disease characterized_by growth of keratin on the skin or mucous membranes.,Inflammation of lymph node,skin disease
ichthyosis,A skin disease characterized by drying and scaling of skin with the accumulation of thick scales and cracks that may be painful or bleed.,non-syndromic ichthyosis,skin disease
obsolete congenital ichthyosiform erythroderma,A skin disease characterized by drying and scaling of skin with the accumulation of thick scales and cracks that may be painful or bleed.,non-syndromic ichthyosis,skin disease
reactive cutaneous fibrous lesion,A sinusitis which involves infection of maxillary sinuses that causes pain or pressure over the cheeks just below the eyes,acute antritis,skin disease
dermatitis,A skin disease characterized by itchy,skin inflammation,skin disease
obsolete port-wine stain,A skin disease characterized by itchy,Port Wine type hemangioma,skin disease
dyskeratosis congenita,A skin disease characterized by cutaneous pigmentation,Pilosebaceous Nevoid disorder,skin disease
vesiculobullous skin disease,A skin disease that is characterized by fluid filled blisters.,Epidermolysis bullosa,skin disease
Rothmund-Thomson syndrome,A skin disease that is characterized by fluid filled blisters.,RTS,skin disease
skin atrophy,A skin disease that is characterized by fluid filled blisters.,Atrophy - skin,skin disease
facial dermatosis,A porphyria that has_symptom abdominal pain,hepatic porphyria,skin disease
scalp dermatosis,A porphyria that has_symptom abdominal pain,Dermatosis of scalp,skin disease
obsolete multiple symmetrical lipomatosis,A porphyria that has_symptom abdominal pain,Dermatosis of scalp,skin disease
scleredema adultorum,A skin disease that is characterized by induration of the skin,Buschke's scleredema,skin disease
leg dermatosis,A connective tissue disease characterized by accumulation of glycosaminoglycan located_in the dermal tissue.,Buschke's scleredema,skin disease
obsolete eczematous skin disease,A connective tissue disease characterized by accumulation of glycosaminoglycan located_in the dermal tissue.,Dermatitis due to other radiation NOS,skin disease
cutis laxa,A skin disease characterized by loose,loose skin,skin disease
lipomatosis,A skin carcinoma that has_material_basis_in squamous cells.,squamous cell carcinoma of skin,skin disease
hypomelanosis of Ito,A skin disease that is characterized by distinctive skin changes,nevus of Ito,skin disease
obsolete congenital melanocytic nevus,A skin disease that is characterized by distinctive skin changes,Congenital Pigmented skin nevus,skin disease
hand dermatosis,A skin disease that is characterized by distinctive skin changes,Congenital Pigmented skin nevus,skin disease
skin benign neoplasm,A sarcoma that is located_in the skin or located_in tissues that line or cover internal organs and that contains long spindle-shaped cells.,tumor of the skin,skin disease
obsolete leukemoid reaction,A sarcoma that is located_in the skin or located_in tissues that line or cover internal organs and that contains long spindle-shaped cells.,transient myeloproliferative disorder,skin disease
