Name,Definition,Synonym,Output
spitzoid melanoma,A skin melanoma that is characterized by asymmetric shape,atypical spitz nevus,skin melanoma
melanoma in congenital melanocytic nevus,A skin melanoma that arises from a congenital melanocytic nevus.,melanocytic nevi,skin melanoma
malignant eyelid melanoma,A congenital syphilis that occurs in children at or greater than two years of age who acquired the infection trans-placentally. The infection has_symptom gummatous ulcers,juvenile neurosyphilis,skin melanoma
balloon cell malignant melanoma,A congenital syphilis that occurs in children at or greater than two years of age who acquired the infection trans-placentally. The infection has_symptom gummatous ulcers,regressing malignant melanoma of the skin,skin melanoma
obsolete malignant giant pigmented nevus melanoma,A congenital syphilis that occurs in children at or greater than two years of age who acquired the infection trans-placentally. The infection has_symptom gummatous ulcers,skin melanoma in Giant Pigmented nevus,skin melanoma
nodular malignant melanoma,A melanoma that is characterized as highly aggressive and manifests as a uniform blue-black,nodular melanoma,skin melanoma
obsolete malignant junctional nevus melanoma,A melanoma that is characterized as highly aggressive and manifests as a uniform blue-black,melanoma in Junctional nevus,skin melanoma
obsolete desmoplastic melanoma,A skin malanoma that results_in nonpigmented lesions located_in sun-exposed areas of the body,melanoma in Junctional nevus,skin melanoma
skin amelanotic melanoma,A uterine disease that is located_in the endometrium.,skin amelanotic malignant melanoma,skin melanoma
obsolete Congenital or acquired abnormality of vagina complicating pregnancy,A uterine disease that is located_in the endometrium.,skin amelanotic malignant melanoma,skin melanoma
obsolete syphilitic acoustic neuritis,A tertiary neurosyphilis that is caused due to syphilis,skin amelanotic malignant melanoma,skin melanoma
acral lentiginous melanoma,A skin melanoma that is characterized by slow growth of a small pigmented spot on the skin with a clearly defined edge,malignant acral lentiginous melanoma,skin melanoma
obsolete metabolic brain disease,A skin melanoma that is characterized by slow growth of a small pigmented spot on the skin with a clearly defined edge,Metabolic encephalopathy (disorder),skin melanoma
