Name,Definition,Synonym,Output
advanced sleep phase syndrome,A sleep disorder that involves an altered circadian rhythm resulting in falling asleep in early evening and awaking very early in the morning.,familial advanced sleep-phase syndrome,sleep disorder
sleep apnea,A sleep disorder characterized by repeated cessation and commencing of breathing that repeatedly disrupts sleep.,laryngeal dystonia,sleep disorder
delayed sleep phase syndrome,A sleep disorder characterized by an extreme evening preference,DSPD,sleep disorder
bruxism,A sleep disorder that involves involuntarily grinding or clenching of the teeth while sleeping.,Teeth grinding,sleep disorder
recurrent hypersomnia,A sleep disorder that involves recurring bouts of excessive amounts of sleepiness.,primary recurrent hypersomnia,sleep disorder
narcolepsy,A sleep disorder that involves an excessive urge to sleep at inappropriate times,paroxysmal sleep,sleep disorder
REM sleep behavior disorder,A sleep disorder that involves abnormal behavior including the acting out of violent or dramatic dreams during the sleep phase with rapid eye movement.,Rapid eye movement sleep behavior disorder,sleep disorder
obsolete Hodgkin's sarcoma involving intrathoracic lymph nodes,A sleep disorder that involves abnormal behavior including the acting out of violent or dramatic dreams during the sleep phase with rapid eye movement.,Hodgkin's sarcoma of intrathoracic lymph nodes (disorder),sleep disorder
obsolete Hodgkin's paragranuloma involving intra-abdominal lymph nodes,A sleep disorder that involves abnormal behavior including the acting out of violent or dramatic dreams during the sleep phase with rapid eye movement.,Hodgkin's paragranuloma of intra-abdominal lymph nodes (disorder),sleep disorder
periodic limb movement disorder,A sleep disorder that involves involuntary limb movement during sleep.,nocturnal myoclonus,sleep disorder
