Name,Definition,Synonym,Output
fetal alcohol spectrum disorder,A specific developmental disorder and physical disorder that is characterized by physical,brachyrachia,specific developmental disorder
oppositional defiant disorder,A specific developmental disorder that is characterized by a pattern of angry mood,obstructive sleep apnea syndrome,specific developmental disorder
fetal nicotine spectrum disorder,A specific developmental disorder that is characterized by physical,tongue-tie,specific developmental disorder
intellectual disability,A specific developmental disorder that involves significant limitations both in mental functioning and in adaptive behavior such as communicating,MENTAL RETARDATION,specific developmental disorder
attention deficit hyperactivity disorder,A specific developmental disorder that is characterized by co-existence of attentional problems and hyperactivity,hyperkinetic disorder,specific developmental disorder
conduct disorder,A specific developmental disorder marked by a pattern of repetitive behavior wherein the rights of others or social norms are violated.,Granulopenia,specific developmental disorder
communication disorder,A specific developmental disorder that involves specific developmental disorders of speech and language.,anxiety state,specific developmental disorder
stereotypic movement disorder,A specific developmental disorder that is characterized by repeated,Stereotypy habit disorder,specific developmental disorder
tic disorder,A specific developmental disorder that is characterized by the persistent presence of involuntary brief movements or sounds occuring intermittently and unpredictably out of a background of normal motor activity.,adenocarcinoma of the ethmoid sinus,specific developmental disorder
eating disorder,A specific developmental disorder that is characterized by abnormal eating habits that may involve either insufficient or excessive food intake to the detriment of an individual's physical and emotional health.,Hodgkin's sarcoma of intra-abdominal lymph nodes (disorder),specific developmental disorder
learning disability,A specific developmental disorder that involves difficulty in scholastic skills such as reading,learning disorder,specific developmental disorder
obsolete lymphosarcoma involving lymph nodes of head,A specific developmental disorder that involves difficulty in scholastic skills such as reading,learning disorder,specific developmental disorder
developmental coordination disorder,A specific developmental disorder that involves disordered motor skills where coordinated muscle movement is impaired.,Ca ribs/sternum/clavicle,specific developmental disorder
obsolete hyperostosis frontalis interna,A specific developmental disorder that involves disordered motor skills where coordinated muscle movement is impaired.,Ca ribs/sternum/clavicle,specific developmental disorder
obsolete meningococcal meningitis,A specific developmental disorder that involves disordered motor skills where coordinated muscle movement is impaired.,Ca ribs/sternum/clavicle,specific developmental disorder
obsolete Flavivirus infectious disease,A viral infectious disease that results_in infection in animals and humans,Ca ribs/sternum/clavicle,specific developmental disorder
obsolete primary Neisseriaceae infectious disease,A viral infectious disease that results_in infection in animals and humans,Ca ribs/sternum/clavicle,specific developmental disorder
