Name,Definition,Synonym,Output
mucosulfatidosis,A sphingolipidosis that is characterized by leukodystrophy,Sulfatidosis,sphingolipidosis
combined saposin deficiency,A sphingolipidosis characterized by absence of expression of both isoforms of PSAP (SAP1 and SAP2) resulting in hepatosplenomegaly and severe neurological disease that has_material_basis_in homozygous or coumpound heterozygous mutation in PSAP on 10q22.1.,PSAPD,sphingolipidosis
metachromatic leukodystrophy,A sphingolipidosis characterized by the accumulation of sulfatides in cells,sulfatide lipoidosis,sphingolipidosis
Krabbe disease,A retinal degeneration characterized by the gradual deterioration of the photoreceptors or the retinal pigment epithelium of the retina leading to progressive sight loss.,Krabbe's leukodystrophy,sphingolipidosis
Fabry disease,A sphingolipidosis that is characterized by the buildup of globotriaosylceramide in the body's cells and has_material_basis_in X-linked inherited mutations in the GLA gene,Fabry's disease,sphingolipidosis
obsolete papilledema associated with retinal disorder,A sphingolipidosis that is characterized by the buildup of globotriaosylceramide in the body's cells and has_material_basis_in X-linked inherited mutations in the GLA gene,Fabry's disease,sphingolipidosis
Niemann-Pick disease,A sphingoliidosis characterized by the accumulation of the lipid sphingomyelin in lysosomes in cells.,Sphingomyelinase Deficiency Disease,sphingolipidosis
Gaucher's disease,A sphingolipidosis characterized by deficiency of the enzyme glucocerebrosidase which results in the accumulation of harmful quantities of the glycolipid glucocerebroside throughout the body,kerasin thesaurismosis,sphingolipidosis
gangliosidosis,A sphingolipidosis that is characterized by the accumulation of lipids known as gangliosides.,West Nile Fever with encephalitis,sphingolipidosis
obsolete diabetes mellitus insulin dependent type not stated as uncontrolled with renal manifestations,A sphingolipidosis that is characterized by the accumulation of lipids known as gangliosides.,Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type],sphingolipidosis
obsolete adhesions and disruptions of iris and ciliary body,A sphingolipidosis that is characterized by the accumulation of lipids known as gangliosides.,adhesions and disruptions of iris and ciliary body NOS (disorder),sphingolipidosis
obsolete diabetic nephropathy,A sphingolipidosis that is characterized by the accumulation of lipids known as gangliosides.,adhesions and disruptions of iris and ciliary body NOS (disorder),sphingolipidosis
sea-blue histiocytosis,A sphingolipidosis characterized by dysfunctional metabolism of sphingolipids.,Sea-blue histiocyte syndrome,sphingolipidosis
