Name,Definition,Synonym,Output
epidural spinal canal meningioma,A bilirubin metabolic disorder that involves a build up of bilirubin as bilirubin is not being broken down as a result of a lack or deficiency of the enzyme uridine diphosphate glycosyltransferase (UGT).,disseminated superficial actinic porokeratosis,spinal canal and spinal cord meningioma
thoracic spinal canal and spinal cord meningioma,A viral gastritis that involves inflammation of the stomach lining caused by herpes simplex virus.,meningioma of the Thoracic Spinal canal and Spinal Cord,spinal canal and spinal cord meningioma
obsolete mixed embryonal carcinoma and teratoma of the mediastinum,A viral gastritis that involves inflammation of the stomach lining caused by herpes simplex virus.,Teratocarcinoma of mediastinum,spinal canal and spinal cord meningioma
obsolete mediastinum malignant teratoma,A viral gastritis that involves inflammation of the stomach lining caused by herpes simplex virus.,malignant teratoma of mediastinum (disorder),spinal canal and spinal cord meningioma
obsolete mediastinal mixed non-seminomatous germ cell tumor,A viral gastritis that involves inflammation of the stomach lining caused by herpes simplex virus.,mixed Non-Seminomatous germ cell tumor of mediastinum,spinal canal and spinal cord meningioma
obsolete mesenchymal hamartoma of the liver,A viral gastritis that involves inflammation of the stomach lining caused by herpes simplex virus.,mesenchymal hamartoma of Liver,spinal canal and spinal cord meningioma
obsolete hepatic and intrahepatic bile duct non-epithelial neoplasm,A viral gastritis that involves inflammation of the stomach lining caused by herpes simplex virus.,mesenchymal hamartoma of Liver,spinal canal and spinal cord meningioma
obsolete leukocyte-adhesion deficiency syndrome,A viral gastritis that involves inflammation of the stomach lining caused by herpes simplex virus.,mesenchymal hamartoma of Liver,spinal canal and spinal cord meningioma
lumbar spinal canal and spinal cord meningioma,A breast papillomatosis that is located within the ducts.,meningioma of Lumbar Spinal canal and Spinal Cord,spinal canal and spinal cord meningioma
multiple spinal canal and spinal cord meningioma,A male reproductive organ cancer that has_material_basis_in abnormally proliferating cells derives_from epithelial cells and is_located_in the Cowper's gland.,Multiple meningiomas of the Spinal canal and Spinal Cord,spinal canal and spinal cord meningioma
spinal multifocal clear cell meningioma,A Cytomegalovirus infectious disease that results_in infection,Multifocal Clear cell meningioma of Spine,spinal canal and spinal cord meningioma
cervical spinal canal and spinal cord meningioma,A squamous cell carcinoma that is located_in the maxillary sinus.,meningioma of the cervical Spinal canal and Spinal Cord,spinal canal and spinal cord meningioma
obsolete nonmetastatic extra-osseous ewing's sarcoma,A squamous cell carcinoma that is located_in the maxillary sinus.,Non-metastatic extraskeletal Ewing's sarcoma,spinal canal and spinal cord meningioma
obsolete disorganized schizophrenia,A squamous cell carcinoma that is located_in the maxillary sinus.,Non-metastatic extraskeletal Ewing's sarcoma,spinal canal and spinal cord meningioma
obsolete central nervous system benign soft tissue neoplasm,A squamous cell carcinoma that is located_in the maxillary sinus.,benign soft tissue tumor of CNS,spinal canal and spinal cord meningioma
sacral spinal canal and spinal cord meningioma,A syphilis that is characterized as the third stage of syphilis that develops after the disappearance of the secondary symptoms and is marked by ulcers and gummas under the skin and commonly by involvement of the skeletal,meningioma of the Sacral Spinal canal and Spinal Cord,spinal canal and spinal cord meningioma
obsolete alloimmunization,A syphilis that is characterized as the third stage of syphilis that develops after the disappearance of the secondary symptoms and is marked by ulcers and gummas under the skin and commonly by involvement of the skeletal,meningioma of the Sacral Spinal canal and Spinal Cord,spinal canal and spinal cord meningioma
