Name,Definition,Synonym,Output
spinal canal and spinal cord meningioma,A cardiovascular system disease that involves the heart.,Shock lung,spinal cancer
spinal cord lymphoma,A spinal cancer that is located_in the spinal cord and derives_from lymphocytes.,spinal cord cancer,spinal cancer
spinal cord melanoma,A spinal cancer that is located_in the spinal cord and derives_from lymphocytes.,melanoma of the Spinal Cord,spinal cancer
spinal cord sarcoma,A spinal cancer that is located_in the spinal cord and derives_from lymphocytes.,sarcoma of the Spinal Cord,spinal cancer
spinal cord glioma,A spinal cancer that is located in the spinal cord and has_material_basis_in glial cells.,glioma of spinal cord,spinal cancer
epidural neoplasm,A lipoma that is a painful subcutaneous nodule,Extradural tumor,spinal cancer
childhood spinal cord tumor,A neuromuscular junction disease that is characterized by weakness and easy fatiguability resulting from a genetic defect at the junction where the nerve stimulates muscle activity that result in muscle weakness and may affect nerve cells (presynaptic),childhood Spinal Cord neoplasm,spinal cancer
spinal cord intramedullary teratoma,A neuromuscular junction disease that is characterized by weakness and easy fatiguability resulting from a genetic defect at the junction where the nerve stimulates muscle activity that result in muscle weakness and may affect nerve cells (presynaptic),Intramedullary Spinal teratoma,spinal cancer
obsolete spontaneous rupture of bladder,A neuromuscular junction disease that is characterized by weakness and easy fatiguability resulting from a genetic defect at the junction where the nerve stimulates muscle activity that result in muscle weakness and may affect nerve cells (presynaptic),spontaneous rupture of bladder (disorder),spinal cancer
conus medullaris neoplasm,A teratoma that is located_in the central nervous system.,tumor of Conus Medullaris,spinal cancer
cauda equina neoplasm,A carcinoma that derives_from myoepithelial cells.,tumor of the Cauda Equina,spinal cancer
spinal canal intradural extramedullary neoplasm,An eye and adnexa disease that is located_in the eye.,Intradural Extramedullary Spinal tumors,spinal cancer
obsolete intraepithelial neoplasm,An eye and adnexa disease that is located_in the eye.,epithelial dysplasia (morphologic abnormality),spinal cancer
spinal cord primitive neuroectodermal neoplasm,An endometrial adenocarcinoma that is composed predominantly or entirely of large eosinophilic cells.,Spinal Cord PNET,spinal cancer
spinal cord dermoid cyst,A dermoid cyst that is located_in the spinal cord.,Spinal Cord Dermoid,spinal cancer
obsolete choroidal hemorrhage and rupture,A dermoid cyst that is located_in the spinal cord.,Choroidal hemorrhage or rupture NOS (disorder),spinal cancer
obsolete atypical vulvar nevus,A dermoid cyst that is located_in the spinal cord.,Choroidal hemorrhage or rupture NOS (disorder),spinal cancer
spinal meninges cancer,A breast fibroadenoma that is larger than 5 cm.,malignant neoplasm of spinal meninges,spinal cancer
