Name,Definition,Synonym,Output
spinal polio,A paralytic poliomyelitis that results in destruction located in motor neurons of spinal cord,AIDS-related isosporiasis,spinal cord disease
bulbospinal polio,A paralytic poliomyelitis that results in destruction located in motor neurons of brainstem or located in motor neurons of spinal cord,AIDS-related isosporiasis,spinal cord disease
myelomeningocele,A spina bifida characterized by protrusion of the spinal cord through an opening,circulatory arrest,spinal cord disease
tethered spinal cord syndrome,A leprosy that results in early cutaneous lesions which consist of pale macules that are small,spinal dysraphism,spinal cord disease
vascular myelopathy,A neurilemmoma that is located_in the 12th cranial nerve.,vascular myelopathies,spinal cord disease
myelitis,A spinal cord disease that is characterized by inflammation of the white matter or gray matter of the spinal cord.,tumor of jejunum,spinal cord disease
syringomyelia,An ovarian benign neoplasm that has_material_basis_in glandular epithelial tissue in which cystic accumulations of retained secretions are formed.,simple cystoma of the ovary,spinal cord disease
neuromyelitis optica,A central nervous system disease characterized by inflammation of the optic nerve (optic neuritis) and inflammation of the spinal cord (myelitis).,Devic's syndrome,spinal cord disease
obsolete Trematoda infectious disease,A parasitic helminthiasis infectious disease that involves infection by parasitic worms known as flukes,Trematode infestation,spinal cord disease
obsolete nodular lymphoma involving intrathoracic lymph nodes,A parasitic helminthiasis infectious disease that involves infection by parasitic worms known as flukes,nodular lymphoma of intrathoracic lymph nodes (disorder),spinal cord disease
obsolete Hodgkin's lymphoma,A parasitic helminthiasis infectious disease that involves infection by parasitic worms known as flukes,Hodgkin's disease,spinal cord disease
