Name,Definition,Synonym,Output
anauxetic dysplasia 1,A spondyloepimetaphyseal dysplasia that is characterized by the prenatal onset of extreme short stature,spondylometaepiphyseal dysplasia,spondyloepimetaphyseal dysplasia
spondyloepimetaphyseal dysplasia,A spondyloepimetaphyseal dysplasia that is characterized by short stature,spondyloepimetaphyseal dysplasia Pakistani type,spondyloepimetaphyseal dysplasia
spondyloepiphyseal dysplasia with congenital joint dislocations,A spondyloepimetaphyseal dysplasia that is characterized by short stature of prenatal onset,Spondyloepiphyseal Dysplasia,spondyloepimetaphyseal dysplasia
Schimke immuno-osseous dysplasia,A spondyloepiphyseal dysplasia characterized by short stature with hyperpigmented macules,spondyloepiphyseal dysplasia - nephrotic syndrome,spondyloepimetaphyseal dysplasia
spondyloepimetaphyseal dysplasia,A spondyloepimetaphyseal dysplasia that has_material_basis_in mutations in the COL2A1 gene which results_in short stature and multiple skeletal abnormalities (lordosis,NANCE-SWEENEY CHONDRODYSPLASIA,spondyloepimetaphyseal dysplasia
spondyloepimetaphyseal dysplasia,A spondyloepimetaphyseal dysplasia that has_material_basis_in mutations in the MMP13 gene which results_in a pear-shaped vertebrae,NANCE-SWEENEY CHONDRODYSPLASIA,spondyloepimetaphyseal dysplasia
spondyloepiphyseal dysplasia tarda,A spondyloepimetaphyseal dysplasia that is characterized by impaired growth of bones of the spine and the ends of long bones in the arms and legs and has_material_basis_in mutation in the SEDL gene on chromosome Xp22.,X-linked spondyloepiphyseal dysplasia tarda,spondyloepimetaphyseal dysplasia
spondyloepimetaphyseal dysplasia,A spondyloepimetaphyseal dysplasia that is characterized by infantile-onset severe developmental delay and skeletal dysplasia,multiple joint dislocations-short stature-craniofacial dysmorphism-congenital heart defects syndrome,spondyloepimetaphyseal dysplasia
Dyggve-Melchior-Clausen disease,A spondyloepimetaphyseal dysplasia characterized by clawed fingers,pseudo-Morquio disease type I,spondyloepimetaphyseal dysplasia
spondyloepiphyseal dysplasia congenita,A neurodegenerative disease that is characterized by progressive cerebellar ataxia,Late Spondyloepiphyseal Dysplasia,spondyloepimetaphyseal dysplasia
spondyloepimetaphyseal dysplasia,A spondyloepimetaphyseal dysplasia that is characterized by spondylar and nasal changes,Spondylar and nasal Alterations-Striated Metaphyses syndrome,spondyloepimetaphyseal dysplasia
obsolete flat adenoma syndrome,A spondyloepimetaphyseal dysplasia that is characterized by spondylar and nasal changes,Spondylar and nasal Alterations-Striated Metaphyses syndrome,spondyloepimetaphyseal dysplasia
