Name,Definition,Synonym,Output
African tick-bite fever,A spotted fever that has_material_basis_in Rickettsia africae,south african tick-bite fever,spotted fever
Astrakhan spotted fever,A spotted fever that has_material_basis_in Rickettsia conorii subsp caspia,south african tick-bite fever,spotted fever
Indian tick typhus,A spotted fever that has_material_basis_in Rickettsia conorii subsp indica,south african tick-bite fever,spotted fever
Israeli tick typhus,A spotted fever that has_material_basis_in Rickettsia conorii subsp israelensis,Israeli spotted fever,spotted fever
Far Eastern spotted fever,A spotted fever that has_material_basis_in Rickettsia heilongjiangensis,Rickettsia heilongjiangensis spotted fever,spotted fever
Flinders Island spotted fever,A spotted fever that has_material_basis_in Rickettsia honei,Thai tick typhus,spotted fever
Japanese spotted fever,A spotted fever that has_material_basis_in Rickettsia japonica,Rickettsia japonica spotted fever,spotted fever
Rickettsia parkeri spotted fever,A spotted fever that has_material_basis_in Rickettsia parkeri,maculatum infection,spotted fever
Rocky Mountain spotted fever,A spotted fever that has_material_basis_in Rickettsia rickettsii,Tobia fever,spotted fever
obsolete Rickettsia honei spotted fever,A spotted fever that has_material_basis_in Rickettsia rickettsii,Tobia fever,spotted fever
aneruptive fever,A spotted fever that has_material_basis_in Rickettsia helvetica,Rickettsia helvetica spotted fever,spotted fever
Queensland tick typhus,A spotted fever that has_material_basis_in Rickettsia australis,Rickettsia australis spotted fever,spotted fever
Siberian tick typhus,A spotted fever that has_material_basis_in Rickettsia sibirica,Rickettsia sibirica spotted fever,spotted fever
obsolete sickle-cell crisis,A spotted fever that has_material_basis_in Rickettsia sibirica,sickle cell crisis,spotted fever
rickettsialpox,A spotted fever that has_material_basis_in Rickettsia akari,Vesicular rickettsiosis,spotted fever
boutonneuse fever,A spotted fever that has_material_basis_in Rickettsia conorii subsp conorii,South African tick-bite fever,spotted fever
