Name,Definition,Synonym,Output
pharynx squamous cell carcinoma,A pharynx cancer that has_material_basis_in squamous cells.,appendix carcinoid endocrine tumour,squamous cell carcinoma
prostate squamous cell carcinoma,A squamous cell carcinoma that is located_in the prostate.,carcinoma of prostate,squamous cell carcinoma
obsolete metastasis to prostate,A squamous cell carcinoma that is located_in the prostate.,secondary malignant neoplasm of prostate (disorder),squamous cell carcinoma
sphenoid sinus squamous cell carcinoma,A squamous cell carcinoma that is located_in the sphenoid sinus.,Epidermoid carcinoma of the Sphenoidal sinus,squamous cell carcinoma
peritoneal mesothelioma,A peritoneum cancer that develops from cells of the mesothelium and is located_in the peritoneum.,malignant mesothelioma of peritoneum,squamous cell carcinoma
vulva squamous cell carcinoma,A vulva carcinoma and has_material_basis_in squamous cells and is located_in the epidermis of the vulvar tissue.,vulvar squamous cell carcinoma,squamous cell carcinoma
frontal sinus squamous cell carcinoma,A squamous cell carcinoma that is located_in the frontal sinus.,Epidermoid carcinoma of the Frontal sinus,squamous cell carcinoma
ethmoid sinus squamous cell carcinoma,A squamous cell carcinoma that is located_in the ethmoid sinus.,Epidermoid carcinoma of the ethmoidal sinus,squamous cell carcinoma
verrucous carcinoma,A squamous cell carcinoma that is a diffuse,Warty carcinoma,squamous cell carcinoma
obsolete human papillomavirus related squamous cell carcinoma,A human papillomavirus related carcinoma that results_in infection,HPV-Related squamous cell carcinoma,squamous cell carcinoma
esophagus squamous cell carcinoma,An esophageal carcinoma that derives_from epithelial squamous cells located_in the esophagus.,SCC of esophagus,squamous cell carcinoma
spindle cell carcinoma,A squamous cell carcinoma that is usually composed of the squamous cell type and results in fusiform development of rapidly proliferating cells.,sarcomatoid carcinoma,squamous cell carcinoma
papillary squamous carcinoma,A squamous cell carcinoma that has papillae,papillary epidermoid carcinoma,squamous cell carcinoma
adenosquamous lung carcinoma,An adenosquamous carcinoma located_in lung that derives_from lung tissue composed of at least 10% by volume each of squamous cell carcinoma (SqCC) and adenocarcinoma (AdC) cells.,Adenosquamous lung carcinoma,squamous cell carcinoma
adenosquamous carcinoma,A squamous cell carcinoma that contains squamous cells and gland-like cells.,mixed adenocarcinoma and squamous carcinoma,squamous cell carcinoma
obsolete spleen mast cell malignancy,A squamous cell carcinoma that contains squamous cells and gland-like cells.,Mast cell malignancy of spleen (disorder),squamous cell carcinoma
obsolete non small cell lung cancer recurrent,A squamous cell carcinoma that contains squamous cells and gland-like cells.,recurrent NSCLC,squamous cell carcinoma
obsolete recurrent lung carcinoma,A squamous cell carcinoma that contains squamous cells and gland-like cells.,relapsed Unspecified carcinoma of the lung,squamous cell carcinoma
nasal cavity squamous cell carcinoma,A nasal cavity carcinoma that has_material_basis_in squamous cells.,squamous cell carcinoma of the nasal cavity,squamous cell carcinoma
colon squamous cell carcinoma,A squamous cell carcinoma that is located_in the colon.,squamous cell carcinoma of colon,squamous cell carcinoma
head and neck squamous cell carcinoma,A head and neck carcinoma that has_material_basis_in squamous cells that line the moist,squamous cell carcinomas of head and neck,squamous cell carcinoma
keratinizing squamous cell carcinoma,A squamous cell carcinoma that presents as single,squamous cell carcinoma,squamous cell carcinoma
adenosquamous breast carcinoma,A breast metaplastic carcinoma that is characterized by well-developed gland formation intimately admixed with solid nests of squamous cells immersed in a highly cellular spindle cell stroma.,histiocytic and dendritic cell,squamous cell carcinoma
ampulla of Vater adenosquamous carcinoma,An ampulla of Vater carcinoma that derives_from squamous cells and gland-like cells.,Adenosquamous carcinoma of the gallbladder,squamous cell carcinoma
endometrial adenosquamous carcinoma,An endometrial carcinoma that derives_from squamous cells and gland-like cells.,Adenosquamous carcinoma of Endometrium,squamous cell carcinoma
adenosquamous prostate carcinoma,A prostate carcinoma that derives_from squamous cells and gland-like cells.,Adenosquamous carcinoma of the prostate,squamous cell carcinoma
anal canal squamous cell carcinoma,An anal canal cancer that derives_from epithelial squamous cells.,anal Giant (malignant) Condyloma,squamous cell carcinoma
maxillary sinus squamous cell carcinoma,A squamous cell carcinoma that is located_in the maxillary sinus.,Epidermoid carcinoma of the Maxillofacial sinus,squamous cell carcinoma
