Name,Definition,Synonym,Output
autoimmune gastritis,An autoimmune disease of gastrointestinal tract that is located_in the stomach.,PVAN,stomach disease
stomach cancer,A gastrointestinal system cancer that is located_in the stomach.,malignant tumor of lesser curve of stomach,stomach disease
obsolete coxsackie myocarditis,A coxsackie carditis that results_in inflammation located_in myocardium,malignant tumor of lesser curve of stomach,stomach disease
functional gastric disease,A peripheral nervous system disease that involves an acute loss of function of the lumbar plexus,HSAN III,stomach disease
Dieulafoy lesion,A pervasive developmental disease that is characterized by normal early growth and development followed by a slowing of development,dieulafoy lesion (hemorrhagic) of stomach and duodenum,stomach disease
pylorospasm,A pervasive developmental disease that is characterized by normal early growth and development followed by a slowing of development,dieulafoy lesion (hemorrhagic) of stomach and duodenum,stomach disease
obsolete interstitial emphysema and related conditions of newborn,A pervasive developmental disease that is characterized by normal early growth and development followed by a slowing of development,dieulafoy lesion (hemorrhagic) of stomach and duodenum,stomach disease
cascade stomach,A dementia that is characterized by the development of abnormal proteinaceous (alpha-synuclein) cytoplasmic inclusions,Hourglass stricture or stenosis of stomach,stomach disease
hiatus hernia,A pyloric stenosis characterized by the enlargement of the muscle surrounding the pylorus,hiatal hernia,stomach disease
obsolete Congenital or acquired abnormality of vulva,A pyloric stenosis characterized by the enlargement of the muscle surrounding the pylorus,hiatal hernia,stomach disease
obsolete genitourinary cancer,An organ system cancer located_in the genitourinary system that is characterized by uncontrolled cellular proliferation in reproductive and urinary organs.,hiatal hernia,stomach disease
obsolete disorder of optic chiasm associated with inflammatory disorder,An organ system cancer located_in the genitourinary system that is characterized by uncontrolled cellular proliferation in reproductive and urinary organs.,hiatal hernia,stomach disease
gastric hemangioma,A glycogen storage disease that has_material_basis_in deficiency of the glucose-6-phosphatase enzyme which impairs the ability of the liver to produce free glucose from glycogen and from gluconeogenesis and is characterized by accumulation of glycogen and fat in the liver and kidneys,hemangioma of stomach,stomach disease
gastric outlet obstruction,A biliary tract cancer that is located_in the gallbladder.,gastric outflow obstruction,stomach disease
obsolete multiple endocrine neoplasia,A biliary tract cancer that is located_in the gallbladder.,Multiple endocrine adenomatosis,stomach disease
gastric dilatation,A spinal cord disease that is characterized by inflammation of the white matter or gray matter of the spinal cord.,stomach dilatation,stomach disease
obsolete Human T-lymphotropic virus 1 infectious disease,A viral infectious disease that results in increased proliferation of affected CD4 lymphocytes,HTLV-I infectious disease,stomach disease
gastritis,A stomach disease that is an inflammation of the lining of the stomach.,Erosive gastropathy,stomach disease
stomach diverticulosis,An autoimmune disease of the nervous system that has_material_basis_in antibodies to acetylcholine receptors at the neuromuscular junction,Ulick syndrome,stomach disease
Cronkhite-Canada syndrome,A Retroviridae infectious disease that results_in infection in animals and humans,polyposis,stomach disease
