Name,Definition,Synonym,Output
paralytic squint,A otitis media which is an expansile,Paralytic strabismus,strabismus
exotropia,A female reproductive system disease characterized by the growth of endometrial tissue that is located_in the pelvic peritoneum.,Divergent Strabismus,strabismus
conjugate gaze palsy,A vulva cancer that is located_in the labium minora.,Palsy of conjugate gaze,strabismus
obsolete hematologic pregnancy complication,A vulva cancer that is located_in the labium minora.,Palsy of conjugate gaze,strabismus
Duane retraction syndrome,An acute kidney failure that is characterized by necrosis of epithelial tubule cells.,Stilling-Turk-Duane syndrome,strabismus
binocular vision disease,A primary systemic mycosis that results_in a systemic fungal infection,simultaneous visual perception without fusion,strabismus
intermittent squint,An autosomal recessive disease that results from mutations in multiple BBS genes affecting cellular cilia structure or function (ciliopathy) resulting in variable presentation and characterized principally by obesity,Intermittent heterotropia,strabismus
internuclear ophthalmoplegia,A hemangiopericytoma that is manifested in the breast.,Hemoglobin E disease,strabismus
obsolete lupus vulgaris,A hemangiopericytoma that is manifested in the breast.,Tuberculosis - lupus NOS (disorder),strabismus
mechanical strabismus,An abdominal tuberculosis that results_in formation of granulomas or abscesses located_in spleen.,Neurofibroma of Heart,strabismus
hypertropia,A withdrawal disorder that is characterized by a group of problems that occur in a newborn who was exposed to addictive illegal or prescription drugs while in the mother's womb or postnatally following the discontinuance of drug treatment.,hypermetropia,strabismus
cyclotropia,A withdrawal disorder that is characterized by a group of problems that occur in a newborn who was exposed to addictive illegal or prescription drugs while in the mother's womb or postnatally following the discontinuance of drug treatment.,hypermetropia,strabismus
esotropia,A strabismus that is characterized the eye which turns inward toward the nose.,Internal Strabismus,strabismus
hypotropia,A strabismus that is characterized the eye which turns inward toward the nose.,Internal Strabismus,strabismus
monofixation syndrome,A strabismus that is characterized the eye which turns inward toward the nose.,Circumpapillary dystrophy of choroid,strabismus
