Name,Definition,Synonym,Output
opioid abuse,A substance abuse that involves the recurring use of opioid drugs despite negative consequences.,Angelucci syndrome,substance abuse
antidepressant type abuse,A substance abuse that involves the recurring use of antidepressant drugs despite negative consequences.,diabetes mellitus syndrome in newborn infant,substance abuse
hallucinogen abuse,A substance abuse that involves the recurring use of hallucinogenic drugs despite negative consequences.,Posterior synechiae of iris,substance abuse
alcohol use disorder,A substance abuse that involves the recurring use of alcoholic beverages despite negative consequences.,Ethanol abuse,substance abuse
phencyclidine abuse,A substance abuse that involves the recurring use of phencyclidine (PCP) drugs despite negative consequences.,Phencyclidine abuse,substance abuse
amphetamine abuse,A substance abuse that involves the recurring use of amphetamines despite negative consequences.,nervous tissue disease,substance abuse
cocaine abuse,A substance abuse that involves the recurring use of cocaine despite negative consequences.,Advanced adult primary Hepatocellular carcinoma,substance abuse
barbiturate abuse,A substance abuse that involves the recurring use of barbiturate drugs despite negative consequences.,pulmonary heart disease,substance abuse
obsolete recurrent manic episodes,A substance abuse that involves the recurring use of barbiturate drugs despite negative consequences.,pulmonary heart disease,substance abuse
obsolete nodular lymphoma involving lymph nodes of axilla and upper limb,A substance abuse that involves the recurring use of barbiturate drugs despite negative consequences.,nodular lymphoma of lymph nodes of axilla and upper limb (disorder),substance abuse
obsolete nodular lymphoma,A substance abuse that involves the recurring use of barbiturate drugs despite negative consequences.,nodular lymphoma (Brill - Symmers disease),substance abuse
obsolete nodular lymphoma involving intra-abdominal lymph nodes,A substance abuse that involves the recurring use of barbiturate drugs despite negative consequences.,nodular lymphoma (Brill - Symmers disease),substance abuse
cannabis abuse,A substance abuse that involves the recurring use of cannabis despite negative consequences.,marijuana abuse,substance abuse
