Name,Definition,Synonym,Output
Usher syndrome,A syndrome characterized by a combination of hearing loss and visual impairment.,PSEUDOGLYCOGENOSIS II,syndrome
Gamstorp-Wohlfart syndrome,A syndrome characterized by progressive weakness and atrophy of muscles in feet,myokymia,syndrome
obsolete familial hypertriglyceridemia,A syndrome characterized by progressive weakness and atrophy of muscles in feet,myokymia,syndrome
Saldino-Noonan syndrome,A syndrome characterized by congenital heart defects,type I short rib polydactyly syndrome,syndrome
obsolete Majewski syndrome,A syndrome characterized by congenital heart defects,type II short rib-polydactyly syndrome,syndrome
obsolete Verma-Naumoff syndrome,A syndrome characterized by congenital heart defects,type III short rib-polydactyly syndrome,syndrome
Qazi Markouizos syndrome,A syndrome that is characterized by hypotonia,Qazi-Markouizos syndrome,syndrome
ARC syndrome,A syndrome that is characterized by congenital joint contractures,Arthrogryposis-renal dysfunction-cholestasis,syndrome
N syndrome,A syndrome that is characterized by intellectual disability,NSX,syndrome
Zollinger-Ellison syndrome,A syndrome that is haracterized by the development of a one or more tumors (gastrinoma) in the pancreas,X-linked Malformation and Infantile Lethality Syndrome,syndrome
CHARGE syndrome,A syndrome that is acterized by a pattern of congenital anomalies including choanal atresia and malformations of the heart,CHARGE association,syndrome
Marshall-Smith syndrome,A syndrome that is characterized by advanced bone age,obstructive sleep apnea syndrome,syndrome
Koolen de Vries syndrome,A syndrome that is characterized by developmental delay,Koolen-De Vries syndrome,syndrome
inclusion body myopathy with Paget disease of bone and frontotemporal dementia,A syndrome that is characterized by progressive proximal muscle weakness,inclusion body myopathy with Paget's disease of bone and frontotemporal dementia,syndrome
IMAGe syndrome,A syndrome that is characterized by intrauterine growth restriction,intrauterine growth restriction,syndrome
CREST syndrome,A syndrome characterized by calcinosis,diffuse interstitual keratitis,syndrome
Maffucci syndrome,A syndrome characterized by the presence of multiple enchondromas (benign growths of cartilage) associated with multiple hemangiomas.,lymph node adenoid cystic cancer,syndrome
3MC syndrome,A syndrome characterized by blepharophimosis,oculopalatoskeletal syndrome,syndrome
Adams-Oliver syndrome,A syndrome characterized by defects of the scalp (aplasia cutis congenita),Adams Oliver syndrome,syndrome
Baraitser-Winter syndrome,A syndrome characterized by distinctive facial features including hypertelorism,saccular cerebral aneurysm,syndrome
Bruck syndrome,A syndrome characterized by a combination of multiple joint contractures and osteogenesis imperfecta.,osteogenesis imperfecta with congenital joint contractures,syndrome
branchiootic syndrome,A syndrome characterized by malformations of the outer,branchiootic dysplasia,syndrome
cardiofaciocutaneous syndrome,A syndrome characterized by unusually sparse,CFC syndrome,syndrome
Van Maldergem syndrome,A syndrome characterized by facial abnormalities such as telecanthus,cerebro-facio-articular syndrome,syndrome
Van der Woude syndrome,A syndrome characterized by the combination of lower lip pits,lip-pit syndrome,syndrome
Robinow syndrome,A syndrome characterized by mild to moderate short stature due to growth delays after birth,Robinow dwarfism,syndrome
Ohdo syndrome,A syndrome that is characterized by blepharophimosis,Ohdo blepharophimosis syndrome,syndrome
oculodentodigital dysplasia,A syndrome characterized by craniofacial,ODD syndrome,syndrome
cold-induced sweating syndrome,A syndrome that is characterized by profuse sweating induced by cold ambient temperature.,Sohar-Crisponi syndrome,syndrome
Meier-Gorlin syndrome,A syndrome that is characterized by bilateral underdevelopment of the external ear,ear-patella-short stature syndrome,syndrome
chronic atrial and intestinal dysrhythmia,A syndrome characterized by a unique combination of cardiac arrhythmias and intestinal pseudo-obstruction. It has_material_basis_in the mutated SGOL1 protein. Distinctive clinical features include atrial dysrhythmias,CAID syndrome,syndrome
ciliopathy,A syndrome associated with mutations encoding defective proteins,CAID syndrome,syndrome
