Name,Definition,Synonym,Output
Arts syndrome,An X-linked disease that is characterized by profound congenital sensorineural hearing impairment,syndromic X-linked mental retardation Arts type,syndromic X-linked intellectual disability
Armfield syndrome,A syndromic X-linked intellectual disability characterized by intellectual disability,X-linked intellectual disability,syndromic X-linked intellectual disability
syndromic X-linked intellectual disability Lubs type,A syndromic X-linked intellectual disability characterized by moderate to profound intellectual disability,X-linked intellectual disability-hypotonia-recurrent Infections syndrome,syndromic X-linked intellectual disability
syndromic X-linked intellectual disability 12,A syndromic X-linked intellectual disability characterized by severe intellectual deficit,X-linked intellectual disability,syndromic X-linked intellectual disability
syndromic X-linked intellectual disability Hedera type,A syndromic X-linked intellectual disability characterized by mild to moderate mental retardation and epilepsy that has_material_basis_in mutation in the ATP6AP2 gene on chromosome Xp11.,X-linked mental retardation with epilepsy,syndromic X-linked intellectual disability
syndromic X-linked intellectual disability Najm type,A syndromic X-linked intellectual disability characterized by severe intellectual disability,X-linked intellectual disability-microcephaly-pontocerebellar hypoplasia syndrome,syndromic X-linked intellectual disability
syndromic X-linked intellectual disability 7,A syndromic X-linked intellectual disability characterized by intellectual deficit,X-linked intellectual disability,syndromic X-linked intellectual disability
syndromic X-linked intellectual disability type 10,A syndromic X-linked intellectual disability characterized by mild intellectual deficit associated with choreoathetosis and abnormal behaviour that has_material_basis_in mutation in the HSD17B10 gene on chromosome Xp11.22.,X-linked intellectual disability-choreoathetosis-abnormal behavior syndrome,syndromic X-linked intellectual disability
syndromic X-linked intellectual disability Turner type,A syndromic X-linked intellectual disability characterized by moderate to severe intellectual deficit in boys and moderate intellectual deficit in girls,X-linked intellectual disability,syndromic X-linked intellectual disability
syndromic X-linked intellectual disability Shrimpton type,A syndromic X-linked intellectual disability characterized by evere mental retardation,MRXS9,syndromic X-linked intellectual disability
Miles-Carpenter syndrome,A syndromic X-linked intellectual disability characterized by severe intellectual deficit,X-linked intellectual disability,syndromic X-linked intellectual disability
corpus callosum agenesis-intellectual disability-coloboma-micrognathia syndrome,A syndromic X-linked intellectual disability characterized by agenesis of the corpus callosum,MRXS28,syndromic X-linked intellectual disability
syndromic X-linked intellectual disability 34,A syndromic X-linked intellectual disability characterized by delayed psychomotor development,syndromic X-linked mental retardation Mircsof-Langouet type,syndromic X-linked intellectual disability
syndromic X-linked intellectual disability Abidi type,A syndromic X-linked intellectual disability characterized by intellectual disability with variable occurrence of short stature,syndromic X-linked mental retardation Abidi type,syndromic X-linked intellectual disability
syndromic X-linked intellectual disability Chudley-Schwartz type,A syndromic X-linked intellectual disability characterized by moderate intellectual disability,X-linked mental retardation with seizures,syndromic X-linked intellectual disability
syndromic X-linked intellectual disability Nascimento type,A syndromic X-linked intellectual disability characterized by intellectual disability with dysmorphic features,X-linked intellectual disability-nail dystrophy-seizures syndrome,syndromic X-linked intellectual disability
syndromic X-linked intellectual disability 14,A syndromic X-linked intellectual disability characterized by mild to severe intellectual disability,mental retardation,syndromic X-linked intellectual disability
syndromic X-linked intellectual disability Cabezas type,A syndromic X-linked intellectual disability characterized by intellectual deficit,X-linked mental retardation with short stature,syndromic X-linked intellectual disability
syndromic X-linked intellectual disability 94,A syndromic X-linked intellectual disability characterized by moderate intellectual disability with variable occurrence of asthenic body habitus,syndromic X-linked mental retardation Wu type,syndromic X-linked intellectual disability
syndromic X-linked intellectual disability Raymond type,A syndromic X-linked intellectual disability characterized by intellectual disability and marfanoid habitus that has_material_basis_in mutation in the ZDHHC9 gene on chromosome Xq26.1.,MRXSR,syndromic X-linked intellectual disability
syndromic X-linked intellectual disability Shashi type,A syndromic X-linked intellectual disability characterized by moderate intellectual deficit,X-linked mental retardation Shashi type,syndromic X-linked intellectual disability
X-linked intellectual disability-psychosis-macroorchidism syndrome,A syndromic X-linked intellectual disability characterized by moderate intellectual deficit,X-linked mental retardation with spasticity,syndromic X-linked intellectual disability
X-linked intellectual disability-cardiomegaly-congestive heart failure syndrome,A syndromic X-linked intellectual disability characterized by intellectual disability,MRXS32,syndromic X-linked intellectual disability
obsolete Brooks-Wisniewski-Brown syndrome,A syndromic X-linked intellectual disability characterized by intellectual disability,MRXS32,syndromic X-linked intellectual disability
deafness-intellectual disability,A syndromic X-linked intellectual disability characterized by severe bilateral deafness,mental retardation,syndromic X-linked intellectual disability
syndromic X-linked mental retardation 35,An autosomal recessive non-syndromic intellectual disability that has_material_basis_in homozygous mutation in the RUN and SH3 domain containing 2 gene (RUSC2) on chromosome 9p13.,Alwadei syndrome,syndromic X-linked intellectual disability
syndromic X-linked mental retardation Hough type,An autosomal recessive non-syndromic intellectual disability that has_material_basis_in homozygous mutation in the RUN and SH3 domain containing 2 gene (RUSC2) on chromosome 9p13.,Alwadei syndrome,syndromic X-linked intellectual disability
X-linked mental retardation with cerebellar hypoplasia and distinctive facial appearance,A syndromic X-linked intellectual disability characterized by neonatal hypotonia with motor delay but no obvious ataxia,complex sleep apnea,syndromic X-linked intellectual disability
