Name,Definition,Synonym,Output
hypercementosis,A viral infectious disease that results_in infection located_in upper respiratory tract or located_in lower respiratory tract,Cementation hyperplasia,teeth hard tissue disease
tooth resorption,A respiratory system cancer that is located_in the lung.,lung neoplasm,teeth hard tissue disease
dental caries,An ovarian cancer that originates in the germ (egg) cells of the ovary.,Dental caries pit and fissure,teeth hard tissue disease
tooth erosion,A vascular disease that is characterized as a small vascular malformation of the gut.,localized erosion,teeth hard tissue disease
obsolete chronic brain damage,A vascular disease that is characterized as a small vascular malformation of the gut.,chronic Encephalopathy,teeth hard tissue disease
obsolete AIDS-related vulvovaginal candidiasis,A vulvovaginal candidiasis that involves fungal infection of the vaginal mucous membranes by Candida albicans in AIDS patients.,chronic Encephalopathy,teeth hard tissue disease
dental enamel hypoplasia,A benign perivascular tumor that is characterized as a vascular variant of a glomus tumor.,Enamel hypoplasia,teeth hard tissue disease
dentin sensitivity,An acute inflammation of lacrimal passage that is characterized by inflammation of the lacrimal caniculi,Sensitive dentin,teeth hard tissue disease
obsolete recurrent rectosigmoid cancer,An acute inflammation of lacrimal passage that is characterized by inflammation of the lacrimal caniculi,relapsed Rectosigmoid cancer,teeth hard tissue disease
obsolete recurrent colorectal cancer,An acute inflammation of lacrimal passage that is characterized by inflammation of the lacrimal caniculi,Colorectal carcinoma recurrent,teeth hard tissue disease
dentin dysplasia,A teeth hard tissue disease characterized by presence of normal enamel but atypical dentin with abnormal pulpal morphology.,Dentinal dysplasia,teeth hard tissue disease
obsolete recurrent thyroid carcinoma,A teeth hard tissue disease characterized by presence of normal enamel but atypical dentin with abnormal pulpal morphology.,relapsed cancer of the Thyroid,teeth hard tissue disease
obsolete anaplastic thyroid carcinoma,A teeth hard tissue disease characterized by presence of normal enamel but atypical dentin with abnormal pulpal morphology.,sarcomatoid Thyroid carcinoma,teeth hard tissue disease
