Name,Definition,Synonym,Output
testicular lymphoma,An adrenal gland hyperfunction that is caused by overactivity of the adrenal cortex caused by a tumor of the pituitary gland.,testicular Lymphoma,testicular cancer
obsolete metastatic tumor to the testis,An adrenal gland hyperfunction that is caused by overactivity of the adrenal cortex caused by a tumor of the pituitary gland.,secondary malignant neoplasm of testis (disorder),testicular cancer
obsolete congenital adrenal hyperplasia,An adrenal gland hyperfunction that is caused by overactivity of the adrenal cortex caused by a tumor of the pituitary gland.,Congenital adrenal hyperplasia,testicular cancer
obsolete adrenogenital disease,An adrenal gland hyperfunction that is caused by overactivity of the adrenal cortex caused by a tumor of the pituitary gland.,Congenital adrenal hyperplasia,testicular cancer
malignant tumor of undescended testis,A pyoderma that is a milder form of diphtheria restricted to the skin producing shallow skin ulcers is caused by direct physical contact of indivduals infected with Corynebacterium diphtheriae as the bacteria releases the diphtheria toxin.,malignant tumor of retained testis,testicular cancer
obsolete paranoid type schizophrenia in remission,A pyoderma that is a milder form of diphtheria restricted to the skin producing shallow skin ulcers is caused by direct physical contact of indivduals infected with Corynebacterium diphtheriae as the bacteria releases the diphtheria toxin.,malignant tumor of retained testis,testicular cancer
testicular leukemia,A pyoderma that is a milder form of diphtheria restricted to the skin producing shallow skin ulcers is caused by direct physical contact of indivduals infected with Corynebacterium diphtheriae as the bacteria releases the diphtheria toxin.,Thrombophlebitis of the femoral vein,testicular cancer
testis sarcoma,A sarcoma and malignant neoplasm of testis that is located_in the testis.,sarcoma of testis,testicular cancer
testicular Brenner tumor,A testicular cancer that has_material_basis_in the surface epithelium of the testis and is characterized by the presence of cysts lined by transitional cells and solid nests of transitional cells in a spindle cell stroma.,psychosomatic disorder,testicular cancer
testicular sex cord-stromal neoplasm,A sex cord-gonadal stromal tumor that is located_in the testis.,Sex Cord-Stromal tumor of testis,testicular cancer
obsolete peripheral anterior synechiae,A sex cord-gonadal stromal tumor that is located_in the testis.,peripheral anterior synechiae (disorder),testicular cancer
epididymal neoplasm,An ovarian disease that is characterized by the presence of a fluid-filled sac and is located_in the ovary.,neoplasm of epididymis,testicular cancer
obsolete Roseolovirus infectious disease,A Herpesviridae infectious disease that results_in infection in children,neoplasm of epididymis,testicular cancer
testicular germ cell cancer,A testicular cancer that has_material_basis_in germ cells.,testicular germ cell neoplasm,testicular cancer
spermatocytoma,A fallopian tube adenocarcinoma that derives_from endometrial epithelial cells of glandular origin.,Spermatocytic seminoma,testicular cancer
testis seminoma,A fallopian tube adenocarcinoma that derives_from endometrial epithelial cells of glandular origin.,testicular Seminoma Pure,testicular cancer
