Name,Definition,Synonym,Output
thoracic benign neoplasm,An organ system benign neoplam that is located_in the thoracic cavity.,non-bacterial thrombotic endocarditis,thoracic disease
breast disease,A thoracic disease that is located_in the breast.,hamartomatous polyp (morphologic abnormality),thoracic disease
obsolete hamartoma of skin appendage,A thoracic disease that is located_in the breast.,skin Appendage hamartoma,thoracic disease
obsolete congenital nevus of skin,A thoracic disease that is located_in the breast.,Congenital nevus of the skin,thoracic disease
obsolete cartilaginous hamartoma,A thoracic disease that is located_in the breast.,cartilaginous hamartoma (morphologic abnormality),thoracic disease
obsolete mesenchymal hamartoma,A thoracic disease that is located_in the breast.,mesenchymal hamartoma (morphologic abnormality),thoracic disease
obsolete hamartoma of central nervous system,A thoracic disease that is located_in the breast.,hamartoma of the CNS,thoracic disease
obsolete hamartoma of lung,A thoracic disease that is located_in the breast.,pulmonary hamartoma,thoracic disease
obsolete brain hamartoma,A thoracic disease that is located_in the breast.,hamartoma of brain (disorder),thoracic disease
obsolete Lipomatous hamartoma,A thoracic disease that is located_in the breast.,Lipomatous hamartoma (disorder),thoracic disease
thoracic cancer,An organ system cancer located_in the thoracic cavity that develops in the different types of cells within the lungs,tumor of thorax,thoracic disease
obsolete axillary cancer,An organ system cancer located_in the thoracic cavity that develops in the different types of cells within the lungs,neoplasm of axilla (disorder),thoracic disease
