Name,Definition,Synonym,Output
goiter,A thyroid gland disease that involves an abnormal enlargement of the thyroid gland.,goitre,thyroid gland disease
thyrocalcitonin secretion disease,An eye disease that involves the globe of the eye.,disorder of thyrocalcitonin secretion,thyroid gland disease
thyroid crisis,A prolapse of female genital organ that is characterized by the descent of a peritoneal sac containing small bowel into the rectovagnial space causing a bulge in the posterior vaginal wall.,Thyrotoxic crisis,thyroid gland disease
obsolete secondary thyroid hyperplasia,A prolapse of female genital organ that is characterized by the descent of a peritoneal sac containing small bowel into the rectovagnial space causing a bulge in the posterior vaginal wall.,Thyrotoxic crisis,thyroid gland disease
obsolete thyrotoxicosis from ectopic thyroid nodule,A prolapse of female genital organ that is characterized by the descent of a peritoneal sac containing small bowel into the rectovagnial space causing a bulge in the posterior vaginal wall.,Thyrotoxicosis from ectopic thyroid nodule without mention of thyrotoxic crisis or storm,thyroid gland disease
hypothyroidism,A thyroid gland disease which involves an underproduction of thyroid hormone.,Thyroid insufficiency,thyroid gland disease
thyroid gland cancer,An endocrine gland cancer located in the thryoid gland located in the neck below the thyroid cartilage.,thyroid neoplasm,thyroid gland disease
hyperthyroxinemia,A chronic lymphocytic leukemia that is characterized by over production of B cells (lymphocytes) by the bone marrow where the B cells appear hairy under a microscope.,Thyroid atrophy (disorder),thyroid gland disease
euthyroid sick syndrome,A chronic lymphocytic leukemia that is characterized by over production of B cells (lymphocytes) by the bone marrow where the B cells appear hairy under a microscope.,Sick-euthyroid syndrome,thyroid gland disease
obsolete abscess of thyroid,A chronic lymphocytic leukemia that is characterized by over production of B cells (lymphocytes) by the bone marrow where the B cells appear hairy under a microscope.,Thyroid gland abscess,thyroid gland disease
thyroid adenoma,An endocrine organ benign neoplasm that is located_in the thyroid and derives_from glandular epithelial cells.,adenoma of thyroid gland,thyroid gland disease
thyroiditis,A viral infectious disease that affects CD8 lymphocytes,Subacute thyroiditis,thyroid gland disease
thyrotoxicosis,A thyroid gland disease that is characterized by excess thyroid hormone.,Venous varices,thyroid gland disease
hyperthyroidism,A thyroid gland disease that involves an over production of thyroid hormone.,overactive thyroid,thyroid gland disease
thyroid malformation,A bone marrow disease characterized by an increased number of red blood cells in the bloodstream resulting in thicker blood and reduced blood flow.,Erythrocythemia,thyroid gland disease
obsolete Drug dependence complicating pregnancy,A bone marrow disease characterized by an increased number of red blood cells in the bloodstream resulting in thicker blood and reduced blood flow.,Pregnancy and drug dependence (disorder),thyroid gland disease
