Name,Definition,Synonym,Output
type 1 diabetes mellitus 2,A type 1 diabetes mellitus that has_material_basis_in autosomal dominant inheritance of mutation of the INS gene on chromosome 11p15.5.,Insulin-Dependent Diabetes Mellitus 2,type 1 diabetes mellitus
type 1 diabetes mellitus 3,A type 1 diabetes mellitus that has_material_basis_in mutation of the locus at chromosome 15q26.,Insulin-Dependent Diabetes Mellitus 3,type 1 diabetes mellitus
type 1 diabetes mellitus 4,A type 1 diabetes mellitus that has_material_basis_in mutation of the locus at chromosome 11q13.,Insulin-Dependent Diabetes Mellitus 4,type 1 diabetes mellitus
type 1 diabetes mellitus 5,A type 1 diabetes mellitus that has_material_basis_in mutation of the SUMO4 gene on chromosome 6q25.1.,Insulin-Dependent Diabetes Mellitus 5,type 1 diabetes mellitus
type 1 diabetes mellitus 6,A type 1 diabetes mellitus that has_material_basis_in mutation of the locus at chromosome 18q21.,Insulin-Dependent Diabetes Mellitus 6,type 1 diabetes mellitus
type 1 diabetes mellitus 7,A type 1 diabetes mellitus that has_material_basis_in mutation of the locus at chromosome 2q31.,Insulin-Dependent Diabetes Mellitus 7,type 1 diabetes mellitus
type 1 diabetes mellitus 8,A type 1 diabetes mellituss that has_material_basis_in mutation of the locus at chromosome 6q25-q27.,Insulin-Dependent Diabetes Mellitus 8,type 1 diabetes mellitus
obsolete type 1 diabetes mellitus 9,A type 1 diabetes mellituss that has_material_basis_in mutation of the locus at chromosome 6q25-q27.,Insulin-Dependent Diabetes Mellitus 9,type 1 diabetes mellitus
type 1 diabetes mellitus 10,A type 1 diabetes mellitus that has_material_basis_in mutation of the IL2RA gene on chromosome 10p15.1.,Insulin-Dependent Diabetes Mellitus 10,type 1 diabetes mellitus
type 1 diabetes mellitus 11,A type 1 diabetes mellitus that has_material_basis_in mutation of the locus at chromosome 14q24.3-q31.,Insulin-Dependent Diabetes Mellitus 11,type 1 diabetes mellitus
type 1 diabetes mellitus 12,A type 1 diabetes mellitus that has_material_basis_in mutation of the CTLA4 gene on chromosome 2q33.2.,Insulin-Dependent Diabetes Mellitus 12,type 1 diabetes mellitus
type 1 diabetes mellitus 13,A type 1 diabetes mellituss that has_material_basis_in mutation of the locus at chromosome 2q34.,Insulin-Dependent Diabetes Mellitus 13,type 1 diabetes mellitus
type 1 diabetes mellitus 15,A type 1 diabetes mellitus that has_material_basis_in mutation of the locus at chromosome 6q21.,Insulin-Dependent Diabetes Mellitus 15,type 1 diabetes mellitus
type 1 diabetes mellitus 17,A type 1 diabetes mellitus that has_material_basis_in mutation of the locus at chromosome 10q25.,Insulin-Dependent Diabetes Mellitus 17,type 1 diabetes mellitus
type 1 diabetes mellitus 18,A type 1 diabetes mellitus that has_material_basis_in mutation of the locus at chromosome 5q31.1-q33.1.,Insulin-Dependent Diabetes Mellitus 18,type 1 diabetes mellitus
type 1 diabetes mellitus 19,A type 1 diabetes mellitus that has_material_basis_in mutation of the locus at chromosome 2q24.3.,Insulin-Dependent Diabetes Mellitus 19,type 1 diabetes mellitus
type 1 diabetes mellitus 20,A type 1 diabetes mellitus that has_material_basis_in mutation of the HNF1A gene on chromosome 12q24.31.,Insulin-Dependent Diabetes Mellitus 20,type 1 diabetes mellitus
type 1 diabetes mellitus 21,A type 1 diabetes mellitus that has_material_basis_in mutation of the locus at chromosome 6q25.,Insulin-Dependent Diabetes Mellitus 21,type 1 diabetes mellitus
type 1 diabetes mellitus 22,A type 1 diabetes mellitus that has_material_basis_in mutation of the CCR5 gene on chromosome 3p21.31.,Insulin-Dependent Diabetes Mellitus 22,type 1 diabetes mellitus
type 1 diabetes mellitus 23,A type 1 diabetes mellitus that has_material_basis_in mutation of the locus at chromosome 4q27.,Insulin-Dependent Diabetes Mellitus 23,type 1 diabetes mellitus
type 1 diabetes mellitus 24,A type 1 diabetes mellitus that has_material_basis_in mutation of the locus at chromosome 10q23.31.,Insulin-Dependent Diabetes Mellitus 24,type 1 diabetes mellitus
obsolete hereditary spastic paraplegia 1,A type 1 diabetes mellitus that has_material_basis_in mutation of the locus at chromosome 10q23.31.,Insulin-Dependent Diabetes Mellitus 24,type 1 diabetes mellitus
