Name,Definition,Synonym,Output
adenoiditis,An upper respiratory tract disease which involves inflammation,chronic adenoiditis,upper respiratory tract disease
laryngotracheitis,An upper respiratory tract disease involving inflammation of both larynx and trachea often caused by viral infection. The infection can close off the windpipe.,Singapore ear,upper respiratory tract disease
uvulitis,An upper respiratory tract disease characterized by the swelling of the uvula to 3-5 times its normal size.,acute uvulitis,upper respiratory tract disease
adenoid hypertrophy,An upper respiratory tract disease characterized by the unusual growth of the adenoid tonsil; has symptom snoring,enlarged adenoids,upper respiratory tract disease
leprosy,A primary bacterial infectious disease that results_in infection located_in superficial peripheral nerves,malignant neoplasm of pelvis,upper respiratory tract disease
obsolete malignant neoplasm of pelvis,A primary bacterial infectious disease that results_in infection located_in superficial peripheral nerves,malignant tumor of pelvis (disorder),upper respiratory tract disease
tonsillitis,An upper respiratory tract disease which is characterized by inflammation of the tonsils resulting from bacterial (Group A streptococcus) and viral (Epstein-Barr virus,Throat infection - tonsillitis,upper respiratory tract disease
common cold,An upper respiratory tract disease which involves inflammation of the mucous membranes of the nose,rhino-sinusitis,upper respiratory tract disease
acute laryngopharyngitis,An upper respiratory tract disease which involves inflammation of both larynx and pharynx.,webbing of digits,upper respiratory tract disease
pharyngitis,An upper respiratory tract disease involving inflammation of the throat or pharynx resulting from bacterial,Sore throat - chronic,upper respiratory tract disease
nose disease,A lung disease that is defined as a recurrent or chronic collapse of the right middle lobe,nasal disorder,upper respiratory tract disease
tracheal disease,A spinal cord disease that is characterized by inflammation of the white matter or gray matter of the spinal cord.,Complex regional pain syndromes,upper respiratory tract disease
laryngeal disease,A histiocytic and dendritic cell cancer that is mainly located_in lymph nodes.,relapsed germ cell tumor of Ovary,upper respiratory tract disease
scarlet fever,An upper respiratory tract disease described as an acute contagious disease caused by Group A bacteria of the genus Streptococcus (especially various strains of S. pyogenes) and characterized by inflammation of the nose,Scarlatina,upper respiratory tract disease
obsolete mild degree recurrent episode manic disorder,An upper respiratory tract disease described as an acute contagious disease caused by Group A bacteria of the genus Streptococcus (especially various strains of S. pyogenes) and characterized by inflammation of the nose,Scarlatina,upper respiratory tract disease
obsolete Sezary's disease involving lymph nodes of inguinal region and lower limb,An upper respiratory tract disease described as an acute contagious disease caused by Group A bacteria of the genus Streptococcus (especially various strains of S. pyogenes) and characterized by inflammation of the nose,Szary's disease of lymph nodes of inguinal region and/or lower limb,upper respiratory tract disease
obsolete carcinoid syndrome,An upper respiratory tract disease described as an acute contagious disease caused by Group A bacteria of the genus Streptococcus (especially various strains of S. pyogenes) and characterized by inflammation of the nose,Hormone secretion by carcinoid tumors,upper respiratory tract disease
mucocutaneous leishmaniasis,A leishmaniasis that involves a chronic inflammatory process involving the nasal,New World cutaneous leishmaniasis,upper respiratory tract disease
obsolete Hodgkin's lymphoma,A leishmaniasis that involves a chronic inflammatory process involving the nasal,Hodgkin's disease,upper respiratory tract disease
obsolete Sezary's disease involving intra-abdominal lymph nodes,A leishmaniasis that involves a chronic inflammatory process involving the nasal,Szary's disease of intra-abdominal lymph nodes (disorder),upper respiratory tract disease
epiglottitis,An upper respiratory tract disease which involves inflammation of the epiglottis due to infection. Haemophilus influenzae type B is the most common bacterial causative agent,acute epiglottitis and supraglottitis,upper respiratory tract disease
nasopharyngeal disease,An endocrine system disease that is located_in the adrenal gland.,plasma cell myeloma,upper respiratory tract disease
