Name,Definition,Synonym,Output
bladder lateral wall cancer,A peripheral nervous system disease that involves an acute loss of function of the lumbar plexus,malignant neoplasm of lateral wall of urinary bladder,urinary bladder cancer
bladder neck cancer,A nutritional deficiency disease that is characterized by inadequate dietary protein and calories,malignant tumor of bladder neck,urinary bladder cancer
obsolete metastatic neoplasm to the bladder,A nutritional deficiency disease that is characterized by inadequate dietary protein and calories,secondary malignant neoplasm of bladder (disorder),urinary bladder cancer
urinary bladder posterior wall cancer,A nutritional deficiency disease that is characterized by inadequate dietary protein and calories,malignant neoplasm of posterior wall of urinary bladder,urinary bladder cancer
bladder trigone cancer,A sarcoma and malignant neoplasm of urinary bladder that is located_in the bladder.,malignant tumor of trigone of urinary bladder,urinary bladder cancer
urinary bladder anterior wall cancer,A sarcoma and malignant neoplasm of urinary bladder that is located_in the bladder.,malignant neoplasm of anterior wall of urinary bladder,urinary bladder cancer
obsolete recurrent malignant bladder neoplasm,A sarcoma and malignant neoplasm of urinary bladder that is located_in the bladder.,malignant neoplasm of anterior wall of urinary bladder,urinary bladder cancer
urachus cancer,A sarcoma and malignant neoplasm of urinary bladder that is located_in the bladder.,malignant tumor of urachus,urinary bladder cancer
ureteric orifice cancer,A sarcoma and malignant neoplasm of urinary bladder that is located_in the bladder.,Orifice of the Ureter,urinary bladder cancer
bladder dome cancer,A urinary system cancer that is located_in the ureter.,Superior Surface of bladder,urinary bladder cancer
bladder lymphoma,A urinary system cancer that is located_in the ureter.,Lymphoma of the urinary bladder,urinary bladder cancer
